Date/Time (UTC), Reading
2017-08-11 21:58:04.57,21.115
2017-08-11 21:58:06.81,21.117
2017-08-11 21:58:09.06,21.123
2017-08-11 21:58:11.30,21.13
2017-08-11 21:58:13.55,21.132
2017-08-11 21:58:15.79,21.128
2017-08-11 21:58:18.04,21.125
2017-08-11 21:58:20.29,21.128
2017-08-11 21:58:22.53,21.142
2017-08-11 21:58:24.78,21.158
2017-08-11 21:58:27.03,21.178
2017-08-11 21:58:29.27,21.195
2017-08-11 21:58:31.52,21.205
2017-08-11 21:58:33.77,21.205
2017-08-11 21:58:36.01,21.192
2017-08-11 21:58:38.26,21.18
2017-08-11 21:58:40.50,21.168
2017-08-11 21:58:42.75,21.162
2017-08-11 21:58:45.00,21.163
2017-08-11 21:58:47.24,21.167
2017-08-11 21:58:49.49,21.17
2017-08-11 21:58:51.74,21.17
2017-08-11 21:58:53.98,21.167
2017-08-11 21:58:56.23,21.163
2017-08-11 21:58:58.48,21.153
2017-08-11 21:59:00.72,21.147
2017-08-11 21:59:02.97,21.142
2017-08-11 21:59:05.21,21.148
2017-08-11 21:59:07.46,21.16
2017-08-11 21:59:09.70,21.173
2017-08-11 21:59:11.95,21.187
2017-08-11 21:59:14.20,21.198
2017-08-11 21:59:16.44,21.202
2017-08-11 21:59:18.69,21.198
2017-08-11 21:59:20.94,21.188
2017-08-11 21:59:23.18,21.183
2017-08-11 21:59:25.43,21.177
2017-08-11 21:59:27.68,21.168
2017-08-11 21:59:29.92,21.162
2017-08-11 21:59:32.17,21.158
2017-08-11 21:59:34.41,21.153
2017-08-11 21:59:36.66,21.157
2017-08-11 21:59:38.90,21.158
2017-08-11 21:59:41.15,21.157
2017-08-11 21:59:43.40,21.163
2017-08-11 21:59:45.64,21.167
2017-08-11 21:59:47.89,21.172
2017-08-11 21:59:50.14,21.168
2017-08-11 21:59:52.38,21.167
2017-08-11 21:59:54.63,21.17
2017-08-11 21:59:56.87,21.172
2017-08-11 21:59:59.12,21.175
2017-08-11 22:00:01.36,21.18
2017-08-11 22:00:03.61,21.185
2017-08-11 22:00:05.86,21.185
2017-08-11 22:00:08.10,21.182
2017-08-11 22:00:10.35,21.185
2017-08-11 22:00:12.60,21.188
2017-08-11 22:00:14.84,21.188
2017-08-11 22:00:17.09,21.175
2017-08-11 22:00:19.34,21.165
2017-08-11 22:00:21.58,21.168
2017-08-11 22:00:23.83,21.173
2017-08-11 22:00:26.07,21.177
2017-08-11 22:00:28.32,21.177
2017-08-11 22:00:30.57,21.187
2017-08-11 22:00:32.81,21.198
2017-08-11 22:00:35.06,21.193
2017-08-11 22:00:37.31,21.183
2017-08-11 22:00:39.55,21.18
2017-08-11 22:00:41.80,21.178
2017-08-11 22:00:44.05,21.182
2017-08-11 22:00:46.29,21.178
2017-08-11 22:00:48.54,21.185
2017-08-11 22:00:50.78,21.18
2017-08-11 22:00:53.03,21.183
2017-08-11 22:00:55.27,21.182
2017-08-11 22:00:57.52,21.185
2017-08-11 22:00:59.77,21.205
2017-08-11 22:01:02.01,21.223
2017-08-11 22:01:04.26,21.237
2017-08-11 22:01:06.51,21.23
2017-08-11 22:01:08.75,21.222
2017-08-11 22:01:11.00,21.21
2017-08-11 22:01:13.24,21.185
2017-08-11 22:01:15.49,21.16
2017-08-11 22:01:17.74,21.127
2017-08-11 22:01:19.98,21.098
2017-08-11 22:01:22.23,21.112
2017-08-11 22:01:24.47,21.133
2017-08-11 22:01:26.72,21.15
2017-08-11 22:01:28.97,21.167
2017-08-11 22:01:31.21,21.20
2017-08-11 22:01:33.46,21.233
2017-08-11 22:01:35.71,21.232
2017-08-11 22:01:37.95,21.223
2017-08-11 22:01:40.20,21.195
2017-08-11 22:01:42.45,21.165
2017-08-11 22:01:44.69,21.16
2017-08-11 22:01:46.94,21.155
2017-08-11 22:01:49.18,21.148
2017-08-11 22:01:51.43,21.142
2017-08-11 22:01:53.68,21.158
2017-08-11 22:01:55.92,21.183
2017-08-11 22:01:58.17,21.195
2017-08-11 22:02:00.42,21.205
2017-08-11 22:02:02.66,21.218
2017-08-11 22:02:04.91,21.232
2017-08-11 22:02:07.15,21.242
2017-08-11 22:02:09.40,21.24
2017-08-11 22:02:11.65,21.228
2017-08-11 22:02:13.89,21.217
2017-08-11 22:02:16.14,21.20
2017-08-11 22:02:18.39,21.183
2017-08-11 22:02:20.63,21.17
2017-08-11 22:02:22.88,21.172
2017-08-11 22:02:25.13,21.19
2017-08-11 22:02:27.37,21.217
2017-08-11 22:02:29.62,21.242
2017-08-11 22:02:31.86,21.248
2017-08-11 22:02:34.11,21.228
2017-08-11 22:02:36.36,21.195
2017-08-11 22:02:38.60,21.182
2017-08-11 22:02:40.85,21.163
2017-08-11 22:02:43.10,21.143
2017-08-11 22:02:45.34,21.135
2017-08-11 22:02:47.59,21.158
2017-08-11 22:02:49.83,21.19
2017-08-11 22:02:52.08,21.193
2017-08-11 22:02:54.33,21.212
2017-08-11 22:02:56.57,21.217
2017-08-11 22:02:58.82,21.232
2017-08-11 22:03:01.06,21.24
2017-08-11 22:03:03.31,21.24
2017-08-11 22:03:05.56,21.233
2017-08-11 22:03:07.80,21.21
2017-08-11 22:03:10.05,21.208
2017-08-11 22:03:12.30,21.215
2017-08-11 22:03:14.54,21.22
2017-08-11 22:03:16.79,21.225
2017-08-11 22:03:19.04,21.235
2017-08-11 22:03:21.28,21.25
2017-08-11 22:03:23.52,21.265
2017-08-11 22:03:25.77,21.267
2017-08-11 22:03:28.02,21.27
2017-08-11 22:03:30.26,21.253
2017-08-11 22:03:32.51,21.222
2017-08-11 22:03:34.76,21.188
2017-08-11 22:03:37.00,21.163
2017-08-11 22:03:39.25,21.15
2017-08-11 22:03:41.50,21.138
2017-08-11 22:03:43.74,21.145
2017-08-11 22:03:45.99,21.158
2017-08-11 22:03:48.23,21.175
2017-08-11 22:03:50.48,21.178
2017-08-11 22:03:52.73,21.173
2017-08-11 22:03:54.97,21.168
2017-08-11 22:03:57.22,21.16
2017-08-11 22:03:59.47,21.16
2017-08-11 22:04:01.71,21.17
2017-08-11 22:04:03.96,21.18
2017-08-11 22:04:06.21,21.188
2017-08-11 22:04:08.45,21.203
2017-08-11 22:04:10.70,21.22
2017-08-11 22:04:12.94,21.232
2017-08-11 22:04:15.19,21.228
2017-08-11 22:04:17.43,21.223
2017-08-11 22:04:19.68,21.222
2017-08-11 22:04:21.93,21.22
2017-08-11 22:04:24.17,21.213
2017-08-11 22:04:26.42,21.215
2017-08-11 22:04:28.67,21.22
2017-08-11 22:04:30.91,21.225
2017-08-11 22:04:33.16,21.23
2017-08-11 22:04:35.40,21.223
2017-08-11 22:04:37.65,21.223
2017-08-11 22:04:39.90,21.223
2017-08-11 22:04:42.14,21.223
2017-08-11 22:04:44.39,21.227
2017-08-11 22:04:46.63,21.227
2017-08-11 22:04:48.88,21.227
2017-08-11 22:04:51.13,21.228
2017-08-11 22:04:53.37,21.23
2017-08-11 22:04:55.62,21.24
2017-08-11 22:04:57.87,21.25
2017-08-11 22:05:00.12,21.263
2017-08-11 22:05:02.36,21.273
2017-08-11 22:05:04.61,21.278
2017-08-11 22:05:06.85,21.283
2017-08-11 22:05:09.10,21.287
2017-08-11 22:05:11.34,21.297
2017-08-11 22:05:13.59,21.302
2017-08-11 22:05:15.84,21.305
2017-08-11 22:05:18.09,21.308
2017-08-11 22:05:20.33,21.308
2017-08-11 22:05:22.58,21.293
2017-08-11 22:05:24.83,21.275
2017-08-11 22:05:27.07,21.258
2017-08-11 22:05:29.32,21.247
2017-08-11 22:05:31.56,21.235
2017-08-11 22:05:33.81,21.235
2017-08-11 22:05:36.05,21.243
2017-08-11 22:05:38.30,21.253
2017-08-11 22:05:40.55,21.257
2017-08-11 22:05:42.79,21.26
2017-08-11 22:05:45.04,21.263
2017-08-11 22:05:47.29,21.267
2017-08-11 22:05:49.54,21.265
2017-08-11 22:05:51.78,21.265
2017-08-11 22:05:54.02,21.263
2017-08-11 22:05:56.27,21.26
2017-08-11 22:05:58.52,21.258
2017-08-11 22:06:00.76,21.262
2017-08-11 22:06:03.01,21.258
2017-08-11 22:06:05.26,21.258
2017-08-11 22:06:07.50,21.262
2017-08-11 22:06:09.75,21.25
2017-08-11 22:06:12.00,21.233
2017-08-11 22:06:14.24,21.215
2017-08-11 22:06:16.49,21.207
2017-08-11 22:06:18.73,21.203
2017-08-11 22:06:20.98,21.20
2017-08-11 22:06:23.23,21.217
2017-08-11 22:06:25.47,21.232
2017-08-11 22:06:27.72,21.243
2017-08-11 22:06:29.97,21.243
2017-08-11 22:06:32.21,21.237
2017-08-11 22:06:34.46,21.227
