Date/Time (UTC), Reading
2017-07-29 23:11:37.74,-6762.479999999995
2017-07-29 23:11:54.47,-6758.649999999995
2017-07-29 23:12:11.20,-6754.499999999995
2017-07-29 23:12:27.94,-6750.189999999995
2017-07-29 23:12:44.67,-6745.579999999995
2017-07-29 23:13:01.40,-6740.299999999996
2017-07-29 23:13:18.14,-6733.729999999996
2017-07-29 23:13:34.87,-6728.729999999996
2017-07-29 23:13:51.60,-6723.449999999996
2017-07-29 23:14:08.33,-6719.029999999996
2017-07-29 23:14:25.07,-6712.069999999996
2017-07-29 23:14:41.82,-6706.969999999996
2017-07-29 23:14:58.55,-6701.779999999996
2017-07-29 23:15:15.28,-6696.5899999999965
2017-07-29 23:15:32.02,-6691.059999999997
2017-07-29 23:15:48.75,-6687.279999999997
2017-07-29 23:16:05.48,-6683.499999999997
2017-07-29 23:16:22.22,-6679.499999999997
2017-07-29 23:16:38.95,-6673.439999999997
2017-07-29 23:16:55.68,-6666.539999999997
2017-07-29 23:17:12.42,-6660.609999999997
2017-07-29 23:17:29.16,-6659.329999999997
2017-07-29 23:17:45.90,-6657.529999999997
2017-07-29 23:18:02.63,-6654.499999999997
2017-07-29 23:18:19.36,-6650.429999999998
2017-07-29 23:18:36.10,-6646.2199999999975
2017-07-29 23:18:52.83,-6641.379999999997
2017-07-29 23:19:09.56,-6635.919999999997
2017-07-29 23:19:26.30,-6630.779999999997
2017-07-29 23:19:43.03,-6626.479999999997
2017-07-29 23:19:59.78,-6622.439999999997
2017-07-29 23:20:16.51,-6618.939999999997
2017-07-29 23:20:33.25,-6615.439999999997
2017-07-29 23:20:49.98,-6612.269999999997
2017-07-29 23:21:06.71,-6609.889999999997
2017-07-29 23:21:23.44,-6608.249999999996
2017-07-29 23:21:40.18,-6604.009999999997
2017-07-29 23:21:56.91,-6598.389999999997
2017-07-29 23:22:13.66,-6592.899999999997
2017-07-29 23:22:30.39,-6589.039999999997
2017-07-29 23:22:47.13,-6585.729999999997
2017-07-29 23:23:03.86,-6582.279999999997
2017-07-29 23:23:20.59,-6579.159999999997
2017-07-29 23:23:37.33,-6576.039999999997
2017-07-29 23:23:54.06,-6571.849999999998
2017-07-29 23:24:10.79,-6569.189999999998
2017-07-29 23:24:27.53,-6568.099999999998
2017-07-29 23:24:44.28,-6565.869999999998
2017-07-29 23:25:01.01,-6563.799999999998
2017-07-29 23:25:17.74,-6558.609999999999
2017-07-29 23:25:34.47,-6555.009999999998
2017-07-29 23:25:51.21,-6549.119999999998
2017-07-29 23:26:07.94,-6543.159999999998
2017-07-29 23:26:24.67,-6536.569999999998
