Date/Time (UTC), Ultra-smoothed Differences
2017-08-20 06:21:22.58,2.3208
2017-08-20 06:21:39.26,2.1543
2017-08-20 06:21:55.92,2.0259
2017-08-20 06:22:12.60,1.9327
2017-08-20 06:22:29.28,1.8886
2017-08-20 06:22:45.95,1.8541
2017-08-20 06:23:02.63,1.8170
2017-08-20 06:23:19.31,1.7883
2017-08-20 06:23:35.99,1.7564
2017-08-20 06:23:52.65,1.7299
2017-08-20 06:24:09.33,1.7042
2017-08-20 06:24:26.01,1.6744
2017-08-20 06:24:42.68,1.6518
2017-08-20 06:24:59.36,1.6255
2017-08-20 06:25:16.04,1.5912
2017-08-20 06:25:32.72,1.5486
2017-08-20 06:25:49.38,1.5192
2017-08-20 06:26:06.06,1.4728
2017-08-20 06:26:22.74,1.4246
2017-08-20 06:26:39.42,1.3977
2017-08-20 06:26:56.09,1.3758
2017-08-20 06:27:12.77,1.3209
2017-08-20 06:27:29.45,1.2817
2017-08-20 06:27:46.13,1.2376
2017-08-20 06:28:02.79,1.1984
2017-08-20 06:28:19.47,1.1541
2017-08-20 06:28:36.15,1.1159
2017-08-20 06:28:52.84,1.0880
2017-08-20 06:29:09.50,1.0592
2017-08-20 06:29:26.18,1.0348
2017-08-20 06:29:42.86,0.99253
2017-08-20 06:29:59.52,0.95112
2017-08-20 06:30:16.20,0.92547
2017-08-20 06:30:32.89,0.90562
2017-08-20 06:30:49.57,0.88044
2017-08-20 06:31:06.25,0.84628
2017-08-20 06:31:22.91,0.807
2017-08-20 06:31:39.59,0.77325
2017-08-20 06:31:56.27,0.74403
2017-08-20 06:32:12.95,0.71116
2017-08-20 06:32:29.62,0.67266
2017-08-20 06:32:46.30,0.63888
2017-08-20 06:33:02.98,0.61956
2017-08-20 06:33:19.66,0.59969
2017-08-20 06:33:36.32,0.57469
2017-08-20 06:33:53.00,0.56169
2017-08-20 06:34:09.68,0.54981
2017-08-20 06:34:26.36,0.55081
2017-08-20 06:34:43.04,0.54512
2017-08-20 06:34:59.71,0.54394
2017-08-20 06:35:16.39,0.54925
2017-08-20 06:35:33.07,0.54359
2017-08-20 06:35:49.75,0.53212
2017-08-20 06:36:06.41,0.54625
2017-08-20 06:36:23.09,0.56175
2017-08-20 06:36:39.77,0.58188
2017-08-20 06:36:56.45,0.58319
2017-08-20 06:37:13.12,0.59578
2017-08-20 06:37:29.80,0.59938
2017-08-20 06:37:46.48,0.60338
2017-08-20 06:38:03.16,0.61247
2017-08-20 06:38:19.84,0.61878
2017-08-20 06:38:36.52,0.637
2017-08-20 06:38:53.18,0.65016
2017-08-20 06:39:09.86,0.65688
2017-08-20 06:39:26.54,0.65975
2017-08-20 06:39:43.22,0.66175
2017-08-20 06:39:59.89,0.65462
2017-08-20 06:40:16.57,0.66462
2017-08-20 06:40:33.25,0.68194
2017-08-20 06:40:49.91,0.68625
2017-08-20 06:41:06.59,0.69544
2017-08-20 06:41:23.27,0.726
2017-08-20 06:41:39.95,0.76259
2017-08-20 06:41:56.63,0.76847
2017-08-20 06:42:13.31,0.77762
2017-08-20 06:42:29.98,0.80497
2017-08-20 06:42:46.66,0.82138
2017-08-20 06:43:03.34,0.83819
2017-08-20 06:43:20.02,0.84659
2017-08-20 06:43:36.70,0.85519
2017-08-20 06:43:53.36,0.86831
2017-08-20 06:44:10.04,0.88319
2017-08-20 06:44:26.72,0.89916
2017-08-20 06:44:43.39,0.90778
2017-08-20 06:45:00.07,0.91012
2017-08-20 06:45:16.75,0.89303
2017-08-20 06:46:14.59,0.87272
2017-08-20 06:46:31.25,0.87716
2017-08-20 06:46:47.94,0.88775
2017-08-20 06:47:04.62,0.89266
2017-08-20 06:47:21.30,0.90144
2017-08-20 06:47:37.96,0.90812
2017-08-20 06:47:54.64,0.91188
2017-08-20 06:48:11.32,0.90891
2017-08-20 06:48:28.00,0.91147
2017-08-20 06:48:44.68,0.89547
2017-08-20 06:49:01.36,0.87731
2017-08-20 06:49:18.04,0.85516
2017-08-20 06:49:34.71,0.85081
2017-08-20 06:49:51.39,0.83947
2017-08-20 06:50:08.07,0.81553
2017-08-20 06:50:24.73,0.81056
2017-08-20 07:07:02.25,0.79931
2017-08-20 07:07:18.94,0.76172
2017-08-20 07:07:35.61,0.71312
2017-08-20 07:07:52.28,0.68216
2017-08-20 07:08:08.96,0.65675
2017-08-20 07:08:25.64,0.62906
2017-08-20 07:08:42.32,0.60159
2017-08-20 07:08:59.00,0.57059
2017-08-20 07:09:15.68,0.52688
2017-08-20 07:09:32.36,0.48944
2017-08-20 07:09:49.03,0.45262
2017-08-20 07:10:05.71,0.40841
2017-08-20 07:10:22.39,0.35944
2017-08-20 07:10:39.07,0.31456
2017-08-20 07:10:55.75,0.2624
2017-08-20 07:11:12.41,0.23003
2017-08-20 07:11:29.09,0.20373
2017-08-20 07:13:06.08,0.15538
2017-08-20 07:13:22.76,0.088778
2017-08-20 07:13:39.44,0.048447
2017-08-20 07:13:56.10,-0.00077531
2017-08-20 07:14:12.79,-0.047453
2017-08-20 07:14:29.47,-0.0829
2017-08-20 07:14:46.15,-0.12178
2017-08-20 07:15:02.83,-0.17530
2017-08-20 07:15:19.51,-0.19366
2017-08-20 07:15:36.19,-0.22286
2017-08-20 07:15:52.85,-0.24189
2017-08-20 07:16:09.53,-0.24961
2017-08-20 07:16:26.21,-0.28477
2017-08-20 07:16:42.89,-0.31201
2017-08-20 07:16:59.57,-0.345
