Date/Time (UTC), Raw X, Raw Y, Raw Z, X Diffs, Y Diffs, Z Diffs
2016-02-21 00:00:16.287967,-417.18,1400.61,4115.11,3.58,-1.71,0.23
2016-02-21 00:00:31.577842,-420.63,1405.54,4111.56,-3.45,4.93,-3.55
2016-02-21 00:00:46.882717,-417.31,1407.63,4112.24,3.32,2.09,0.68
2016-02-21 00:01:02.186593,-418.55,1405.59,4106.55,-1.24,-2.04,-5.69
2016-02-21 00:01:17.491468,-417.32,1405.64,4111.51,1.23,0.05,4.96
2016-02-21 00:01:32.795343,-420.47,1403.60,4115.09,-3.15,-2.04,3.58
2016-02-21 00:01:48.085218,-415.80,1406.62,4124.50,4.67,3.02,9.41
2016-02-21 00:02:03.390093,-416.17,1406.11,4117.21,-0.37,-0.51,-7.29
2016-02-21 00:02:18.694969,-417.11,1406.52,4115.37,-0.94,0.41,-1.84
2016-02-21 00:02:33.998844,-419.33,1405.71,4114.86,-2.22,-0.81,-0.51
2016-02-21 00:02:49.287719,-422.91,1403.48,4108.83,-3.58,-2.23,-6.03
2016-02-21 00:03:04.593594,-418.61,1405.71,4111.20,4.30,2.23,2.37
2016-02-21 00:03:19.898469,-420.30,1406.76,4119.44,-1.69,1.05,8.24
2016-02-21 00:03:35.203345,-423.85,1406.37,4112.97,-3.55,-0.39,-6.47
2016-02-21 00:03:50.507220,-422.28,1404.82,4110.92,1.57,-1.55,-2.05
2016-02-21 00:04:05.797095,-419.63,1405.79,4108.73,2.65,0.97,-2.19
2016-02-21 00:04:21.101970,-422.72,1406.02,4111.14,-3.09,0.23,2.41
2016-02-21 00:04:36.406845,-422.99,1407.75,4107.04,-0.27,1.73,-4.10
2016-02-21 00:04:51.710721,-423.30,1403.17,4106.37,-0.31,-4.58,-0.67
2016-02-21 00:05:07.015596,-419.22,1404.00,4115.45,4.08,0.83,9.08
2016-02-21 00:05:22.305471,-419.56,1406.98,4111.48,-0.34,2.98,-3.97
2016-02-21 00:05:37.610346,-416.68,1403.43,4105.80,2.88,-3.55,-5.68
2016-02-21 00:05:52.914221,-416.61,1405.06,4115.74,0.07,1.63,9.94
2016-02-21 00:06:08.219097,-420.58,1407.73,4111.17,-3.97,2.67,-4.57
2016-02-21 00:06:23.523972,-418.59,1401.88,4114.05,1.99,-5.85,2.88
2016-02-21 00:06:38.812847,-420.17,1405.87,4109.44,-1.58,3.99,-4.61
2016-02-21 00:06:54.117722,-417.07,1400.88,4109.05,3.10,-4.99,-0.39
2016-02-21 00:07:09.422597,-413.19,1403.39,4105.25,3.88,2.51,-3.80
2016-02-21 00:07:24.727473,-419.31,1403.66,4108.20,-6.12,0.27,2.95
2016-02-21 00:07:40.031348,-417.13,1400.19,4105.80,2.18,-3.47,-2.40
2016-02-21 00:07:55.321223,-418.84,1402.32,4108.79,-1.71,2.13,2.99
2016-02-21 00:08:10.625098,-417.00,1407.97,4113.32,1.84,5.65,4.53
