Date/Time (UTC), Raw X, Raw Y, Raw Z, X Diffs, Y Diffs, Z Diffs
2016-05-08 00:00:21.32,-360.51,3112.25,1560.56,-2.32,-0.34,-3.45
2016-05-08 00:00:36.93,-357.69,3111.73,1561.61,2.82,-0.52,1.05
2016-05-08 00:00:52.53,-360.45,3113.75,1565.58,-2.76,2.02,3.97
2016-05-08 00:01:08.14,-360.61,3109.28,1562.59,-0.16,-4.47,-2.99
2016-05-08 00:01:23.75,-366.78,3109.53,1561.13,-6.17,0.25,-1.46
2016-05-08 00:01:39.35,-361.89,3107.91,1561.69,4.89,-1.62,0.56
2016-05-08 00:01:54.96,-365.91,3106.75,1560.81,-4.02,-1.16,-0.88
2016-05-08 00:02:10.56,-365.55,3108.10,1559.72,0.36,1.35,-1.09
2016-05-08 00:02:26.17,-361.08,3110.64,1567.42,4.47,2.54,7.70
2016-05-08 00:02:41.76,-363.98,3107.15,1565.53,-2.90,-3.49,-1.89
2016-05-08 00:02:57.36,-362.83,3108.00,1562.44,1.15,0.85,-3.09
2016-05-08 00:03:12.97,-360.24,3105.93,1566.51,2.59,-2.07,4.07
2016-05-08 00:03:28.58,-363.11,3104.25,1559.07,-2.87,-1.68,-7.44
2016-05-08 00:03:44.18,-361.45,3104.35,1564.46,1.66,0.10,5.39
2016-05-08 00:03:59.79,-362.90,3109.89,1567.49,-1.45,5.54,3.03
2016-05-08 00:04:15.39,-363.89,3106.19,1561.34,-0.99,-3.70,-6.15
2016-05-08 00:04:31.00,-362.23,3112.33,1560.77,1.66,6.14,-0.57
2016-05-08 00:04:46.60,-365.86,3112.48,1563.68,-3.63,0.15,2.91
2016-05-08 00:05:02.19,-363.72,3109.50,1565.53,2.14,-2.98,1.85
2016-05-08 00:05:17.80,-359.55,3106.15,1563.17,4.17,-3.35,-2.36
2016-05-08 00:05:33.41,-359.83,3109.94,1560.48,-0.28,3.79,-2.69
2016-05-08 00:05:49.01,-359.55,3110.67,1562.36,0.28,0.73,1.88
2016-05-08 00:06:04.62,-361.96,3110.60,1556.79,-2.41,-0.07,-5.57
2016-05-08 00:06:20.22,-362.12,3107.14,1563.76,-0.16,-3.46,6.97
2016-05-08 00:06:35.83,-365.16,3106.53,1553.16,-3.04,-0.61,-10.60
2016-05-08 00:06:51.43,-360.95,3108.03,1560.48,4.21,1.50,7.32
2016-05-08 00:07:07.04,-360.48,3109.71,1554.69,0.47,1.68,-5.79
2016-05-08 00:07:22.65,-362.37,3110.39,1555.91,-1.89,0.68,1.22
2016-05-08 00:07:38.24,-361.37,3106.34,1557.83,1.00,-4.05,1.92
2016-05-08 00:07:53.84,-356.65,3111.15,1563.23,4.72,4.81,5.40
2016-05-08 00:08:09.45,-358.01,3104.73,1564.35,-1.36,-6.42,1.12
2016-05-08 00:08:25.05,-358.89,3104.72,1559.11,-0.88,-0.01,-5.24
2016-05-08 00:08:40.66,-358.83,3103.95,1558.31,0.06,-0.77,-0.80
2016-05-08 00:08:56.27,-357.25,3105.66,1560.11,1.58,1.71,1.80
2016-05-08 00:09:11.87,-360.13,3104.25,1562.70,-2.88,-1.41,2.59
2016-05-08 00:09:27.48,-357.42,3109.01,1562.52,2.71,4.76,-0.18
2016-05-08 00:09:43.08,-357.25,3108.10,1568.68,0.17,-0.91,6.16
2016-05-08 00:09:58.67,-358.44,3105.88,1562.59,-1.19,-2.22,-6.09
2016-05-08 00:10:14.28,-358.39,3105.41,1562.70,0.05,-0.47,0.11
2016-05-08 00:10:29.88,-357.98,3109.09,1559.06,0.41,3.68,-3.64
2016-05-08 00:10:45.49,-360.11,3110.64,1559.04,-2.13,1.55,-0.02
2016-05-08 00:11:01.10,-358.98,3110.62,1553.24,1.13,-0.02,-5.80
2016-05-08 00:11:16.70,-358.64,3108.82,1561.61,0.34,-1.80,8.37
2016-05-08 00:11:32.31,-357.58,3107.74,1555.42,1.06,-1.08,-6.19
2016-05-08 00:11:47.91,-357.79,3108.19,1556.67,-0.21,0.45,1.25
2016-05-08 00:12:03.52,-357.58,3110.59,1563.38,0.21,2.40,6.71
2016-05-08 00:12:19.11,-356.49,3109.25,1559.94,1.09,-1.34,-3.44
2016-05-08 00:12:34.72,-356.43,3104.91,1562.31,0.06,-4.34,2.37
2016-05-08 00:12:50.32,-356.91,3105.52,1561.15,-0.48,0.61,-1.16
2016-05-08 00:13:05.93,-357.37,3103.90,1567.90,-0.46,-1.62,6.75
2016-05-08 00:13:21.53,-358.69,3106.40,1565.88,-1.32,2.50,-2.02
2016-05-08 00:13:37.14,-358.37,3111.80,1560.07,0.32,5.40,-5.81
2016-05-08 00:13:52.74,-359.66,3109.75,1562.93,-1.29,-2.05,2.86
2016-05-08 00:14:08.35,-360.67,3111.87,1569.48,-1.01,2.12,6.55
2016-05-08 00:14:23.96,-360.42,3110.25,1566.57,0.25,-1.62,-2.91
2016-05-08 00:14:39.56,-356.65,3104.75,1568.86,3.77,-5.50,2.29
2016-05-08 00:14:55.15,-359.23,3106.44,1565.52,-2.58,1.69,-3.34
2016-05-08 00:15:10.76,-355.50,3106.52,1565.66,3.73,0.08,0.14
2016-05-08 00:15:26.36,-357.76,3106.70,1559.59,-2.26,0.18,-6.07
2016-05-08 00:15:41.97,-356.94,3104.69,1564.06,0.82,-2.01,4.47
2016-05-08 00:15:57.58,-358.36,3109.88,1560.81,-1.42,5.19,-3.25
2016-05-08 00:16:13.18,-354.52,3110.64,1555.56,3.84,0.76,-5.25
2016-05-08 00:16:28.79,-355.12,3108.65,1556.81,-0.60,-1.99,1.25
2016-05-08 00:16:44.39,-355.91,3109.13,1561.13,-0.79,0.48,4.32
2016-05-08 00:17:00.00,-358.78,3108.89,1564.26,-2.87,-0.24,3.13
2016-05-08 00:17:15.59,-356.00,3107.53,1554.84,2.78,-1.36,-9.42
2016-05-08 00:17:31.20,-356.87,3108.74,1558.88,-0.87,1.21,4.04
2016-05-08 00:17:46.80,-357.19,3105.03,1559.00,-0.32,-3.71,0.12
2016-05-08 00:18:02.41,-357.85,3109.59,1560.52,-0.66,4.56,1.52
2016-05-08 00:18:18.01,-360.05,3108.00,1557.62,-2.20,-1.59,-2.90
2016-05-08 00:18:33.62,-357.89,3109.82,1555.91,2.16,1.82,-1.71
2016-05-08 00:18:49.22,-358.92,3108.63,1565.47,-1.03,-1.19,9.56
2016-05-08 00:19:04.83,-357.37,3107.41,1555.43,1.55,-1.22,-10.04
2016-05-08 00:19:20.44,-357.89,3107.71,1562.04,-0.52,0.30,6.61
2016-05-08 00:19:36.03,-358.86,3110.89,1562.00,-0.97,3.18,-0.04
2016-05-08 00:19:51.63,-359.19,3108.41,1565.49,-0.33,-2.48,3.49
2016-05-08 00:20:07.24,-359.66,3105.25,1565.21,-0.47,-3.16,-0.28
2016-05-08 00:20:22.84,-354.58,3108.06,1565.98,5.08,2.81,0.77
2016-05-08 00:20:38.45,-356.82,3109.48,1563.04,-2.24,1.42,-2.94
2016-05-08 00:20:54.06,-353.77,3107.82,1562.88,3.05,-1.66,-0.16
2016-05-08 00:21:09.66,-354.14,3109.96,1559.35,-0.37,2.14,-3.53
2016-05-08 00:21:25.27,-356.82,3108.25,1560.08,-2.68,-1.71,0.73
2016-05-08 00:21:40.87,-359.23,3110.44,1561.66,-2.41,2.19,1.58
2016-05-08 00:21:56.48,-357.17,3110.21,1555.30,2.06,-0.23,-6.36
2016-05-08 00:22:12.07,-359.89,3108.96,1566.17,-2.72,-1.25,10.87
2016-05-08 00:22:27.68,-356.00,3110.27,1556.67,3.89,1.31,-9.50
2016-05-08 00:22:43.28,-353.50,3106.85,1566.69,2.50,-3.42,10.02
2016-05-08 00:22:58.89,-356.83,3109.62,1562.89,-3.33,2.77,-3.80
2016-05-08 00:23:14.49,-358.58,3107.14,1558.49,-1.75,-2.48,-4.40
2016-05-08 00:23:30.10,-356.17,3106.80,1553.26,2.41,-0.34,-5.23
2016-05-08 00:23:45.70,-356.97,3107.03,1566.32,-0.80,0.23,13.06
2016-05-08 00:24:01.31,-358.31,3107.31,1567.42,-1.34,0.28,1.10
2016-05-08 00:24:16.92,-356.22,3106.06,1564.22,2.09,-1.25,-3.20
2016-05-08 00:24:32.51,-355.18,3107.38,1561.44,1.04,1.32,-2.78
2016-05-08 00:24:48.11,-354.17,3107.11,1550.18,1.01,-0.27,-11.26
2016-05-08 00:25:03.72,-353.82,3106.11,1551.01,0.35,-1.00,0.83
2016-05-08 00:25:19.32,-352.02,3107.29,1553.05,1.80,1.18,2.04
2016-05-08 00:25:34.93,-351.35,3107.18,1558.07,0.67,-0.11,5.02
2016-05-08 00:25:50.54,-354.95,3105.08,1548.19,-3.60,-2.10,-9.88
2016-05-08 00:26:06.14,-352.70,3105.64,1559.70,2.25,0.56,11.51
2016-05-08 00:26:21.75,-354.61,3107.96,1565.61,-1.91,2.32,5.91
2016-05-08 00:26:37.35,-357.10,3109.38,1557.55,-2.49,1.42,-8.06
2016-05-08 00:26:52.94,-357.17,3110.61,1561.13,-0.07,1.23,3.58
2016-05-08 00:27:08.55,-356.31,3111.92,1561.35,0.86,1.31,0.22
2016-05-08 00:27:24.16,-351.70,3111.16,1563.24,4.61,-0.76,1.89
2016-05-08 00:27:39.76,-355.97,3105.03,1560.89,-4.27,-6.13,-2.35
