Date/Time (UTC), Raw X, Raw Y, Raw Z
2016-11-24 00:00:17.41,-806.82,3504.49,1361.63
2016-11-24 00:00:32.37,-806.88,3502.92,1362.88
2016-11-24 00:00:47.35,-806.26,3504.25,1361.15
2016-11-24 00:01:02.33,-806.53,3504.89,1360.80
2016-11-24 00:01:17.29,-806.15,3504.53,1361.98
2016-11-24 00:01:32.27,-811.53,3503.81,1362.37
2016-11-24 00:01:47.23,-811.45,3502.73,1364.99
2016-11-24 00:02:02.21,-809.08,3503.94,1368.25
2016-11-24 00:02:17.18,-809.94,3502.59,1367.95
2016-11-24 00:02:32.15,-810.93,3502.61,1364.16
2016-11-24 00:02:47.12,-812.58,3500.39,1362.50
2016-11-24 00:03:02.09,-813.40,3501.96,1364.28
2016-11-24 00:03:17.06,-812.41,3500.13,1364.42
2016-11-24 00:03:32.04,-811.52,3499.83,1364.62
2016-11-24 00:03:47.00,-810.08,3501.55,1364.33
2016-11-24 00:04:01.98,-810.33,3502.05,1367.27
2016-11-24 00:04:16.94,-813.35,3500.91,1363.24
2016-11-24 00:04:31.92,-811.87,3504.52,1367.58
2016-11-24 00:04:46.90,-812.09,3505.50,1367.48
2016-11-24 00:05:01.86,-813.37,3503.31,1366.23
2016-11-24 00:05:16.84,-812.15,3504.14,1364.93
2016-11-24 00:05:31.80,-813.07,3503.87,1362.20
2016-11-24 00:05:46.78,-814.20,3503.11,1364.40
2016-11-24 00:06:01.76,-812.41,3503.73,1362.88
2016-11-24 00:06:16.72,-810.57,3503.86,1361.17
2016-11-24 00:06:31.70,-810.56,3505.24,1356.52
2016-11-24 00:06:46.68,-809.62,3505.77,1356.43
2016-11-24 00:07:01.64,-811.70,3505.23,1358.24
2016-11-24 00:07:16.62,-810.87,3502.79,1358.19
2016-11-24 00:07:31.58,-808.54,3503.86,1363.81
2016-11-24 00:07:46.56,-809.24,3504.57,1365.78
2016-11-24 00:08:01.52,-809.71,3504.34,1361.71
2016-11-24 00:08:16.50,-810.52,3502.12,1360.16
2016-11-24 00:08:31.47,-810.45,3502.91,1361.97
2016-11-24 00:08:46.44,-807.77,3505.84,1361.03
2016-11-24 00:09:01.42,-810.29,3505.97,1364.23
2016-11-24 00:09:16.38,-811.05,3505.92,1363.52
2016-11-24 00:09:31.36,-811.55,3507.33,1361.98
2016-11-24 00:09:46.33,-812.85,3507.47,1367.79
2016-11-24 00:10:01.30,-810.51,3509.35,1367.95
2016-11-24 00:10:16.27,-809.28,3508.18,1366.23
2016-11-24 00:10:31.24,-810.44,3507.06,1367.21
2016-11-24 00:10:46.21,-810.57,3508.41,1367.89
2016-11-24 00:11:01.18,-811.81,3507.18,1368.89
2016-11-24 00:11:16.15,-811.65,3508.19,1370.00
2016-11-24 00:11:31.13,-812.35,3509.66,1370.28
