Date/Time (UTC), Raw X, Raw Y, Raw Z
2016-12-09 00:00:27.34,-259.46,3466.95,1427.33
2016-12-09 00:00:42.31,-256.69,3464.44,1431.10
2016-12-09 00:00:57.28,-254.65,3467.22,1429.98
2016-12-09 00:01:12.26,-256.31,3467.96,1434.44
2016-12-09 00:01:27.23,-255.44,3465.58,1436.77
2016-12-09 00:01:42.19,-255.55,3463.66,1431.87
2016-12-09 00:01:57.16,-255.30,3464.17,1433.13
2016-12-09 00:02:12.13,-257.70,3464.33,1430.95
2016-12-09 00:02:27.11,-258.16,3463.93,1430.31
2016-12-09 00:02:42.07,-257.47,3464.47,1430.32
2016-12-09 00:02:57.04,-258.37,3465.29,1431.83
2016-12-09 00:03:12.02,-259.21,3464.55,1431.30
2016-12-09 00:03:26.99,-258.26,3466.60,1431.85
2016-12-09 00:03:41.97,-259.03,3466.50,1428.57
2016-12-09 00:03:56.94,-257.66,3466.52,1428.66
2016-12-09 00:04:11.91,-257.37,3466.36,1427.64
2016-12-09 00:04:26.89,-257.82,3467.29,1430.63
2016-12-09 00:04:41.86,-257.86,3466.05,1429.39
2016-12-09 00:04:56.82,-256.36,3465.15,1428.01
2016-12-09 00:05:11.79,-257.06,3466.28,1427.40
2016-12-09 00:05:26.77,-257.68,3464.90,1429.17
2016-12-09 00:05:41.74,-257.05,3462.87,1431.57
2016-12-09 00:05:56.70,-256.40,3463.65,1430.41
2016-12-09 00:06:11.67,-259.05,3463.62,1430.89
2016-12-09 00:06:26.65,-258.12,3464.03,1430.08
2016-12-09 00:06:41.62,-255.96,3464.73,1431.50
2016-12-09 00:06:56.59,-254.34,3463.90,1432.04
2016-12-09 00:07:11.55,-255.28,3462.87,1431.40
2016-12-09 00:07:26.52,-254.47,3461.89,1436.56
2016-12-09 00:07:41.49,-255.48,3463.31,1435.06
2016-12-09 00:07:56.45,-253.79,3462.61,1433.81
2016-12-09 00:08:11.42,-254.58,3463.69,1434.31
2016-12-09 00:08:26.39,-253.68,3463.59,1434.25
2016-12-09 00:08:41.34,-251.52,3463.55,1432.71
2016-12-09 00:08:56.30,-250.25,3464.47,1429.73
2016-12-09 00:09:11.27,-250.19,3463.91,1431.29
2016-12-09 00:09:26.22,-250.20,3462.52,1436.69
2016-12-09 00:09:41.19,-250.68,3463.63,1435.43
2016-12-09 00:09:56.14,-251.33,3464.21,1436.05
2016-12-09 00:10:11.11,-250.59,3463.09,1433.54
2016-12-09 00:10:26.06,-248.77,3463.67,1430.88
2016-12-09 00:10:41.02,-248.59,3462.52,1430.96
2016-12-09 00:10:55.97,-249.72,3463.55,1433.14
2016-12-09 00:11:10.94,-249.03,3463.42,1433.87
2016-12-09 00:11:25.89,-248.54,3461.90,1433.44
2016-12-09 00:11:40.86,-249.14,3460.71,1434.81
2016-12-09 00:11:55.82,-249.04,3460.80,1435.40
2016-12-09 00:12:10.78,-248.77,3462.34,1436.66
2016-12-09 00:12:25.74,-247.92,3460.31,1432.96
2016-12-09 00:12:40.69,-245.53,3461.37,1429.81
2016-12-09 00:12:55.66,-246.71,3461.85,1432.17
2016-12-09 00:13:10.61,-245.62,3460.50,1432.34
2016-12-09 00:13:25.57,-248.06,3458.25,1433.16
2016-12-09 00:13:40.53,-248.02,3458.03,1431.46
2016-12-09 00:13:55.49,-247.77,3459.89,1436.39
2016-12-09 00:14:10.44,-248.25,3459.52,1435.91
2016-12-09 00:14:25.41,-247.80,3459.21,1436.17
2016-12-09 00:14:40.36,-250.08,3460.11,1436.67
2016-12-09 00:14:55.33,-249.58,3460.91,1436.64
2016-12-09 00:15:10.29,-249.55,3460.64,1442.40
2016-12-09 00:15:25.24,-248.19,3461.46,1437.80
2016-12-09 00:15:40.21,-250.10,3461.96,1435.39
2016-12-09 00:15:55.16,-252.24,3462.75,1436.01
2016-12-09 00:16:10.13,-250.05,3459.85,1436.97
2016-12-09 00:16:25.08,-249.35,3460.48,1437.03
2016-12-09 00:16:40.04,-248.20,3459.23,1437.99
2016-12-09 00:16:55.00,-246.23,3456.95,1438.17
2016-12-09 00:17:09.95,-247.47,3458.14,1433.91
2016-12-09 00:17:24.91,-247.89,3458.10,1433.81
2016-12-09 00:17:39.86,-248.51,3458.08,1432.86
2016-12-09 00:17:54.83,-248.94,3459.78,1435.76
2016-12-09 00:18:09.78,-246.87,3459.94,1438.51
2016-12-09 00:18:24.75,-249.90,3459.74,1442.39
2016-12-09 00:18:39.70,-249.12,3460.28,1442.22
2016-12-09 00:18:54.67,-249.58,3459.04,1437.45
2016-12-09 00:19:09.62,-250.10,3459.07,1438.60
2016-12-09 00:19:24.58,-245.96,3459.11,1435.30
2016-12-09 00:19:39.53,-246.39,3458.91,1438.49
2016-12-09 00:19:54.50,-246.17,3459.40,1440.37
2016-12-09 00:20:09.47,-248.82,3461.58,1440.44
2016-12-09 00:20:24.42,-250.73,3461.45,1439.34
2016-12-09 00:20:39.37,-249.57,3461.87,1440.39
2016-12-09 00:20:54.33,-249.09,3459.34,1441.23
2016-12-09 00:21:09.30,-249.74,3459.79,1444.60
2016-12-09 00:21:24.25,-249.28,3460.05,1442.19
2016-12-09 00:21:39.22,-249.60,3459.34,1441.47
2016-12-09 00:21:54.17,-245.89,3455.22,1441.10
2016-12-09 00:22:09.14,-246.07,3457.86,1438.07
2016-12-09 00:22:24.09,-247.34,3458.46,1440.33
2016-12-09 00:22:39.05,-250.88,3455.97,1440.32
2016-12-09 00:22:54.00,-250.22,3456.50,1441.68
2016-12-09 00:23:08.97,-250.97,3457.90,1437.97
2016-12-09 00:23:23.92,-249.53,3456.22,1439.03
2016-12-09 00:23:38.89,-249.80,3455.86,1439.78
2016-12-09 00:23:53.84,-247.82,3457.94,1438.26
2016-12-09 00:24:08.80,-247.65,3457.59,1436.82
2016-12-09 00:24:23.75,-248.59,3457.96,1436.90
2016-12-09 00:24:38.72,-248.08,3458.50,1436.97
2016-12-09 00:24:53.67,-248.01,3455.53,1437.84
2016-12-09 00:25:08.64,-249.60,3458.27,1434.99
2016-12-09 00:25:23.59,-248.74,3456.68,1431.79
2016-12-09 00:25:38.56,-249.20,3459.98,1435.23
2016-12-09 00:25:53.51,-247.41,3459.17,1436.54
2016-12-09 00:26:08.47,-246.77,3460.39,1437.77
2016-12-09 00:26:23.42,-245.42,3461.14,1436.66
2016-12-09 00:26:38.38,-246.42,3460.58,1437.59
2016-12-09 00:26:53.34,-248.15,3461.81,1439.35
2016-12-09 00:27:08.29,-247.91,3462.92,1437.28
2016-12-09 00:27:23.26,-249.43,3461.98,1434.85
2016-12-09 00:27:38.21,-246.76,3461.66,1430.24
2016-12-09 00:27:53.18,-247.52,3461.66,1431.00
2016-12-09 00:28:08.13,-245.83,3459.92,1432.86
2016-12-09 00:28:23.09,-247.31,3458.23,1433.42
