Date/Time (UTC), Reading
2017-08-12 09:34:23.56,1.5227
2017-08-12 09:34:25.81,1.5173
2017-08-12 09:34:28.06,1.5225
2017-08-12 09:34:30.31,1.5303
2017-08-12 09:34:32.57,1.5282
2017-08-12 09:34:34.82,1.5307
2017-08-12 09:34:37.07,1.5318
2017-08-12 09:34:39.32,1.5238
2017-08-12 09:34:41.57,1.5155
2017-08-12 09:34:43.82,1.5038
2017-08-12 09:34:46.07,1.5008
2017-08-12 09:34:48.32,1.4888
2017-08-12 09:34:50.57,1.4913
2017-08-12 09:34:52.82,1.4933
2017-08-12 09:34:55.07,1.4945
2017-08-12 09:34:57.33,1.5025
2017-08-12 09:34:59.57,1.5048
2017-08-12 09:35:01.82,1.5117
2017-08-12 09:35:04.08,1.4918
2017-08-12 09:35:06.33,1.4862
2017-08-12 09:35:08.58,1.4843
2017-08-12 09:35:10.83,1.4773
2017-08-12 09:35:13.08,1.4792
2017-08-12 09:35:15.33,1.4820
2017-08-12 09:35:17.58,1.4847
2017-08-12 09:35:19.83,1.4977
2017-08-12 09:35:22.08,1.4927
2017-08-12 09:35:24.33,1.4988
2017-08-12 09:35:26.59,1.5058
2017-08-12 09:35:28.84,1.5107
2017-08-12 09:35:31.09,1.5108
2017-08-12 09:35:33.33,1.5063
2017-08-12 09:35:35.59,1.5107
2017-08-12 09:35:37.84,1.4998
2017-08-12 09:35:40.09,1.4898
2017-08-12 09:35:42.34,1.4787
2017-08-12 09:35:44.59,1.4855
2017-08-12 09:35:46.84,1.4827
2017-08-12 09:35:49.09,1.4808
2017-08-12 09:35:51.35,1.4893
2017-08-12 09:35:53.60,1.4998
2017-08-12 09:35:55.85,1.5105
2017-08-12 09:35:58.10,1.5033
2017-08-12 09:36:00.35,1.5045
2017-08-12 09:36:02.60,1.5093
2017-08-12 09:36:04.85,1.5015
2017-08-12 09:36:07.11,1.4903
2017-08-12 09:36:09.35,1.4815
2017-08-12 09:36:11.61,1.4798
2017-08-12 09:36:13.86,1.4907
2017-08-12 09:36:16.11,1.4882
2017-08-12 09:36:18.36,1.4900
2017-08-12 09:36:20.61,1.4972
2017-08-12 09:36:22.86,1.5007
2017-08-12 09:36:25.11,1.5138
2017-08-12 09:36:27.36,1.5055
2017-08-12 09:36:29.61,1.5120
2017-08-12 09:36:31.86,1.5100
2017-08-12 09:36:34.11,1.5060
2017-08-12 09:36:36.37,1.5175
2017-08-12 09:36:38.62,1.5138
2017-08-12 09:36:40.87,1.5062
2017-08-12 09:36:43.12,1.5012
2017-08-12 09:36:45.37,1.4962
2017-08-12 09:36:47.62,1.4773
2017-08-12 09:36:49.88,1.4487
2017-08-12 09:36:52.13,1.4367
2017-08-12 09:36:54.38,1.4438
2017-08-12 09:36:56.63,1.4423
2017-08-12 09:36:58.88,1.4517
2017-08-12 09:37:01.13,1.4703
2017-08-12 09:37:03.38,1.4797
2017-08-12 09:37:05.63,1.4825
2017-08-12 09:37:07.88,1.4803
2017-08-12 09:37:10.14,1.4720
2017-08-12 09:37:12.39,1.4673
2017-08-12 09:37:14.64,1.4503
2017-08-12 09:37:16.89,1.4460
2017-08-12 09:37:19.14,1.4490
2017-08-12 09:37:21.39,1.4608
2017-08-12 09:37:23.64,1.5010
2017-08-12 09:37:25.89,1.5438
2017-08-12 09:37:28.15,1.5630
2017-08-12 09:37:30.40,1.5700
2017-08-12 09:37:32.65,1.5480
2017-08-12 09:37:34.90,1.5280
2017-08-12 09:37:37.15,1.5018
2017-08-12 09:37:39.40,1.4580
2017-08-12 09:37:41.65,1.4410
2017-08-12 09:37:43.90,1.4330
2017-08-12 09:37:46.16,1.4527
2017-08-12 09:37:48.40,1.4473
2017-08-12 09:37:50.66,1.4392
2017-08-12 09:37:52.91,1.4425
2017-08-12 09:37:55.16,1.4398
2017-08-12 09:37:57.41,1.4420
2017-08-12 09:37:59.66,1.4397
2017-08-12 09:38:01.91,1.4330
2017-08-12 09:38:04.17,1.4280
2017-08-12 09:38:06.42,1.4200
2017-08-12 09:38:08.67,1.4333
2017-08-12 09:38:10.92,1.4372
2017-08-12 09:38:13.17,1.4188
2017-08-12 09:38:15.42,1.4328
2017-08-12 09:38:17.67,1.4285
2017-08-12 09:38:19.93,1.4265
2017-08-12 09:38:22.18,1.4235
2017-08-12 09:38:24.43,1.4158
2017-08-12 09:38:26.68,1.3848
2017-08-12 09:38:28.93,1.3522
2017-08-12 09:38:31.18,1.3278
2017-08-12 09:38:33.43,1.3105
2017-08-12 09:38:35.68,1.2805
2017-08-12 09:38:37.94,1.2608
2017-08-12 09:38:40.18,1.2892
2017-08-12 09:38:42.44,1.2960
2017-08-12 09:38:44.69,1.2932
2017-08-12 09:38:46.94,1.2950
2017-08-12 09:38:49.19,1.3078
2017-08-12 09:38:51.44,1.3137
2017-08-12 09:38:53.69,1.2907
2017-08-12 09:38:55.94,1.2892
2017-08-12 09:38:58.19,1.3127
2017-08-12 09:39:00.44,1.3313
2017-08-12 09:39:02.69,1.3440
2017-08-12 09:39:04.94,1.3475
2017-08-12 09:39:07.20,1.3462
2017-08-12 09:39:09.44,1.3377
2017-08-12 09:39:11.70,1.3115
2017-08-12 09:39:13.95,1.2638
2017-08-12 09:39:16.20,1.2268
2017-08-12 09:39:18.45,1.2182
2017-08-12 09:39:20.70,1.2230
2017-08-12 09:39:22.95,1.2203
2017-08-12 09:39:25.20,1.2248
2017-08-12 09:39:27.45,1.2048
2017-08-12 09:39:29.71,1.1692
2017-08-12 09:39:31.96,1.1185
2017-08-12 09:39:34.21,1.0617
2017-08-12 09:39:36.46,1.0268
2017-08-12 09:39:38.71,0.98883
2017-08-12 09:39:40.96,1.0487
2017-08-12 09:39:43.20,1.0412
2017-08-12 09:39:45.46,1.1037
2017-08-12 09:39:47.71,1.1433
2017-08-12 09:39:49.96,1.1805
2017-08-12 09:39:52.21,1.2393
2017-08-12 09:39:54.46,1.2520
2017-08-12 09:39:56.71,1.3383
2017-08-12 09:39:58.96,1.3653
2017-08-12 09:40:01.21,1.3937
2017-08-12 09:40:03.46,1.4027
2017-08-12 09:40:05.71,1.3688
2017-08-12 09:40:07.96,1.2735
2017-08-12 09:40:10.21,1.1183
2017-08-12 09:40:12.47,0.8730
2017-08-12 09:40:14.71,0.6770
2017-08-12 09:40:16.97,0.5375
2017-08-12 09:40:19.22,0.43817
2017-08-12 09:40:21.47,0.43667
2017-08-12 09:40:23.72,0.56067
2017-08-12 09:40:25.97,0.8150
2017-08-12 09:40:28.22,1.0450
2017-08-12 09:40:30.47,1.2058
2017-08-12 09:40:32.72,1.3472
2017-08-12 09:40:34.98,1.4398
2017-08-12 09:40:37.22,1.4747
2017-08-12 09:40:39.47,1.4768
2017-08-12 09:40:41.73,1.4737
2017-08-12 09:40:43.98,1.4402
2017-08-12 09:40:46.23,1.3652
2017-08-12 09:40:48.48,1.2935
2017-08-12 09:40:50.73,1.2237
2017-08-12 09:40:52.98,1.1358
2017-08-12 09:40:55.24,1.0757
2017-08-12 09:40:57.49,1.0595
2017-08-12 09:40:59.74,1.0863
2017-08-12 09:41:01.99,1.0990
2017-08-12 09:41:04.24,1.1017
2017-08-12 09:41:06.49,1.1065
2017-08-12 09:41:08.74,1.1190
2017-08-12 09:41:10.99,1.1668
2017-08-12 09:41:13.24,1.2163
