UTC Date/Time,Magnetic magnetic_noise, Induced Signal(dB),Average Magnetic Noise,Average Induced Signal
2019-01-05 00:00:02,-112.069,-118.23,,
2019-01-05 00:00:06,-112.069,-118.303,,
2019-01-05 00:00:10,-111.958,-118.306,,
2019-01-05 00:00:14,-112.023,-118.306,,
2019-01-05 00:00:18,-112.023,-118.09,,
2019-01-05 00:00:22,-111.953,-118.14,,
2019-01-05 00:00:26,-111.92,-118.14,,
2019-01-05 00:00:30,-111.92,-118.216,,
2019-01-05 00:00:34,-111.944,-118.282,,
2019-01-05 00:00:38,-112.022,-118.344,,
2019-01-05 00:00:42,-112.031,-118.344,-111.989,-118.2271
2019-01-05 00:00:46,-112.031,-118.162,-111.9877,-118.2272
2019-01-05 00:00:50,-111.909,-118.1,-111.9866,-118.2238
2019-01-05 00:00:54,-111.936,-118.1,-111.9855,-118.2154
2019-01-05 00:00:58,-111.965,-118.15,-111.9846,-118.2094
2019-01-05 00:01:02,-111.979,-118.15,-111.9818,-118.2229
2019-01-05 00:01:06,-112.072,-118.348,-111.9823,-118.243
2019-01-05 00:01:10,-112.072,-118.348,-111.9826,-118.263
2019-01-05 00:01:14,-112.072,-118.348,-111.9798,-118.2759
2019-01-05 00:01:18,-111.941,-118.134,-111.9759,-118.2822
2019-01-05 00:01:22,-111.941,-118.234,-111.9754,-118.2809
2019-01-05 00:01:26,-111.967,-118.234,-111.9754,-118.2742
2019-01-05 00:01:30,-111.967,-118.137,-111.9744,-118.2766
2019-01-05 00:01:34,-111.965,-118.187,-111.9726,-118.2819
2019-01-05 00:01:38,-111.97,-118.36,-111.9687,-118.2798
2019-01-05 00:01:42,-111.97,-118.541,-111.9651,-118.2727
2019-01-05 00:01:46,-111.965,-118.541,-111.9616,-118.2672
2019-01-05 00:01:50,-111.85,-118.474,-111.9606,-118.2518
2019-01-05 00:01:54,-111.923,-118.407,-111.9597,-118.2557
2019-01-05 00:01:58,-111.944,-118.319,-111.9584,-118.2621
2019-01-05 00:02:02,-111.944,-118.21,-111.9572,-118.2793
2019-01-05 00:02:06,-111.908,-118.21,-111.9566,-118.2832
2019-01-05 00:02:10,-111.931,-118.206,-111.9557,-118.2799
2019-01-05 00:02:14,-111.96,-118.059,-111.9549,-118.275
2019-01-05 00:02:18,-111.96,-118.007,-111.9541,-118.2676
2019-01-05 00:02:22,-111.925,-118.04,-111.9535,-118.2567
2019-01-05 00:02:26,-111.975,-118.04,-111.9517,-118.2401
2019-01-05 00:02:30,-111.975,-118.427,-111.95,-118.2264
2019-01-05 00:02:34,-111.951,-118.476,-111.9485,-118.2161
