Date/Time (UTC), Raw X, Raw Y, Raw Z, X Diffs, Y Diffs, Z Diffs
2016-05-07 00:00:22.03,-386.75,2655.11,4094.88,5.23,-1.28,-1.06
2016-05-07 00:00:37.64,-389.47,2655.91,4091.80,-2.72,0.80,-3.08
2016-05-07 00:00:53.25,-387.68,2652.38,4095.22,1.79,-3.53,3.42
2016-05-07 00:01:08.85,-387.85,2651.73,4092.61,-0.17,-0.65,-2.61
2016-05-07 00:01:24.46,-383.25,2653.86,4091.76,4.60,2.13,-0.85
2016-05-07 00:01:40.05,-386.14,2661.26,4093.07,-2.89,7.40,1.31
2016-05-07 00:01:55.66,-391.57,2655.60,4092.79,-5.43,-5.66,-0.28
2016-05-07 00:02:11.27,-387.17,2656.76,4094.76,4.40,1.16,1.97
2016-05-07 00:02:26.87,-387.00,2661.25,4094.56,0.17,4.49,-0.20
2016-05-07 00:02:42.48,-388.80,2658.03,4097.28,-1.80,-3.22,2.72
2016-05-07 00:02:58.09,-383.83,2656.30,4095.79,4.97,-1.73,-1.49
2016-05-07 00:03:13.68,-386.00,2658.00,4095.93,-2.17,1.70,0.14
2016-05-07 00:03:29.29,-384.42,2660.34,4097.39,1.58,2.34,1.46
2016-05-07 00:03:44.89,-384.75,2656.97,4094.48,-0.33,-3.37,-2.91
2016-05-07 00:04:00.50,-383.77,2657.85,4098.01,0.98,0.88,3.53
2016-05-07 00:04:16.11,-379.61,2657.12,4099.99,4.16,-0.73,1.98
2016-05-07 00:04:31.70,-382.16,2659.69,4090.75,-2.55,2.57,-9.24
2016-05-07 00:04:47.31,-385.41,2653.68,4089.59,-3.25,-6.01,-1.16
2016-05-07 00:05:02.92,-386.23,2654.72,4088.82,-0.82,1.04,-0.77
2016-05-07 00:05:18.52,-381.33,2656.17,4091.50,4.90,1.45,2.68
2016-05-07 00:05:34.13,-381.89,2655.92,4093.38,-0.56,-0.25,1.88
2016-05-07 00:05:49.72,-383.09,2659.72,4093.18,-1.20,3.80,-0.20
2016-05-07 00:06:05.33,-383.45,2656.87,4095.07,-0.36,-2.85,1.89
2016-05-07 00:06:20.94,-386.52,2659.89,4089.11,-3.07,3.02,-5.96
2016-05-07 00:06:36.54,-387.95,2656.25,4087.96,-1.43,-3.64,-1.15
2016-05-07 00:06:52.15,-383.95,2653.02,4093.27,4.00,-3.23,5.31
2016-05-07 00:07:07.76,-386.27,2658.90,4092.04,-2.32,5.88,-1.23
2016-05-07 00:07:23.35,-381.61,2655.38,4100.54,4.66,-3.52,8.50
2016-05-07 00:07:38.96,-384.77,2657.58,4093.86,-3.16,2.20,-6.68
2016-05-07 00:07:54.56,-385.07,2660.09,4097.29,-0.30,2.51,3.43
2016-05-07 00:08:10.17,-380.72,2656.71,4094.34,4.35,-3.38,-2.95
2016-05-07 00:08:25.78,-380.29,2658.15,4096.12,0.43,1.44,1.78
