Date/Time (UTC), Raw X, Raw Y, Raw Z, X Diffs, Y Diffs, Z Diffs
2016-05-10 00:00:19.82,-394.52,3381.83,1365.49,5.31,-1.34,-6.21
2016-05-10 00:00:35.41,-393.91,3383.47,1373.29,0.61,1.64,7.80
2016-05-10 00:00:51.02,-389.82,3385.98,1370.16,4.09,2.51,-3.13
2016-05-10 00:01:06.62,-393.02,3386.96,1373.65,-3.20,0.98,3.49
2016-05-10 00:01:22.23,-396.52,3385.97,1373.17,-3.50,-0.99,-0.48
2016-05-10 00:01:37.84,-394.45,3382.13,1371.45,2.07,-3.84,-1.72
2016-05-10 00:01:53.43,-388.38,3379.72,1367.64,6.07,-2.41,-3.81
2016-05-10 00:02:09.04,-393.47,3383.55,1367.29,-5.09,3.83,-0.35
2016-05-10 00:02:24.65,-391.48,3381.19,1371.04,1.99,-2.36,3.75
2016-05-10 00:02:40.24,-389.80,3382.53,1364.91,1.68,1.34,-6.13
2016-05-10 00:02:55.85,-394.23,3381.48,1362.51,-4.43,-1.05,-2.40
2016-05-10 00:03:11.46,-389.98,3379.48,1360.94,4.25,-2.00,-1.57
2016-05-10 00:03:27.06,-390.76,3378.48,1372.19,-0.78,-1.00,11.25
2016-05-10 00:03:42.67,-390.30,3381.57,1365.30,0.46,3.09,-6.89
2016-05-10 00:03:58.26,-385.92,3379.26,1367.56,4.38,-2.31,2.26
2016-05-10 00:04:13.87,-391.67,3383.02,1367.10,-5.75,3.76,-0.46
2016-05-10 00:04:29.48,-384.42,3379.33,1367.75,7.25,-3.69,0.65
2016-05-10 00:04:45.07,-389.27,3378.06,1374.89,-4.85,-1.27,7.14
2016-05-10 00:05:00.68,-385.07,3380.21,1373.04,4.20,2.15,-1.85
2016-05-10 00:05:16.29,-386.32,3380.97,1367.91,-1.25,0.76,-5.13
2016-05-10 00:05:31.89,-385.52,3381.10,1371.77,0.80,0.13,3.86
2016-05-10 00:05:47.50,-383.81,3377.35,1369.45,1.71,-3.75,-2.32
2016-05-10 00:06:03.11,-389.56,3378.93,1375.08,-5.75,1.58,5.63
2016-05-10 00:06:18.70,-387.76,3381.26,1373.78,1.80,2.33,-1.30
2016-05-10 00:06:34.31,-389.64,3381.69,1372.14,-1.88,0.43,-1.64
2016-05-10 00:06:49.90,-385.16,3381.62,1367.69,4.48,-0.07,-4.45
2016-05-10 00:07:05.51,-385.26,3377.38,1373.55,-0.10,-4.24,5.86
2016-05-10 00:07:21.12,-387.81,3378.44,1373.91,-2.55,1.06,0.36
2016-05-10 00:07:36.72,-389.63,3382.64,1376.44,-1.82,4.20,2.53
2016-05-10 00:07:52.33,-385.61,3380.11,1378.72,4.02,-2.53,2.28
2016-05-10 00:08:07.94,-388.05,3381.01,1373.11,-2.44,0.90,-5.61
2016-05-10 00:08:23.53,-387.89,3376.45,1369.11,0.16,-4.56,-4.00
2016-05-10 00:08:39.14,-386.94,3378.70,1371.92,0.95,2.25,2.81
2016-05-10 00:08:54.75,-384.30,3384.98,1373.13,2.64,6.28,1.21
2016-05-10 00:09:10.34,-388.01,3380.09,1369.81,-3.71,-4.89,-3.32
2016-05-10 00:09:25.95,-384.14,3381.13,1369.53,3.87,1.04,-0.28
2016-05-10 00:09:41.56,-386.24,3380.55,1376.31,-2.10,-0.58,6.78
2016-05-10 00:09:57.16,-388.02,3376.86,1367.64,-1.78,-3.69,-8.67
2016-05-10 00:10:12.77,-386.72,3378.88,1363.97,1.30,2.02,-3.67
2016-05-10 00:10:28.36,-385.30,3381.34,1373.29,1.42,2.46,9.32
2016-05-10 00:10:43.97,-380.45,3377.94,1368.29,4.85,-3.40,-5.00
2016-05-10 00:10:59.58,-381.87,3378.31,1370.51,-1.42,0.37,2.22
2016-05-10 00:11:15.18,-382.95,3375.71,1371.63,-1.08,-2.60,1.12
2016-05-10 00:11:30.79,-381.26,3380.29,1371.60,1.69,4.58,-0.03
2016-05-10 00:11:46.39,-386.77,3379.69,1372.20,-5.51,-0.60,0.60
2016-05-10 00:12:01.99,-386.61,3382.47,1369.32,0.16,2.78,-2.88
2016-05-10 00:12:17.60,-382.82,3379.21,1369.81,3.79,-3.26,0.49
2016-05-10 00:12:33.21,-382.21,3383.35,1371.77,0.61,4.14,1.96
2016-05-10 00:12:48.80,-383.80,3381.34,1375.45,-1.59,-2.01,3.68
2016-05-10 00:13:04.41,-385.47,3380.08,1372.48,-1.67,-1.26,-2.97
2016-05-10 00:13:20.02,-381.02,3381.90,1372.56,4.45,1.82,0.08
2016-05-10 00:13:35.62,-382.90,3381.52,1367.25,-1.88,-0.38,-5.31
2016-05-10 00:13:51.23,-380.93,3381.80,1370.08,1.97,0.28,2.83
2016-05-10 00:14:06.83,-381.82,3380.77,1376.31,-0.89,-1.03,6.23
2016-05-10 00:14:22.43,-380.72,3379.34,1372.54,1.10,-1.43,-3.77
2016-05-10 00:14:38.04,-377.97,3378.78,1367.56,2.75,-0.56,-4.98
2016-05-10 00:14:53.63,-383.54,3376.25,1377.51,-5.57,-2.53,9.95
2016-05-10 00:15:09.24,-379.49,3374.51,1371.80,4.05,-1.74,-5.71
2016-05-10 00:15:24.85,-378.86,3373.00,1371.69,0.63,-1.51,-0.11
2016-05-10 00:15:40.45,-379.67,3373.74,1372.08,-0.81,0.74,0.39
2016-05-10 00:15:56.06,-379.44,3373.78,1374.38,0.23,0.04,2.30
2016-05-10 00:16:11.67,-379.02,3372.40,1374.63,0.42,-1.38,0.25
2016-05-10 00:16:27.26,-379.85,3377.11,1371.69,-0.83,4.71,-2.94
2016-05-10 00:16:42.87,-380.20,3374.25,1368.89,-0.35,-2.86,-2.80
2016-05-10 00:16:58.48,-380.51,3377.43,1378.55,-0.31,3.18,9.66
2016-05-10 00:17:14.07,-379.75,3378.93,1377.32,0.76,1.50,-1.23
2016-05-10 00:17:29.68,-382.43,3377.87,1369.69,-2.68,-1.06,-7.63
2016-05-10 00:17:45.29,-380.27,3377.17,1370.08,2.16,-0.70,0.39
2016-05-10 00:18:00.89,-384.27,3376.04,1372.89,-4.00,-1.13,2.81
2016-05-10 00:18:16.50,-382.50,3376.26,1374.55,1.77,0.22,1.66
2016-05-10 00:18:32.10,-381.19,3376.70,1377.82,1.31,0.44,3.27
2016-05-10 00:18:47.70,-379.89,3376.22,1371.07,1.30,-0.48,-6.75
2016-05-10 00:19:03.31,-379.70,3380.02,1365.95,0.19,3.80,-5.12
2016-05-10 00:19:18.90,-380.58,3381.00,1373.13,-0.88,0.98,7.18
2016-05-10 00:19:34.51,-382.29,3377.52,1369.50,-1.71,-3.48,-3.63
2016-05-10 00:19:50.12,-387.92,3375.85,1376.71,-5.63,-1.67,7.21
2016-05-10 00:20:05.72,-384.83,3377.73,1380.87,3.09,1.88,4.16
2016-05-10 00:20:21.33,-388.03,3379.98,1373.38,-3.20,2.25,-7.49
2016-05-10 00:20:36.94,-387.10,3377.50,1374.34,0.93,-2.48,0.96
2016-05-10 00:20:52.53,-386.11,3382.10,1370.51,0.99,4.60,-3.83
2016-05-10 00:21:08.14,-385.86,3381.01,1375.11,0.25,-1.09,4.60
2016-05-10 00:21:23.75,-388.58,3383.21,1371.39,-2.72,2.20,-3.72
2016-05-10 00:21:39.34,-386.23,3377.56,1369.33,2.35,-5.65,-2.06
2016-05-10 00:21:54.95,-388.63,3382.15,1379.44,-2.40,4.59,10.11
2016-05-10 00:22:10.56,-388.03,3385.04,1367.71,0.60,2.89,-11.73
2016-05-10 00:22:26.16,-384.70,3379.52,1373.98,3.33,-5.52,6.27
2016-05-10 00:22:41.77,-386.87,3379.57,1375.48,-2.17,0.05,1.50
2016-05-10 00:22:57.38,-383.91,3382.04,1375.60,2.96,2.47,0.12
2016-05-10 00:23:12.97,-386.97,3377.22,1370.57,-3.06,-4.82,-5.03
2016-05-10 00:23:28.58,-381.42,3382.71,1367.17,5.55,5.49,-3.40
2016-05-10 00:23:44.17,-384.80,3377.82,1371.64,-3.38,-4.89,4.47
2016-05-10 00:23:59.78,-382.26,3379.13,1371.83,2.54,1.31,0.19
2016-05-10 00:24:15.39,-382.55,3380.01,1371.02,-0.29,0.88,-0.81
2016-05-10 00:24:30.99,-378.77,3380.68,1376.86,3.78,0.67,5.84
2016-05-10 00:24:46.60,-384.42,3375.64,1378.94,-5.65,-5.04,2.08
2016-05-10 00:25:02.21,-382.70,3378.57,1371.43,1.72,2.93,-7.51
2016-05-10 00:25:17.80,-383.35,3376.65,1372.29,-0.65,-1.92,0.86
2016-05-10 00:25:33.41,-383.17,3380.91,1374.75,0.18,4.26,2.46
2016-05-10 00:25:49.02,-382.89,3377.15,1366.93,0.28,-3.76,-7.82
2016-05-10 00:26:04.61,-379.20,3378.10,1368.50,3.69,0.95,1.57
2016-05-10 00:26:20.22,-379.55,3377.72,1371.34,-0.35,-0.38,2.84
2016-05-10 00:26:35.83,-383.35,3376.71,1373.70,-3.80,-1.01,2.36
2016-05-10 00:26:51.43,-383.31,3374.96,1375.87,0.04,-1.75,2.17
2016-05-10 00:27:07.04,-381.91,3378.52,1369.50,1.40,3.56,-6.37
2016-05-10 00:27:22.63,-383.64,3378.21,1375.94,-1.73,-0.31,6.44
2016-05-10 00:27:38.24,-376.97,3380.79,1369.27,6.67,2.58,-6.67
2016-05-10 00:27:53.85,-381.36,3381.15,1370.79,-4.39,0.36,1.52
2016-05-10 00:28:09.44,-380.01,3377.14,1373.36,1.35,-4.01,2.57
2016-05-10 00:28:25.05,-380.21,3379.99,1371.75,-0.20,2.85,-1.61
2016-05-10 00:28:40.66,-383.00,3376.92,1369.42,-2.79,-3.07,-2.33
2016-05-10 00:28:56.26,-386.58,3381.94,1371.18,-3.58,5.02,1.76
2016-05-10 00:29:11.87,-380.08,3378.44,1370.43,6.50,-3.50,-0.75
2016-05-10 00:29:27.48,-385.27,3379.55,1379.09,-5.19,1.11,8.66
2016-05-10 00:29:43.07,-376.54,3376.56,1367.42,8.73,-2.99,-11.67
2016-05-10 00:29:58.68,-381.45,3377.57,1375.79,-4.91,1.01,8.37
2016-05-10 00:30:14.29,-379.11,3380.78,1371.87,2.34,3.21,-3.92
2016-05-10 00:30:29.89,-377.75,3381.40,1378.01,1.36,0.62,6.14
2016-05-10 00:30:45.50,-381.95,3377.99,1368.95,-4.20,-3.41,-9.06
2016-05-10 00:31:01.10,-386.88,3381.23,1379.21,-4.93,3.24,10.26
2016-05-10 00:31:16.70,-380.88,3384.72,1373.57,6.00,3.49,-5.64
2016-05-10 00:31:32.31,-379.24,3383.20,1379.31,1.64,-1.52,5.74
2016-05-10 00:31:47.90,-380.13,3382.77,1371.29,-0.89,-0.43,-8.02
2016-05-10 00:32:03.51,-382.93,3382.58,1378.38,-2.80,-0.19,7.09
2016-05-10 00:32:19.12,-384.02,3382.22,1369.30,-1.09,-0.36,-9.08
2016-05-10 00:32:34.72,-380.66,3381.05,1378.61,3.36,-1.17,9.31
2016-05-10 00:32:50.24,-383.72,3382.78,1376.75,-3.06,1.73,-1.86
2016-05-10 00:33:05.85,-383.46,3380.45,1375.11,0.26,-2.33,-1.64
2016-05-10 00:33:21.44,-382.50,3380.58,1374.46,0.96,0.13,-0.65
2016-05-10 00:33:37.05,-379.69,3378.35,1368.82,2.81,-2.23,-5.64
2016-05-10 00:33:52.66,-382.82,3384.45,1369.91,-3.13,6.10,1.09
2016-05-10 00:34:08.26,-383.64,3383.53,1376.58,-0.82,-0.92,6.67
2016-05-10 00:34:23.87,-381.14,3378.68,1365.81,2.50,-4.85,-10.77
2016-05-10 00:34:39.47,-381.89,3378.93,1373.40,-0.75,0.25,7.59
2016-05-10 00:34:55.07,-380.82,3377.83,1370.79,1.07,-1.10,-2.61
2016-05-10 00:35:10.68,-382.31,3380.95,1368.78,-1.49,3.12,-2.01
2016-05-10 00:35:26.27,-385.23,3377.75,1371.91,-2.92,-3.20,3.13
2016-05-10 00:35:41.88,-382.48,3377.73,1369.55,2.75,-0.02,-2.36
2016-05-10 00:35:57.49,-381.37,3375.82,1367.19,1.11,-1.91,-2.36
2016-05-10 00:36:13.09,-383.89,3378.87,1373.31,-2.52,3.05,6.12
2016-05-10 00:36:28.70,-388.11,3381.52,1371.57,-4.22,2.65,-1.74
2016-05-10 00:36:44.31,-382.67,3380.17,1370.44,5.44,-1.35,-1.13
2016-05-10 00:36:59.90,-381.09,3379.85,1375.09,1.58,-0.32,4.65
2016-05-10 00:37:15.51,-381.23,3382.27,1371.04,-0.14,2.42,-4.05
2016-05-10 00:37:31.12,-383.55,3380.65,1374.30,-2.32,-1.62,3.26
2016-05-10 00:37:46.71,-381.46,3382.36,1373.73,2.09,1.71,-0.57
2016-05-10 00:38:02.32,-381.30,3382.54,1377.03,0.16,0.18,3.30
2016-05-10 00:38:17.93,-379.47,3380.23,1378.55,1.83,-2.31,1.52
2016-05-10 00:38:33.53,-378.63,3382.61,1378.50,0.84,2.38,-0.05
2016-05-10 00:38:49.14,-385.82,3377.23,1373.35,-7.19,-5.38,-5.15
2016-05-10 00:39:04.73,-382.19,3378.39,1375.94,3.63,1.16,2.59
2016-05-10 00:39:20.34,-382.34,3377.92,1372.12,-0.15,-0.47,-3.82
2016-05-10 00:39:35.95,-381.30,3378.92,1374.53,1.04,1.00,2.41
2016-05-10 00:39:51.54,-379.11,3377.00,1372.83,2.19,-1.92,-1.70
2016-05-10 00:40:07.15,-382.20,3378.26,1375.55,-3.09,1.26,2.72
2016-05-10 00:40:22.76,-376.36,3380.76,1376.06,5.84,2.50,0.51
2016-05-10 00:40:38.36,-382.94,3378.18,1375.81,-6.58,-2.58,-0.25
2016-05-10 00:40:53.97,-383.46,3382.86,1377.15,-0.52,4.68,1.34
