Date/Time (UTC), Raw X, Raw Y, Raw Z
2017-03-23 00:00:25.77,-96.83,3472.12,1317.70
2017-03-23 00:00:40.44,-97.40,3470.80,1317.58
2017-03-23 00:00:55.12,-96.52,3471.09,1322.36
2017-03-23 00:01:09.79,-95.28,3471.37,1319.97
2017-03-23 00:01:24.46,-94.68,3471.24,1316.18
2017-03-23 00:01:39.14,-94.63,3472.07,1319.20
2017-03-23 00:01:53.81,-95.38,3470.98,1321.66
2017-03-23 00:02:08.48,-95.87,3471.14,1319.94
2017-03-23 00:02:23.15,-96.16,3473.14,1324.10
2017-03-23 00:02:37.83,-96.08,3473.99,1326.06
2017-03-23 00:02:52.50,-93.53,3471.55,1321.69
2017-03-23 00:03:07.17,-93.97,3471.99,1322.64
2017-03-23 00:03:21.85,-93.68,3473.03,1321.95
2017-03-23 00:03:36.52,-92.39,3470.79,1322.88
2017-03-23 00:03:51.19,-92.29,3470.68,1321.17
2017-03-23 00:04:05.87,-94.67,3469.88,1322.75
2017-03-23 00:04:20.54,-92.04,3470.26,1326.41
2017-03-23 00:04:35.22,-92.65,3470.14,1323.13
2017-03-23 00:04:49.89,-91.71,3470.24,1319.25
2017-03-23 00:05:04.56,-89.58,3468.67,1321.79
2017-03-23 00:05:19.24,-90.33,3470.93,1325.20
2017-03-23 00:05:33.91,-92.19,3471.26,1325.83
2017-03-23 00:05:48.58,-94.97,3472.10,1321.00
2017-03-23 00:06:03.25,-94.89,3472.00,1323.84
2017-03-23 00:06:17.92,-93.13,3470.69,1323.78
2017-03-23 00:06:32.60,-92.63,3469.76,1322.05
2017-03-23 00:06:47.27,-92.68,3468.24,1323.70
2017-03-23 00:07:01.94,-94.14,3469.86,1323.94
2017-03-23 00:07:16.62,-93.98,3469.14,1321.33
2017-03-23 00:07:31.29,-93.87,3470.54,1323.25
2017-03-23 00:07:45.96,-94.66,3470.09,1324.52
2017-03-23 00:08:00.64,-93.42,3469.01,1324.93
2017-03-23 00:08:15.31,-92.93,3467.45,1324.47
2017-03-23 00:08:29.98,-93.72,3467.54,1328.56
2017-03-23 00:08:44.66,-94.73,3468.47,1324.90
2017-03-23 00:08:59.33,-92.19,3468.96,1324.49
2017-03-23 00:09:14.00,-93.40,3470.01,1323.51
2017-03-23 00:09:28.68,-92.20,3470.53,1327.22
2017-03-23 00:09:43.35,-92.32,3470.54,1327.29
2017-03-23 00:09:58.02,-92.81,3469.20,1330.30
2017-03-23 00:10:12.70,-92.08,3467.47,1326.30
2017-03-23 00:10:27.37,-91.17,3466.50,1326.14
2017-03-23 00:10:42.04,-88.99,3465.61,1321.82
2017-03-23 00:10:56.72,-90.13,3466.42,1320.83
2017-03-23 00:11:11.39,-89.25,3466.82,1324.32
2017-03-23 00:11:26.06,-88.60,3467.36,1325.40
2017-03-23 00:11:40.73,-91.16,3466.61,1321.37
2017-03-23 00:11:55.41,-88.51,3466.81,1323.99
2017-03-23 00:12:10.08,-88.87,3466.29,1325.21
2017-03-23 00:12:24.75,-89.27,3466.58,1323.33
2017-03-23 00:12:39.43,-89.07,3466.43,1324.60
2017-03-23 00:12:54.10,-90.35,3466.40,1325.91
2017-03-23 00:13:08.77,-91.50,3466.68,1326.07
2017-03-23 00:13:23.45,-92.25,3468.17,1325.90
2017-03-23 00:13:38.12,-91.56,3466.53,1322.61
2017-03-23 00:13:52.78,-90.82,3467.01,1324.96
2017-03-23 00:14:07.45,-90.56,3466.56,1326.40
2017-03-23 00:14:22.12,-90.86,3465.55,1323.67
2017-03-23 00:14:36.79,-92.54,3465.09,1324.44
2017-03-23 00:14:51.45,-90.76,3463.94,1319.99
2017-03-23 00:15:06.12,-89.31,3463.07,1321.39
2017-03-23 00:15:20.79,-91.83,3464.05,1321.80
2017-03-23 00:15:35.46,-91.88,3465.90,1320.37
2017-03-23 00:15:50.13,-94.17,3463.99,1318.88
2017-03-23 00:16:04.79,-92.89,3465.38,1321.85
2017-03-23 00:16:19.46,-91.70,3462.68,1322.09
2017-03-23 00:16:34.13,-91.73,3464.59,1324.00
2017-03-23 00:16:48.80,-91.01,3463.01,1324.80
2017-03-23 00:17:03.47,-89.31,3462.66,1324.57
2017-03-23 00:17:18.14,-89.62,3465.37,1325.62
2017-03-23 00:17:32.80,-88.04,3466.48,1324.65
2017-03-23 00:17:47.47,-87.27,3462.88,1323.67
2017-03-23 00:18:02.14,-85.48,3461.82,1323.59
2017-03-23 00:18:16.81,-87.57,3461.87,1323.83
2017-03-23 00:18:31.48,-86.73,3462.15,1321.89
2017-03-23 00:18:46.14,-86.86,3464.48,1320.81
2017-03-23 00:19:00.81,-85.43,3461.30,1322.73
2017-03-23 00:19:15.48,-85.79,3463.12,1324.60
2017-03-23 00:19:30.15,-86.60,3461.85,1325.00
2017-03-23 00:19:44.82,-85.19,3464.15,1325.46
2017-03-23 00:19:59.48,-84.59,3462.45,1326.71
