Date/Time(UTC), Geomagnetic Activity
1547636435,38.324
1547636450,38.324
1547636465,38.412
1547636480,38.511
1547636495,38.511
1547636510,38.321
1547636525,38.321
1547636540,38.557
1547636556,38.557
1547636571,38.424
1547636586,38.336
1547636601,38.424
1547636616,38.356
1547636631,38.525
1547636646,38.540
1547636661,38.540
1547636676,38.418
1547636691,38.081
1547636706,38.081
1547636721,38.093
1547636736,38.189
1547636752,38.189
1547636767,38.093
1547636782,38.057
1547636797,37.971
1547636812,37.971
1547636827,37.971
1547636842,37.911
1547636857,37.842
1547636872,37.824
1547636887,37.782
1547636902,37.672
1547636917,37.560
1547636933,37.514
1547636948,37.560
1547636963,37.599
1547636978,37.599
1547636993,37.439
1547637008,37.414
1547637023,37.339
1547637038,37.247
1547637053,37.247
1547637068,37.089
1547637083,37.010
1547637098,36.943
1547637113,36.807
1547637129,36.715
1547637144,36.715
1547637159,36.849
1547637174,36.999
1547637189,36.949
1547637204,36.949
1547637219,36.828
1547637234,36.808
1547637249,36.789
1547637264,36.808
1547637279,36.604
1547637294,36.533
1547637309,36.418
1547637325,36.418
1547637340,36.418
1547637355,36.414
1547637370,36.414
1547637385,36.465
1547637400,36.472
1547637415,36.612
1547637430,36.638
1547637445,36.638
1547637460,36.638
1547637475,36.628
1547637490,36.704
1547637505,36.571
1547637521,36.571
1547637536,36.497
1547637551,36.497
1547637566,36.476
1547637581,36.571
1547637596,36.476
1547637611,36.406
1547637626,36.406
1547637641,36.406
1547637656,36.404
1547637671,36.374
1547637686,36.374
1547637701,36.374
1547637717,36.049
1547637732,36.049
1547637747,36.257
1547637762,36.257
1547637777,36.239
1547637792,36.239
1547637807,36.239
1547637822,36.008
1547637837,36.001
1547637852,36.001
1547637867,35.919
1547637882,35.961
1547637898,35.961
1547637913,36.008
1547637928,36.008
1547637943,35.986
1547637958,35.897
1547637973,35.897
1547637988,35.851
1547638003,35.849
1547638018,35.594
1547638033,35.564
1547638048,35.564
1547638063,35.504
1547638078,35.356
1547638094,35.385
1547638109,35.356
1547638124,35.340
1547638139,35.101
1547638154,35.101
1547638169,35.150
1547638184,35.150
1547638199,35.024
1547638214,35.003
1547638229,35.003
1547638244,35.033
1547638259,35.033
1547638275,34.906
1547638290,34.843
1547638305,34.843
1547638320,34.969
1547638335,35.101
1547638350,35.028
1547638365,35.028
1547638380,34.612
1547638395,34.510
1547638410,34.510
1547638425,34.540
1547638440,34.778
1547638455,34.778
1547638471,34.557
1547638486,34.476
1547638501,34.449
1547638516,34.378
1547638531,34.257
1547638546,34.199
1547638561,34.140
1547638576,34.065
1547638591,34.065
1547638606,34.065
1547638621,33.989
1547638636,33.989
1547638652,34.071
1547638667,34.071
1547638682,34.099
1547638697,34.032
1547638712,34.032
1547638727,33.836
1547638742,33.836
1547638757,33.836
1547638772,33.910
1547638787,33.910
1547638802,33.947
1547638817,33.776
1547638832,33.947
1547638848,33.776
1547638863,33.769
1547638878,33.721
1547638893,33.721
1547638908,33.551
1547638923,33.412
1547638938,33.412
1547638953,33.481
1547638968,33.546
1547638983,33.546
1547638998,33.265
1547639013,33.265
1547639028,33.269
1547639044,33.300
1547639059,33.269
1547639074,33.264
1547639089,33.214
1547639104,33.119
1547639119,33.119
1547639134,33.119
1547639149,33.031
1547639164,32.939
1547639179,32.958
1547639194,32.772
1547639209,32.744
1547639225,32.694
1547639240,32.658
1547639255,32.694
1547639270,32.771
1547639285,32.771
1547639300,32.649
1547639315,32.614
1547639330,32.514
1547639345,32.614
1547639360,32.719
1547639375,32.746
1547639390,32.746
1547639405,32.678
1547639421,32.678
1547639436,32.689
