Date UTC,Time UTC,Running Average (Interval = 10)
2015-08-01,05:39:42.3,108
2015-08-01,05:39:56.6,112
2015-08-01,05:40:11.0,109
2015-08-01,05:40:25.4,114
2015-08-01,05:40:39.8,114
2015-08-01,05:40:54.1,109
2015-08-01,05:41:08.5,109
2015-08-01,05:41:22.9,110
2015-08-01,05:41:37.2,108
2015-08-01,05:41:51.6,111
2015-08-01,05:42:06.0,110.4
2015-08-01,05:42:20.3,110.9
2015-08-01,05:42:34.7,111.1
2015-08-01,05:42:49.1,111.2
2015-08-01,05:43:03.5,110.8
2015-08-01,05:43:17.8,110.3
2015-08-01,05:43:32.2,110.7
2015-08-01,05:43:46.6,110.9
2015-08-01,05:44:00.9,111.8
2015-08-01,05:44:15.3,112.1
2015-08-01,05:44:29.7,112.1
2015-08-01,05:44:44.0,112.1
2015-08-01,05:44:58.4,111.8
2015-08-01,05:45:12.8,111.8
2015-08-01,05:45:27.1,111.8
2015-08-01,05:45:41.5,111.9
2015-08-01,05:45:55.9,111.4
2015-08-01,05:46:10.3,111.2
2015-08-01,05:46:24.6,110.1
2015-08-01,05:46:39.0,110.3
2015-08-01,05:46:53.4,110.1
2015-08-01,05:47:07.7,109.6
2015-08-01,05:47:22.1,109.6
2015-08-01,05:47:36.5,109.3
2015-08-01,05:47:50.8,108.9
2015-08-01,05:48:05.2,108.8
2015-08-01,05:48:19.6,108.7
2015-08-01,05:48:34.0,108.7
2015-08-01,05:48:48.3,109.3
2015-08-01,05:49:02.7,109.1
2015-08-01,05:49:17.1,109.1
2015-08-01,05:49:31.4,109.2
2015-08-01,05:49:45.8,109.2
2015-08-01,05:50:00.2,109.5
2015-08-01,05:50:14.5,109.9
2015-08-01,05:50:28.9,110
2015-08-01,05:50:43.3,110.1
2015-08-01,05:50:57.6,109.9
2015-08-01,05:51:12.0,109.3
2015-08-01,05:51:26.4,109
2015-08-01,05:51:40.8,109.1
2015-08-01,05:51:55.1,108.9
2015-08-01,05:52:09.5,108.7
2015-08-01,05:52:23.9,108.3
2015-08-01,05:52:38.2,107.9
2015-08-01,05:52:52.6,107.8
2015-08-01,05:53:07.0,107.6
2015-08-01,05:53:21.3,107.2
2015-08-01,05:53:35.7,107.4
2015-08-01,05:53:50.1,107.4
2015-08-01,05:54:04.5,107.3
2015-08-01,05:54:18.8,107.3
2015-08-01,05:54:33.2,107.2
2015-08-01,05:54:47.6,107
2015-08-01,05:55:01.9,106.5
2015-08-01,05:55:16.3,105.9
2015-08-01,05:55:30.7,105.5
2015-08-01,05:55:45.0,105.7
2015-08-01,05:55:59.4,105.4
2015-08-01,05:56:13.8,105
2015-08-01,05:56:28.1,104.6
2015-08-01,05:56:42.5,104.9
2015-08-01,05:56:56.9,104.9
2015-08-01,05:57:11.3,105.3
2015-08-01,05:57:25.6,106
2015-08-01,05:57:40.0,106.9
2015-08-01,05:57:54.4,107.2
2015-08-01,05:58:08.7,107.3
2015-08-01,05:58:23.1,107.2
2015-08-01,05:58:37.5,107.6
2015-08-01,05:58:51.8,107.8
2015-08-01,05:59:06.2,107.6
2015-08-01,05:59:20.6,107.4
2015-08-01,05:59:35.0,107.6
2015-08-01,05:59:49.3,107.5
2015-08-01,06:00:03.7,107
2015-08-01,06:00:18.1,107.5
2015-08-01,06:00:32.4,107.5
2015-08-01,06:00:46.8,107.6
2015-08-01,06:01:01.2,107.7
2015-08-01,06:01:15.5,108.1
2015-08-01,06:01:29.9,108.1
2015-08-01,06:01:44.3,108.7
2015-08-01,06:01:58.6,108.8
2015-08-01,06:02:13.0,108.9
2015-08-01,06:02:27.4,109.1
2015-08-01,06:02:41.8,109.1
2015-08-01,06:02:56.1,109.6
2015-08-01,06:03:10.5,109.9
2015-08-01,06:03:24.9,109.8
2015-08-01,06:03:39.2,109.6
2015-08-01,06:03:53.6,109.7
2015-08-01,06:04:08.0,109.2
2015-08-01,06:04:22.3,108.7
2015-08-01,06:04:36.7,108.8
2015-08-01,06:04:51.1,108.3
2015-08-01,06:05:05.4,107.7
2015-08-01,06:05:19.8,106.9
2015-08-01,06:05:34.2,106.4
2015-08-01,06:05:48.6,106
2015-08-01,06:06:02.9,105.8
2015-08-01,06:06:17.3,105
2015-08-01,06:06:31.7,104.9
2015-08-01,06:06:46.0,104.7
2015-08-01,06:07:00.4,104.5
2015-08-01,06:07:14.8,105
2015-08-01,06:07:29.1,105.6
2015-08-01,06:07:43.5,105.9
2015-08-01,06:07:57.9,106.4
2015-08-01,06:08:12.3,107
2015-08-01,06:08:26.6,107.2
2015-08-01,06:08:41.0,108
2015-08-01,06:08:55.4,108.4
2015-08-01,06:09:09.7,109.2
2015-08-01,06:09:24.1,109
2015-08-01,06:09:38.5,108.5
2015-08-01,06:09:52.8,107.9
2015-08-01,06:10:07.2,107.8
2015-08-01,06:10:21.6,107.9
2015-08-01,06:10:35.9,107.7
2015-08-01,06:10:50.3,107.2
2015-08-01,06:11:04.7,106.8
2015-08-01,06:11:19.1,106.6
2015-08-01,06:11:33.4,105.8
2015-08-01,06:11:47.8,105.9
2015-08-01,06:12:02.2,106.5
2015-08-01,06:12:16.5,107
2015-08-01,06:12:30.9,107.6
2015-08-01,06:12:45.3,107.2
2015-08-01,06:12:59.7,107.1
2015-08-01,06:13:14.0,107.3
2015-08-01,06:13:28.4,107.4
2015-08-01,06:13:42.8,106.7
2015-08-01,06:13:57.1,107.1
2015-08-01,06:14:11.5,107.2
2015-08-01,06:14:25.9,106.9
2015-08-01,06:14:40.2,106.6
2015-08-01,06:14:54.6,106.8
2015-08-01,06:15:09.0,107.1
2015-08-01,06:15:23.3,107.2
2015-08-01,06:15:37.7,106.7
2015-08-01,06:15:52.1,106.5
2015-08-01,06:16:06.4,107.1
2015-08-01,06:16:20.8,106.9
2015-08-01,06:16:35.2,107.2
2015-08-01,06:16:49.6,107.2
2015-08-01,06:17:03.9,107.4
2015-08-01,06:17:18.3,106.9
2015-08-01,06:17:32.7,106.4
2015-08-01,06:17:47.0,106.1
2015-08-01,06:18:01.4,106.4
2015-08-01,06:18:15.8,106.3
2015-08-01,06:18:30.1,106.1
2015-08-01,06:18:44.5,106.2
2015-08-01,06:18:58.9,105.8
2015-08-01,06:19:13.3,105.7
2015-08-01,06:19:27.6,105.5
2015-08-01,06:19:42.0,105.7
2015-08-01,06:19:56.4,106
2015-08-01,06:20:10.7,105.9
2015-08-01,06:20:25.1,106.1
2015-08-01,06:20:39.5,106
2015-08-01,06:20:53.8,106.1
2015-08-01,06:21:08.2,105.8
2015-08-01,06:21:22.6,105.8
2015-08-01,06:21:36.9,105.4
