Date UTC,Time UTC,H Value,Running Average (Interval = 10)
2015-08-01,07:34:39.6,107,106.6
2015-08-01,07:34:54.0,108,106.4
2015-08-01,07:35:08.3,104,106.3
2015-08-01,07:35:22.7,103,105.9
2015-08-01,07:35:37.1,106,105.4
2015-08-01,07:35:51.5,102,104.9
2015-08-01,07:36:05.8,110,105
2015-08-01,07:36:20.2,108,105.3
2015-08-01,07:36:34.6,109,105.8
2015-08-01,07:36:48.9,107,106.3
2015-08-01,07:37:03.3,100,106.4
2015-08-01,07:37:17.7,108,105.7
2015-08-01,07:37:32.0,99,105.7
2015-08-01,07:37:46.4,107,105.2
2015-08-01,07:38:00.8,107,105.6
2015-08-01,07:38:15.1,104,105.7
2015-08-01,07:38:29.5,105,105.9
2015-08-01,07:38:43.9,104,105.4
2015-08-01,07:38:58.3,107,105
2015-08-01,07:39:12.6,105,104.8
2015-08-01,07:39:27.0,108,104.6
2015-08-01,07:39:41.4,107,105.4
2015-08-01,07:39:55.7,110,105.3
2015-08-01,07:40:10.1,103,106.4
2015-08-01,07:40:24.5,108,106
2015-08-01,07:40:38.8,107,106.1
2015-08-01,07:40:53.2,104,106.4
2015-08-01,07:41:07.6,107,106.3
2015-08-01,07:41:22.0,105,106.6
2015-08-01,07:41:36.3,100,106.4
2015-08-01,07:41:50.7,108,105.9
2015-08-01,07:42:05.1,103,105.9
2015-08-01,07:42:19.4,102,105.5
2015-08-01,07:42:33.8,110,104.7
2015-08-01,07:42:48.2,106,105.4
2015-08-01,07:43:02.5,105,105.2
2015-08-01,07:43:16.9,107,105
2015-08-01,07:43:31.3,104,105.3
2015-08-01,07:43:45.6,105,105
2015-08-01,07:44:00.0,111,105
2015-08-01,07:44:14.4,103,106.1
2015-08-01,07:44:28.7,105,105.6
2015-08-01,07:44:43.1,106,105.8
2015-08-01,07:44:57.5,104,106.2
2015-08-01,07:45:11.9,105,105.6
2015-08-01,07:45:26.2,106,105.5
2015-08-01,07:45:40.6,106,105.6
2015-08-01,07:45:55.0,106,105.5
2015-08-01,07:46:09.3,108,105.7
2015-08-01,07:46:23.7,108,106
2015-08-01,07:46:38.1,106,105.7
2015-08-01,07:46:52.4,108,106
2015-08-01,07:47:06.8,109,106.3
2015-08-01,07:47:21.2,109,106.6
2015-08-01,07:47:35.6,104,107.1
2015-08-01,07:47:49.9,104,107
2015-08-01,07:48:04.3,107,106.8
2015-08-01,07:48:18.7,107,106.9
2015-08-01,07:48:33.0,106,107
2015-08-01,07:48:47.4,106,106.8
2015-08-01,07:49:01.8,107,106.6
2015-08-01,07:49:16.1,102,106.7
2015-08-01,07:49:30.5,110,106.1
2015-08-01,07:49:44.9,107,106.2
2015-08-01,07:49:59.2,106,106
2015-08-01,07:50:13.6,106,106.2
2015-08-01,07:50:28.0,104,106.4
2015-08-01,07:50:42.4,107,106.1
2015-08-01,07:50:56.7,107,106.1
2015-08-01,07:51:11.1,105,106.2
2015-08-01,07:51:25.5,104,106.1
2015-08-01,07:51:39.8,104,105.8
2015-08-01,07:51:54.2,105,106
2015-08-01,07:52:08.6,109,105.5
2015-08-01,07:52:22.9,105,105.7
2015-08-01,07:52:37.3,108,105.6
2015-08-01,07:52:51.7,107,105.8
2015-08-01,07:53:06.0,104,106.1
2015-08-01,07:53:20.4,107,105.8
2015-08-01,07:53:34.8,104,105.8
2015-08-01,07:53:49.2,106,105.7
2015-08-01,07:54:03.5,111,105.9
2015-08-01,07:54:17.9,108,106.6
2015-08-01,07:54:32.3,104,106.9
2015-08-01,07:54:46.6,105,106.4
2015-08-01,07:55:01.0,104,106.4
2015-08-01,07:55:15.4,104,106
2015-08-01,07:55:29.7,105,105.7
2015-08-01,07:55:44.1,99,105.8
2015-08-01,07:55:58.5,102,105
2015-08-01,07:56:12.9,105,104.8
2015-08-01,07:56:27.2,105,104.7
2015-08-01,07:56:41.6,103,104.1
2015-08-01,07:56:56.0,105,103.6
2015-08-01,07:57:10.3,106,103.7
2015-08-01,07:57:24.7,106,103.8
2015-08-01,07:57:39.1,110,104
2015-08-01,07:57:53.4,111,104.6
2015-08-01,07:58:07.8,110,105.2
2015-08-01,07:58:22.2,110,106.3
2015-08-01,07:58:36.5,110,107.1
2015-08-01,07:58:50.9,105,107.6
2015-08-01,07:59:05.3,104,107.6
2015-08-01,07:59:19.6,108,107.7
2015-08-01,07:59:34.0,107,108
2015-08-01,07:59:48.4,107,108.1
2015-08-01,08:00:02.8,109,108.2
2015-08-01,08:00:17.1,108,108.1
2015-08-01,08:00:31.5,106,107.8
2015-08-01,08:00:45.9,103,107.4
2015-08-01,08:01:00.2,107,106.7
2015-08-01,08:01:14.6,109,106.4
2015-08-01,08:01:29.0,107,106.8
2015-08-01,08:01:43.3,107,107.1
2015-08-01,08:01:57.7,107,107
2015-08-01,08:02:12.1,109,107
2015-08-01,08:02:26.5,107,107.2
2015-08-01,08:02:40.8,107,107
2015-08-01,08:02:55.2,107,106.9
2015-08-01,08:03:09.6,106,107
2015-08-01,08:03:23.9,105,107.3
2015-08-01,08:03:38.3,107,107.1
2015-08-01,08:03:52.7,105,106.9
2015-08-01,08:04:07.0,109,106.7
2015-08-01,08:04:21.4,107,106.9
2015-08-01,08:04:35.8,106,106.9
2015-08-01,08:04:50.1,105,106.6
2015-08-01,08:05:04.5,109,106.4
2015-08-01,08:05:18.9,105,106.6
2015-08-01,08:05:33.2,107,106.4
2015-08-01,08:05:47.6,109,106.5
2015-08-01,08:06:02.0,102,106.9
2015-08-01,08:06:16.4,105,106.4
2015-08-01,08:06:30.7,105,106.4
2015-08-01,08:06:45.1,105,106
2015-08-01,08:06:59.5,107,105.8
2015-08-01,08:07:13.8,101,105.9
2015-08-01,08:07:28.2,108,105.5
2015-08-01,08:07:42.6,107,105.4
2015-08-01,08:07:56.9,106,105.6
2015-08-01,08:08:11.3,104,105.5
2015-08-01,08:08:25.7,105,105
2015-08-01,08:08:40.0,107,105.3
2015-08-01,08:08:54.4,107,105.5
2015-08-01,08:09:08.8,107,105.7
2015-08-01,08:09:23.2,102,105.9
2015-08-01,08:09:37.5,99,105.4
2015-08-01,08:09:51.9,105,105.2
2015-08-01,08:10:06.3,103,104.9
2015-08-01,08:10:20.6,100,104.5
2015-08-01,08:10:35.0,104,103.9
2015-08-01,08:10:49.4,105,103.9
2015-08-01,08:11:03.7,106,103.9
2015-08-01,08:11:18.1,107,103.8
2015-08-01,08:11:32.5,105,103.8
2015-08-01,08:11:46.9,101,103.6
2015-08-01,08:12:01.2,105,103.5
2015-08-01,08:12:15.6,107,104.1
2015-08-01,08:12:30.0,109,104.3
2015-08-01,08:12:44.3,109,104.9
2015-08-01,08:12:58.7,104,105.8
2015-08-01,08:13:13.1,104,105.8
2015-08-01,08:13:27.4,101,105.7
2015-08-01,08:13:41.8,101,105.2
2015-08-01,08:13:56.2,105,104.6
2015-08-01,08:14:10.5,104,104.6
2015-08-01,08:14:24.9,110,104.9
2015-08-01,08:14:39.3,105,105.4
2015-08-01,08:14:53.6,111,105.2
2015-08-01,08:15:08.0,104,105.4
2015-08-01,08:15:22.4,103,104.9
2015-08-01,08:15:36.8,108,104.8
2015-08-01,08:15:51.1,107,105.2
2015-08-01,08:16:05.5,109,105.8
2015-08-01,08:16:19.9,106,106.6
2015-08-01,08:16:34.2,104,106.7
2015-08-01,08:16:48.6,107,106.7
2015-08-01,08:17:03.0,106,106.4
2015-08-01,08:17:17.4,106,106.5
2015-08-01,08:17:31.7,99,106
2015-08-01,08:17:46.1,101,105.5
2015-08-01,08:18:00.5,104,105.3
2015-08-01,08:18:14.8,103,104.9
2015-08-01,08:18:29.2,101,104.5
2015-08-01,08:18:43.6,105,103.7
2015-08-01,08:18:57.9,102,103.6
2015-08-01,08:19:12.3,103,103.4
2015-08-01,08:19:26.7,107,103
2015-08-01,08:19:41.0,106,103.1
2015-08-01,08:19:55.4,105,103.1
2015-08-01,08:20:09.8,104,103.7
2015-08-01,08:20:24.1,105,104
2015-08-01,08:20:38.5,107,104.1
2015-08-01,08:20:52.9,103,104.5
2015-08-01,08:21:07.3,102,104.7
2015-08-01,08:21:21.6,106,104.4
2015-08-01,08:21:36.0,105,104.8
2015-08-01,08:21:50.4,102,105
2015-08-01,08:22:04.7,106,104.5
2015-08-01,08:22:19.1,103,104.5
2015-08-01,08:22:33.5,109,104.3
2015-08-01,08:22:47.8,103,104.8
2015-08-01,08:23:02.2,104,104.6
2015-08-01,08:23:16.6,104,104.3
2015-08-01,08:23:30.9,107,104.4
2015-08-01,08:23:45.3,103,104.9
2015-08-01,08:23:59.7,100,104.6
2015-08-01,08:24:14.1,104,104.1
2015-08-01,08:24:28.4,105,104.3
2015-08-01,08:24:42.8,104,104.2
2015-08-01,08:24:57.2,99,104.3
2015-08-01,08:25:11.5,100,103.3
2015-08-01,08:25:25.9,106,103
2015-08-01,08:25:40.3,105,103.2
2015-08-01,08:25:54.6,107,103.3
2015-08-01,08:26:09.0,111,103.3
2015-08-01,08:26:23.4,110,104.1
2015-08-01,08:26:37.8,109,105.1
2015-08-01,08:26:52.1,110,105.6
2015-08-01,08:27:06.5,106,106.1
2015-08-01,08:27:20.9,110,106.3
2015-08-01,08:27:35.2,106,107.4
2015-08-01,08:27:49.6,106,108
2015-08-01,08:28:04.0,105,108
2015-08-01,08:28:18.3,106,108
2015-08-01,08:28:32.7,104,107.9
2015-08-01,08:28:47.1,106,107.2
2015-08-01,08:29:01.4,102,106.8
2015-08-01,08:29:15.8,107,106.1
2015-08-01,08:29:30.2,105,105.8
2015-08-01,08:29:44.5,110,105.7
2015-08-01,08:29:58.9,97,105.7
2015-08-01,08:30:13.3,105,104.8
2015-08-01,08:30:27.7,107,104.7
2015-08-01,08:30:42.0,103,104.9
2015-08-01,08:30:56.4,106,104.6
2015-08-01,08:31:10.8,109,104.8
2015-08-01,08:31:25.1,108,105.1
2015-08-01,08:31:39.5,107,105.7
2015-08-01,08:31:53.9,110,105.7
2015-08-01,08:32:08.2,107,106.2
2015-08-01,08:32:22.6,104,105.9
2015-08-01,08:32:37.0,102,106.6
2015-08-01,08:32:51.4,104,106.3
2015-08-01,08:33:05.7,107,106
2015-08-01,08:33:20.1,106,106.4
2015-08-01,08:33:34.5,106,106.4
2015-08-01,08:33:48.8,109,106.1
2015-08-01,08:34:03.2,106,106.2
2015-08-01,08:34:17.6,106,106.1
2015-08-01,08:34:31.9,108,105.7
2015-08-01,08:34:46.3,105,105.8
2015-08-01,08:35:00.7,104,105.9
2015-08-01,08:35:15.0,106,106.1
2015-08-01,08:35:29.4,101,106.3
2015-08-01,08:35:43.8,104,105.7
2015-08-01,08:35:58.2,104,105.5
2015-08-01,08:36:12.5,103,105.3
2015-08-01,08:36:26.9,102,104.7
2015-08-01,08:36:41.3,101,104.3
2015-08-01,08:36:55.6,103,103.8
2015-08-01,08:37:10.0,106,103.3
2015-08-01,08:37:24.4,106,103.4
2015-08-01,08:37:38.7,107,103.6
2015-08-01,08:37:53.1,105,103.7
2015-08-01,08:38:07.5,108,104.1
2015-08-01,08:38:21.8,105,104.5
2015-08-01,08:38:36.2,105,104.6
2015-08-01,08:38:50.6,104,104.8
2015-08-01,08:39:04.9,104,105
2015-08-01,08:39:19.3,106,105.3
2015-08-01,08:39:33.7,105,105.6
2015-08-01,08:39:48.1,101,105.5
2015-08-01,08:40:02.4,106,105
2015-08-01,08:40:16.8,107,104.9
2015-08-01,08:40:31.2,102,105.1
2015-08-01,08:40:45.5,104,104.5
2015-08-01,08:40:59.9,99,104.4
2015-08-01,08:41:14.3,104,103.8
2015-08-01,08:41:28.6,111,103.8
2015-08-01,08:41:43.0,104,104.5
2015-08-01,08:41:57.4,105,104.3
2015-08-01,08:42:11.8,104,104.3
2015-08-01,08:42:26.1,102,104.6
2015-08-01,08:42:40.5,102,104.2
2015-08-01,08:42:54.9,102,103.7
2015-08-01,08:43:09.2,96,103.7
2015-08-01,08:43:23.6,104,102.9
2015-08-01,08:43:38.0,106,103.4
2015-08-01,08:43:52.3,103,103.6
2015-08-01,08:44:06.7,105,102.8
2015-08-01,08:44:21.1,106,102.9
2015-08-01,08:44:35.4,105,103
2015-08-01,08:44:49.8,102,103.1
2015-08-01,08:45:04.2,104,103.1
2015-08-01,08:45:18.6,101,103.3
2015-08-01,08:45:32.9,103,103.2
2015-08-01,08:45:47.3,102,103.9
2015-08-01,08:46:01.7,98,103.7
2015-08-01,08:46:16.0,101,102.9
2015-08-01,08:46:30.4,97,102.7
2015-08-01,08:46:44.8,101,101.9
2015-08-01,08:46:59.1,102,101.4
2015-08-01,08:47:13.5,101,101.1
2015-08-01,08:47:27.9,102,101
2015-08-01,08:47:42.2,98,100.8
2015-08-01,08:47:56.6,97,100.5
2015-08-01,08:48:11.0,100,99.9
2015-08-01,08:48:25.3,100,99.7
2015-08-01,08:48:39.7,100,99.9
2015-08-01,08:48:54.1,103,99.8
2015-08-01,08:49:08.5,104,100.4
2015-08-01,08:49:22.8,100,100.7
2015-08-01,08:49:37.2,100,100.5
2015-08-01,08:49:51.6,102,100.4
2015-08-01,08:50:05.9,105,100.4
2015-08-01,08:50:20.3,98,101.1
2015-08-01,08:50:34.7,101,101.2
2015-08-01,08:50:49.1,103,101.3
2015-08-01,08:51:03.4,107,101.6
2015-08-01,08:51:17.8,107,102.3
2015-08-01,08:51:32.2,104,102.7
2015-08-01,08:51:46.5,101,102.7
2015-08-01,08:52:00.9,104,102.8
2015-08-01,08:52:15.3,106,103.2
2015-08-01,08:52:29.6,108,103.6
2015-08-01,08:52:44.0,105,103.9
2015-08-01,08:52:58.4,103,104.6
2015-08-01,08:53:12.7,102,104.8
2015-08-01,08:53:27.1,103,104.7
2015-08-01,08:53:41.5,100,104.3
2015-08-01,08:53:55.8,104,103.6
2015-08-01,08:54:10.2,105,103.6
2015-08-01,08:54:24.6,103,104
2015-08-01,08:54:39.0,105,103.9
2015-08-01,08:54:53.3,106,103.8
2015-08-01,08:55:07.7,99,103.6
2015-08-01,08:55:22.1,106,103
2015-08-01,08:55:36.4,101,103.3
