Date UTC,Time UTC,H Value,Running Average (Interval = 10)
2015-08-02,02:44:27.2,91,87.7
2015-08-02,02:44:41.5,88,87.7
2015-08-02,02:44:55.9,90,87.4
2015-08-02,02:45:10.3,91,87.5
2015-08-02,02:45:24.6,89,87.9
2015-08-02,02:45:39.0,90,88.5
2015-08-02,02:45:53.4,88,88.7
2015-08-02,02:46:07.8,94,88.8
2015-08-02,02:46:22.1,90,89.1
2015-08-02,02:46:36.5,86,89.9
2015-08-02,02:46:50.9,92,89.7
2015-08-02,02:47:05.2,93,89.8
2015-08-02,02:47:19.6,89,90.3
2015-08-02,02:47:34.0,93,90.2
2015-08-02,02:47:48.4,90,90.4
2015-08-02,02:48:02.7,87,90.5
2015-08-02,02:48:17.1,87,90.2
2015-08-02,02:48:31.5,91,90.1
2015-08-02,02:48:45.8,93,89.8
2015-08-02,02:49:00.2,89,90.1
2015-08-02,02:49:14.6,94,90.4
2015-08-02,02:49:28.9,92,90.6
2015-08-02,02:49:43.3,95,90.5
2015-08-02,02:49:57.7,95,91.1
2015-08-02,02:50:12.0,90,91.3
2015-08-02,02:50:26.4,93,91.3
2015-08-02,02:50:40.8,96,91.9
2015-08-02,02:50:55.1,94,92.8
2015-08-02,02:51:09.5,92,93.1
2015-08-02,02:51:23.9,93,93
2015-08-02,02:51:38.3,93,93.4
2015-08-02,02:51:52.6,91,93.3
2015-08-02,02:52:07.0,89,93.2
2015-08-02,02:52:21.4,89,92.6
2015-08-02,02:52:35.7,89,92
2015-08-02,02:52:50.1,83,91.9
2015-08-02,02:53:04.5,92,90.9
2015-08-02,02:53:18.8,92,90.5
2015-08-02,02:53:33.2,91,90.3
2015-08-02,02:53:47.6,90,90.2
2015-08-02,02:54:02.0,92,89.9
2015-08-02,02:54:16.3,91,89.8
2015-08-02,02:54:30.7,96,89.8
2015-08-02,02:54:45.1,95,90.5
2015-08-02,02:54:59.4,95,91.1
2015-08-02,02:55:13.8,94,91.7
2015-08-02,02:55:28.2,97,92.8
2015-08-02,02:55:42.5,96,93.3
2015-08-02,02:55:56.9,94,93.7
2015-08-02,02:56:11.3,92,94
2015-08-02,02:56:25.6,92,94.2
2015-08-02,02:56:40.0,94,94.2
2015-08-02,02:56:54.4,98,94.5
2015-08-02,02:57:08.7,93,94.7
2015-08-02,02:57:23.1,93,94.5
2015-08-02,02:57:37.5,95,94.3
2015-08-02,02:57:51.9,98,94.4
2015-08-02,02:58:06.2,98,94.5
2015-08-02,02:58:20.6,94,94.7
2015-08-02,02:58:35.0,93,94.7
2015-08-02,02:58:49.3,95,94.8
2015-08-02,02:59:03.7,95,95.1
2015-08-02,02:59:18.1,95,95.2
2015-08-02,02:59:32.4,101,94.9
2015-08-02,02:59:46.8,97,95.7
2015-08-02,03:00:01.2,96,96.1
2015-08-02,03:00:15.5,92,96.2
2015-08-02,03:00:29.9,96,95.6
2015-08-02,03:00:44.3,100,95.4
2015-08-02,03:00:58.7,94,96
2015-08-02,03:01:13.0,92,96.1
2015-08-02,03:01:27.4,92,95.8
2015-08-02,03:01:41.8,95,95.5
2015-08-02,03:01:56.1,94,95.5
2015-08-02,03:02:10.5,95,94.8
2015-08-02,03:02:24.9,93,94.6
2015-08-02,03:02:39.2,93,94.3
2015-08-02,03:02:53.6,97,94.4
2015-08-02,03:03:08.0,93,94.5
2015-08-02,03:03:22.4,95,93.8
2015-08-02,03:03:36.7,94,93.9
2015-08-02,03:03:51.1,95,94.1
2015-08-02,03:04:05.5,97,94.4
2015-08-02,03:04:19.8,95,94.6
2015-08-02,03:04:34.2,98,94.7
2015-08-02,03:04:48.6,97,95
2015-08-02,03:05:02.9,96,95.4
2015-08-02,03:05:17.3,102,95.7
2015-08-02,03:05:31.7,96,96.2
2015-08-02,03:05:46.0,99,96.5
2015-08-02,03:06:00.4,98,96.9
2015-08-02,03:06:14.8,99,97.3
2015-08-02,03:06:29.2,101,97.7
2015-08-02,03:06:43.5,97,98.1
2015-08-02,03:06:57.9,96,98.3
2015-08-02,03:07:12.3,95,98.1
2015-08-02,03:07:26.6,96,97.9
2015-08-02,03:07:41.0,97,97.9
2015-08-02,03:07:55.4,91,97.4
2015-08-02,03:08:09.7,93,96.9
2015-08-02,03:08:24.1,96,96.3
2015-08-02,03:08:38.5,90,96.1
2015-08-02,03:08:52.8,88,95.2
2015-08-02,03:09:07.2,98,93.9
2015-08-02,03:09:21.6,98,94
2015-08-02,03:09:36.0,97,94.2
2015-08-02,03:09:50.3,94,94.4
2015-08-02,03:10:04.7,102,94.2
2015-08-02,03:10:19.1,99,94.7
2015-08-02,03:10:33.4,95,95.5
2015-08-02,03:10:47.8,92,95.7
2015-08-02,03:11:02.2,98,95.3
2015-08-02,03:11:16.5,97,96.1
2015-08-02,03:11:30.9,102,97
2015-08-02,03:11:45.3,95,97.4
2015-08-02,03:11:59.7,101,97.1
2015-08-02,03:12:14.0,96,97.5
2015-08-02,03:12:28.4,100,97.7
2015-08-02,03:12:42.8,99,97.5
2015-08-02,03:12:57.1,102,97.5
2015-08-02,03:13:11.5,101,98.2
2015-08-02,03:13:25.9,100,99.1
2015-08-02,03:13:40.2,97,99.3
2015-08-02,03:13:54.6,100,99.3
2015-08-02,03:14:09.0,95,99.1
2015-08-02,03:14:23.3,93,99.1
2015-08-02,03:14:37.7,98,98.3
2015-08-02,03:14:52.1,101,98.5
2015-08-02,03:15:06.4,100,98.6
2015-08-02,03:15:20.8,103,98.7
2015-08-02,03:15:35.2,100,98.8
2015-08-02,03:15:49.6,102,98.7
2015-08-02,03:16:03.9,99,98.9
2015-08-02,03:16:18.3,97,99.1
2015-08-02,03:16:32.7,97,98.8
2015-08-02,03:16:47.0,94,99
2015-08-02,03:17:01.4,96,99.1
2015-08-02,03:17:15.8,98,98.9
2015-08-02,03:17:30.1,96,98.6
2015-08-02,03:17:44.5,93,98.2
2015-08-02,03:17:58.9,96,97.2
2015-08-02,03:18:13.2,95,96.8
2015-08-02,03:18:27.6,97,96.1
2015-08-02,03:18:42.0,102,95.9
