Date UTC,Time UTC,Reading,Running Average (Interval = 10)
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
2015-07-30,03:58:13.3,64,64
