DateTime (UTC), magX, magY, magZ
2015-10-24 01:41:33.416715,-248,13,79
2015-10-24 01:41:47.539522,-247,7,104
2015-10-24 01:42:01.678331,-242,5,97
2015-10-24 01:42:27.891830,-235,0,138
2015-10-24 01:42:42.030639,-245,6,112
2015-10-24 01:42:56.169448,-248,10,76
2015-10-24 01:43:10.293256,-219,-12,170
2015-10-24 01:43:24.431064,-207,-22,233
2015-10-24 01:43:38.554872,-226,-8,162
2015-10-24 01:43:52.692681,-243,13,109
2015-10-24 01:44:06.831489,-221,-10,181
2015-10-24 01:44:20.955297,-230,-1,142
2015-10-24 01:44:35.094106,-221,-10,185
2015-10-24 01:44:49.216914,-231,3,129
2015-10-24 01:45:03.355722,-230,2,117
2015-10-24 01:45:17.479530,-216,-15,190
2015-10-24 01:45:31.618339,-224,-8,163
2015-10-24 01:45:45.757148,-196,-31,-261
2015-10-24 01:45:59.879955,-205,-18,224
2015-10-24 01:46:14.018764,-210,-16,191
2015-10-24 01:46:28.142572,-198,-23,243
2015-10-24 01:46:42.280381,-201,-22,224
2015-10-24 01:46:56.419189,-207,-12,201
2015-10-24 01:47:10.542997,-198,-23,241
2015-10-24 01:47:24.681806,-197,-23,231
2015-10-24 01:47:38.805614,-176,-34,-241
2015-10-24 01:47:52.943422,-184,-37,-244
2015-10-24 01:48:07.082231,-183,-37,-235
2015-10-24 01:48:21.205039,-177,-39,-229
2015-10-24 01:48:35.344847,-173,-44,-212
2015-10-24 01:48:49.482656,-163,-48,-186
2015-10-24 01:49:03.606464,-166,-49,-196
2015-10-24 01:49:17.745273,-173,-45,-206
2015-10-24 01:49:31.868080,-161,-51,-189
2015-10-24 01:49:46.006889,-172,-43,-225
2015-10-24 01:50:00.145698,-172,-49,-214
2015-10-24 01:50:14.268506,-152,-62,-154
2015-10-24 01:50:28.408314,-157,-60,-146
2015-10-24 01:50:42.531122,-190,-27,240
2015-10-24 01:50:56.669931,-124,-84,-62
2015-10-24 01:51:10.808740,-145,-66,-118
2015-10-24 01:51:24.931547,-122,-80,-48
2015-10-24 01:51:39.070356,-127,-78,-66
2015-10-24 01:51:53.209165,-122,-82,-45
2015-10-24 01:52:07.332973,-123,-75,-78
2015-10-24 01:52:21.471781,-119,-81,-44
2015-10-24 01:53:02.203111,-96,-110,35
2015-10-24 01:53:16.326919,-135,-75,-88
2015-10-24 01:53:30.465727,-104,-105,21
2015-10-24 01:53:44.588535,-97,-101,2
2015-10-24 01:53:58.727344,-91,-112,43
2015-10-24 01:54:12.866153,-96,-106,35
2015-10-24 01:54:26.988960,-95,-105,23
2015-10-24 01:54:41.127769,-67,-126,107
2015-10-24 01:54:55.251577,-83,-119,65
2015-10-24 01:55:09.390386,-50,-138,146
2015-10-24 01:55:23.529194,-84,-114,57
2015-10-24 01:55:37.652002,-68,-131,97
2015-10-24 01:55:51.790811,-74,-123,70
2015-10-24 01:56:05.914619,-70,-135,96
2015-10-24 01:56:20.053427,-79,-116,66
2015-10-24 01:56:34.191236,-64,-132,104
2015-10-24 01:56:48.315044,-51,-147,146
2015-10-24 01:57:02.452852,-45,-150,168
2015-10-24 01:57:16.576660,-130,-81,-98
2015-10-24 01:57:30.715469,-41,-154,160
2015-10-24 01:57:44.854278,-28,-158,196
2015-10-24 01:57:58.977085,-37,-149,176
2015-10-24 01:58:13.115894,-42,-156,185
2015-10-24 01:58:27.239702,-35,-153,188
2015-10-24 01:58:41.378511,-36,-148,182
2015-10-24 01:58:55.516319,-23,-166,225
2015-10-24 01:59:09.640127,-21,-166,211
2015-10-24 01:59:23.778936,1,-181,-247
2015-10-24 01:59:37.901744,-7,-181,257
2015-10-24 01:59:52.040552,-18,-162,202
2015-10-24 02:00:06.179361,-4,-178,252
2015-10-24 02:00:20.302169,-7,-178,246
2015-10-24 02:00:34.440977,-3,-178,252
2015-10-24 02:00:48.564785,3,-187,-244
2015-10-24 02:01:02.703594,5,-189,-244
2015-10-24 02:01:16.842403,14,-195,-230
2015-10-24 02:01:30.965210,8,-186,-243
2015-10-24 02:01:45.104019,0,-182,254
2015-10-24 02:01:59.227827,19,-195,-220
2015-10-24 02:02:13.365636,17,-193,-228
2015-10-24 02:02:27.504444,22,-199,-217
2015-10-24 02:02:41.628252,19,-192,-216
2015-10-24 02:02:55.767061,19,-196,-212
2015-10-24 02:03:09.889869,16,-192,-223
2015-10-24 02:03:24.028677,21,-199,-225
2015-10-24 02:03:38.167486,28,-192,-217
2015-10-24 02:03:52.291294,27,-205,-221
2015-10-24 02:04:06.430103,26,-199,-214
2015-10-24 02:04:20.552910,31,-197,-214
2015-10-24 02:04:34.691719,26,-201,-222
2015-10-24 02:04:48.830528,29,-199,-223
2015-10-24 02:05:02.954336,34,-198,-216
2015-10-24 02:05:17.092144,30,-197,-216
2015-10-24 02:05:31.215952,33,-203,-218
2015-10-24 02:05:45.354761,32,-202,-210
2015-10-24 02:05:59.493569,32,-202,-213
2015-10-24 02:06:13.616377,35,-201,-223
2015-10-24 02:06:27.755186,32,-203,-225
2015-10-24 02:06:41.878994,35,-203,-203
2015-10-24 02:06:56.016802,34,-206,-219
2015-10-24 02:07:10.140610,34,-204,-211
2015-10-24 02:07:24.279419,30,-202,-215
2015-10-24 02:07:38.418228,36,-203,-210
2015-10-24 02:07:52.542035,34,-204,-213
2015-10-24 02:08:06.679844,36,-208,-217
2015-10-24 02:08:20.803652,39,-211,-216
2015-10-24 02:08:34.942461,40,-203,-209
2015-10-24 02:08:49.081269,39,-203,-211
2015-10-24 02:09:03.204077,45,-210,-214
2015-10-24 02:09:17.342886,44,-209,-208
2015-10-24 02:09:31.466694,40,-206,-207
2015-10-24 02:09:45.605502,48,-209,-202
2015-10-24 02:09:59.744311,44,-210,-207
2015-10-24 02:10:13.867119,40,-211,-210
2015-10-24 02:10:28.005927,47,-209,-210
2015-10-24 02:10:42.129735,51,-211,-209
2015-10-24 02:10:56.267544,48,-216,-199
2015-10-24 02:11:10.406353,50,-209,-191
2015-10-24 02:11:24.530160,50,-208,-204
2015-10-24 02:11:38.668969,52,-213,-206
2015-10-24 02:11:52.792777,55,-214,-209
2015-10-24 02:12:06.931586,54,-221,-200
2015-10-24 02:12:21.070394,48,-208,-225
2015-10-24 02:12:35.193202,58,-215,-192
2015-10-24 02:12:49.332011,59,-215,-198
2015-10-24 02:13:03.455819,58,-220,-201
2015-10-24 02:13:17.594627,57,-214,-206
2015-10-24 02:13:31.733436,63,-215,-205
2015-10-24 02:13:45.856244,63,-218,-212
2015-10-24 02:13:59.995052,62,-220,-203
2015-10-24 02:14:14.118860,66,-223,-200
2015-10-24 02:14:28.257669,66,-219,-200
2015-10-24 02:14:42.381477,72,-220,-209
2015-10-24 02:14:56.519285,68,-219,-210
2015-10-24 02:15:10.658094,70,-221,-205
2015-10-24 02:15:24.781902,69,-215,-213
2015-10-24 02:15:38.920711,72,-216,-210
2015-10-24 02:15:53.044519,72,-220,-215
2015-10-24 02:16:07.183327,71,-222,-214
2015-10-24 02:16:21.322136,74,-217,-210
2015-10-24 02:16:35.444944,75,-218,-207
2015-10-24 02:16:49.583752,72,-221,-207
2015-10-24 02:17:03.707560,78,-219,-210
2015-10-24 02:17:17.846369,73,-225,-209
2015-10-24 02:17:31.969177,79,-221,-215
2015-10-24 02:17:46.107985,76,-223,-208
2015-10-24 02:18:00.246794,80,-233,-209
2015-10-24 02:18:14.370602,91,-229,-213
2015-10-24 02:18:28.508411,78,-225,-211
2015-10-24 02:18:42.632218,76,-227,-208
2015-10-24 02:18:56.771027,79,-221,-210
2015-10-24 02:19:10.909836,77,-221,-206
2015-10-24 02:19:25.032644,73,-230,-211
2015-10-24 02:19:39.171452,70,-226,-208
2015-10-24 02:19:53.295260,69,-224,-210
2015-10-24 02:20:07.434069,71,-221,-215
2015-10-24 02:20:21.572877,73,-223,-218
2015-10-24 02:20:35.695685,71,-224,-206
2015-10-24 02:20:49.835494,75,-224,-212
2015-10-24 02:21:03.958302,73,-222,-209
2015-10-24 02:21:18.097110,71,-224,-212
2015-10-24 02:21:32.235919,70,-228,-209
2015-10-24 02:21:46.359727,71,-217,-216
2015-10-24 02:22:00.497536,71,-223,-207
2015-10-24 02:22:14.621343,77,-222,-210
2015-10-24 02:22:28.760152,74,-219,-210
2015-10-24 02:22:42.898961,73,-219,-213
2015-10-24 02:22:57.021769,71,-223,-211
2015-10-24 02:23:11.160577,75,-219,-211
2015-10-24 02:23:25.284385,74,-217,-209
2015-10-24 02:23:39.338237,73,-219,-210
2015-10-24 02:23:53.477046,72,-218,-212
2015-10-24 02:24:07.599854,73,-221,-212
2015-10-24 02:24:21.738663,69,-217,-210
2015-10-24 02:24:35.862470,72,-219,-210
2015-10-24 02:24:50.001279,70,-221,-209
2015-10-24 02:25:04.140088,71,-223,-212
2015-10-24 02:25:18.262896,68,-218,-212
2015-10-24 02:25:32.401704,71,-226,-209
2015-10-24 02:25:46.524512,75,-221,-212
2015-10-24 02:26:00.663321,69,-215,-216
2015-10-24 02:26:14.802129,72,-221,-205
2015-10-24 02:26:28.925937,72,-221,-207
2015-10-24 02:26:43.064746,71,-222,-220
2015-10-24 02:26:57.187554,69,-215,-215
2015-10-24 02:27:11.326362,72,-217,-213
2015-10-24 02:27:25.465171,71,-220,-210
2015-10-24 02:27:39.588979,69,-217,-217
2015-10-24 02:27:53.727788,78,-212,-217
2015-10-24 02:28:07.850595,74,-221,-210
2015-10-24 02:28:21.989404,75,-218,-218
2015-10-24 02:28:36.128213,81,-217,-219
2015-10-24 02:28:50.252021,73,-218,-217
2015-10-24 02:29:04.390829,75,-217,-213
2015-10-24 02:29:18.513637,72,-217,-222
2015-10-24 02:29:32.652446,75,-216,-223
2015-10-24 02:29:46.775254,75,-225,-213
2015-10-24 02:30:00.915062,71,-223,-215
2015-10-24 02:30:15.052871,70,-216,-210
2015-10-24 02:30:29.176679,70,-221,-217
2015-10-24 02:30:43.315487,70,-217,-214
2015-10-24 02:30:57.438295,72,-223,-209
2015-10-24 02:31:11.577104,70,-221,-208
2015-10-24 02:31:25.715913,75,-219,-213
2015-10-24 02:31:39.839720,72,-217,-215
2015-10-24 02:31:53.978529,73,-218,-218
2015-10-24 02:32:08.101337,76,-219,-215
