DateTime (UTC), magX, magY, magZ
2015-10-27 00:00:25.789443,34,146,237
2015-10-27 00:00:39.912251,37,146,260
2015-10-27 00:00:54.051060,40,145,-246
2015-10-27 00:01:08.173868,35,151,240
2015-10-27 00:01:22.312676,39,146,-258
2015-10-27 00:01:36.435484,38,147,254
2015-10-27 00:01:50.574293,45,141,-222
2015-10-27 00:02:04.697101,34,144,253
2015-10-27 00:02:18.835909,39,145,-262
2015-10-27 00:02:32.973718,36,146,-238
2015-10-27 00:02:47.097526,43,148,-236
2015-10-27 00:03:01.235334,34,148,-256
2015-10-27 00:03:15.359142,34,148,227
2015-10-27 00:03:29.496951,31,150,217
2015-10-27 00:03:43.620759,37,147,230
2015-10-27 00:03:57.758567,45,142,-229
2015-10-27 00:04:11.882375,44,141,-226
2015-10-27 00:04:26.020184,45,137,-235
2015-10-27 00:04:40.143992,40,143,-241
2015-10-27 00:04:54.281800,39,145,-239
2015-10-27 00:05:08.404608,43,143,-248
2015-10-27 00:05:22.543417,42,144,-239
2015-10-27 00:05:36.666225,39,145,-238
2015-10-27 00:05:50.805033,44,141,-233
2015-10-27 00:06:04.943842,39,145,-262
2015-10-27 00:06:19.066650,45,145,-231
2015-10-27 00:06:33.205458,43,146,-253
2015-10-27 00:06:47.328266,45,143,-231
2015-10-27 00:07:01.467075,47,147,-251
2015-10-27 00:07:15.589883,44,144,-242
2015-10-27 00:07:29.728691,44,140,-224
2015-10-27 00:07:43.851499,48,143,-222
2015-10-27 00:07:57.990308,49,142,-200
2015-10-27 00:08:12.113116,44,144,-236
2015-10-27 00:08:26.251924,48,145,-232
2015-10-27 00:08:40.375732,48,145,-229
2015-10-27 00:08:54.513541,48,143,-222
2015-10-27 00:09:08.637349,47,149,-253
2015-10-27 00:09:22.775157,45,147,-248
2015-10-27 00:09:36.898965,47,149,-230
2015-10-27 00:09:51.036774,49,144,-220
2015-10-27 00:10:05.160582,49,141,-224
2015-10-27 00:10:19.298390,49,143,-217
2015-10-27 00:10:33.437199,49,144,-210
2015-10-27 00:10:47.560007,48,149,-232
2015-10-27 00:11:01.698815,46,146,-220
2015-10-27 00:11:15.821623,48,147,-228
2015-10-27 00:11:29.960432,45,148,-241
2015-10-27 00:11:44.083240,47,145,-246
2015-10-27 00:11:58.222048,48,145,-233
2015-10-27 00:12:12.344856,48,136,-202
2015-10-27 00:12:26.483665,45,140,-203
2015-10-27 00:12:40.606473,51,140,-204
2015-10-27 00:12:54.745281,47,145,-230
2015-10-27 00:13:08.868089,49,144,-226
2015-10-27 00:13:23.006898,51,144,-237
2015-10-27 00:13:37.144706,49,145,-240
2015-10-27 00:13:51.267514,53,145,-219
2015-10-27 00:14:05.406323,49,143,-222
2015-10-27 00:14:19.530131,47,143,-233
2015-10-27 00:14:33.667939,51,141,-215
2015-10-27 00:14:47.791747,49,142,-228
2015-10-27 00:15:01.929556,51,146,-216
2015-10-27 00:15:16.053364,57,144,-216
2015-10-27 00:15:30.191172,52,142,-233
2015-10-27 00:15:44.314980,55,144,-206
2015-10-27 00:15:58.452789,49,144,-252
2015-10-27 00:16:12.576597,52,139,-229
2015-10-27 00:16:26.714405,53,141,-229
2015-10-27 00:16:40.837213,57,141,-201
2015-10-27 00:16:54.976022,52,140,-209
2015-10-27 00:17:09.099830,52,142,-234
2015-10-27 00:17:23.237638,55,142,-217
2015-10-27 00:17:37.376447,55,139,-217
2015-10-27 00:17:51.499255,52,140,-226
2015-10-27 00:18:05.638063,56,144,-234
2015-10-27 00:18:19.760871,51,144,-249
2015-10-27 00:18:33.899680,48,149,-253
2015-10-27 00:18:48.022488,52,145,-231
2015-10-27 00:19:02.161296,55,142,-213
2015-10-27 00:19:16.284104,48,146,255
2015-10-27 00:19:30.422913,52,144,-241
2015-10-27 00:19:44.545721,49,145,-245
2015-10-27 00:19:58.684529,48,148,-246
2015-10-27 00:20:12.807337,50,149,-243
2015-10-27 00:20:26.946146,53,144,-234
2015-10-27 00:20:41.068953,49,146,-253
2015-10-27 00:20:55.207762,58,140,-195
2015-10-27 00:21:09.330570,47,143,-247
2015-10-27 00:21:23.469379,54,142,-228
2015-10-27 00:21:37.607187,49,144,-243
2015-10-27 00:21:51.730995,53,143,-231
2015-10-27 00:22:05.868804,49,145,-255
2015-10-27 00:22:19.992612,52,144,-240
2015-10-27 00:22:34.130420,43,148,222
2015-10-27 00:22:48.254228,44,144,219
2015-10-27 00:23:02.392037,50,142,-252
2015-10-27 00:23:16.515845,52,142,-238
2015-10-27 00:23:30.654653,58,144,-199
2015-10-27 00:23:44.777461,53,143,-227
2015-10-27 00:23:58.915270,53,142,-221
2015-10-27 00:24:13.039077,53,141,-236
2015-10-27 00:24:27.176886,52,138,-215
2015-10-27 00:24:41.300694,55,144,-213
2015-10-27 00:24:55.356542,48,145,-258
2015-10-27 00:25:09.479349,48,144,-257
2015-10-27 00:25:23.618158,53,142,-232
2015-10-27 00:25:37.756967,52,144,-232
2015-10-27 00:25:51.879775,54,146,-236
2015-10-27 00:26:06.018583,52,144,-234
2015-10-27 00:26:20.141391,54,151,-242
2015-10-27 00:26:34.280200,54,145,-242
2015-10-27 00:26:48.403007,58,145,-233
2015-10-27 00:27:02.541816,55,146,-238
2015-10-27 00:27:16.664624,53,148,-237
2015-10-27 00:27:30.802433,58,144,-234
2015-10-27 00:27:44.926240,59,145,-203
2015-10-27 00:27:59.065049,54,143,-226
