DateTime (UTC), magX, magY, magZ
2015-11-16 05:42:43.681522,204,39,-69
2015-11-16 05:43:07.934910,204,42,-70
2015-11-16 05:45:08.030779,206,43,-74
2015-11-16 05:45:24.179702,206,43,-71
2015-11-16 05:46:13.692534,209,44,-74
2015-11-16 05:46:49.158563,202,44,-73
2015-11-16 05:54:15.691103,204,45,-64
2015-11-16 05:55:02.184762,207,44,-72
2015-11-16 05:55:50.882548,209,43,-73
2015-11-16 05:56:07.031471,205,46,-67
2015-11-16 05:56:23.164394,209,48,-70
2015-11-16 05:57:26.425012,208,46,-71
2015-11-16 05:57:42.558935,207,48,-69
