Date/Time (UTC), Raw X, Raw Y, Raw Z, X Diffs, Y Diffs, Z Diffs
2016-02-05 00:00:31.014420,-227,-60,212,1,0,4
2016-02-05 00:00:47.146343,-229,-64,211,-2,-4,-1
2016-02-05 00:01:03.279265,-235,-65,210,-6,-1,-1
2016-02-05 00:01:19.396187,-236,-62,215,-1,3,5
2016-02-05 00:01:35.529110,-233,-62,209,3,0,-6
2016-02-05 00:01:51.661033,-232,-60,206,1,2,-3
2016-02-05 00:02:07.792955,-235,-62,207,-3,-2,1
2016-02-05 00:02:23.925878,-233,-61,206,2,1,-1
2016-02-05 00:02:40.057801,-236,-59,206,-3,2,0
2016-02-05 00:02:56.190724,-231,-63,205,5,-4,-1
2016-02-05 00:03:12.322646,-230,-62,208,1,1,3
2016-02-05 00:03:28.455569,-236,-59,207,-6,3,-1
2016-02-05 00:03:44.587492,-233,-61,203,3,-2,-4
2016-02-05 00:04:00.720414,-233,-60,211,0,1,8
2016-02-05 00:04:16.852337,-231,-59,207,2,1,-4
2016-02-05 00:04:32.985260,-230,-60,209,1,-1,2
2016-02-05 00:04:49.117183,-227,-64,212,3,-4,3
2016-02-05 00:05:05.250105,-231,-60,209,-4,4,-3
2016-02-05 00:05:21.382028,-230,-59,210,1,1,1
2016-02-05 00:05:37.514951,-230,-65,215,0,-6,5
2016-02-05 00:05:53.646873,-230,-58,208,0,7,-7
2016-02-05 00:06:09.779796,-234,-59,209,-4,-1,1
2016-02-05 00:06:25.911719,-232,-56,208,2,3,-1
2016-02-05 00:06:42.043642,-234,-62,207,-2,-6,-1
2016-02-05 00:06:58.176564,-233,-61,210,1,1,3
2016-02-05 00:07:14.309487,-231,-60,213,2,1,3
2016-02-05 00:07:30.441410,-228,-59,206,3,1,-7
2016-02-05 00:07:46.574333,-229,-58,211,-1,1,5
2016-02-05 00:08:02.706255,-225,-59,211,4,-1,0
2016-02-05 00:08:18.824177,-231,-58,208,-6,1,-3
2016-02-05 00:08:34.956100,-225,-59,205,6,-1,-3
2016-02-05 00:08:51.088022,-230,-59,205,-5,0,0
2016-02-05 00:09:07.220945,-229,-61,207,1,-2,2
2016-02-05 00:09:23.352868,-231,-59,213,-2,2,6
2016-02-05 00:09:39.485791,-230,-60,213,1,-1,0
2016-02-05 00:09:55.617713,-226,-57,212,4,3,-1
2016-02-05 00:10:11.750636,-227,-62,210,-1,-5,-2
2016-02-05 00:10:27.882559,-232,-57,208,-5,5,-2
2016-02-05 00:10:44.015482,-228,-57,205,4,0,-3
2016-02-05 00:11:00.147404,-228,-60,209,0,-3,4
2016-02-05 00:11:16.279327,-227,-60,211,1,0,2
2016-02-05 00:11:32.412250,-225,-56,211,2,4,0
2016-02-05 00:11:48.544172,-234,-60,211,-9,-4,0
2016-02-05 00:12:04.676095,-229,-62,212,5,-2,1
2016-02-05 00:12:20.809018,-230,-61,204,-1,1,-8
2016-02-05 00:12:36.940941,-229,-62,204,1,-1,0
2016-02-05 00:12:53.072863,-231,-62,206,-2,0,2
2016-02-05 00:13:09.205786,-230,-61,211,1,1,5
2016-02-05 00:13:25.337709,-228,-61,211,2,0,0
2016-02-05 00:13:41.470631,-226,-64,208,2,-3,-3
2016-02-05 00:13:57.602554,-226,-65,210,0,-1,2
2016-02-05 00:14:13.735477,-229,-63,215,-3,2,5
2016-02-05 00:14:29.867400,-229,-61,211,0,2,-4
2016-02-05 00:14:46.000322,-226,-66,210,3,-5,-1
2016-02-05 00:15:02.132245,-224,-62,216,2,4,6
2016-02-05 00:15:18.265168,-226,-57,217,-2,5,1
2016-02-05 00:15:34.397090,-224,-60,222,2,-3,5
2016-02-05 00:15:50.530013,-224,-63,213,0,-3,-9
2016-02-05 00:16:06.661936,-224,-63,215,0,0,2
2016-02-05 00:16:22.794859,-225,-63,214,-1,0,-1
2016-02-05 00:16:38.926781,-228,-65,213,-3,-2,-1
2016-02-05 00:16:55.059704,-227,-61,212,1,4,-1
2016-02-05 00:17:11.191627,-229,-64,218,-2,-3,6
2016-02-05 00:17:27.309549,-229,-64,212,0,0,-6
2016-02-05 00:17:43.441471,-232,-62,215,-3,2,3
2016-02-05 00:17:59.574394,-229,-59,216,3,3,1
2016-02-05 00:18:15.706317,-229,-64,209,0,-5,-7
2016-02-05 00:18:31.839240,-226,-64,205,3,0,-4
2016-02-05 00:18:47.971162,-229,-67,208,-3,-3,3
2016-02-05 00:19:04.103085,-229,-64,205,0,3,-3
2016-02-05 00:19:20.236008,-231,-62,217,-2,2,12
2016-02-05 00:19:36.367930,-227,-63,216,4,-1,-1
2016-02-05 00:19:52.500853,-228,-63,216,-1,0,0
2016-02-05 00:20:08.632776,-226,-60,220,2,3,4
2016-02-05 00:20:24.765699,-229,-63,212,-3,-3,-8
2016-02-05 00:20:40.897621,-230,-67,214,-1,-4,2
2016-02-05 00:20:57.030544,-226,-61,216,4,6,2
2016-02-05 00:21:13.162467,-227,-64,219,-1,-3,3
2016-02-05 00:21:29.295389,-230,-61,208,-3,3,-11
2016-02-05 00:21:45.427312,-227,-65,211,3,-4,3
2016-02-05 00:22:01.559235,-226,-67,207,1,-2,-4
2016-02-05 00:22:17.692158,-227,-64,210,-1,3,3
2016-02-05 00:22:33.824080,-227,-64,214,0,0,4
2016-02-05 00:22:49.956003,-226,-66,212,1,-2,-2
2016-02-05 00:23:06.088926,-220,-67,211,6,-1,-1
2016-02-05 00:23:22.220848,-226,-68,212,-6,-1,1
2016-02-05 00:23:38.353771,-222,-67,206,4,1,-6
2016-02-05 00:23:54.485694,-226,-66,212,-4,1,6
2016-02-05 00:24:10.618617,-223,-64,204,3,2,-8
2016-02-05 00:24:26.750539,-225,-67,206,-2,-3,2
2016-02-05 00:24:42.867461,-220,-69,207,5,-2,1
2016-02-05 00:24:59.000384,-222,-68,217,-2,1,10
2016-02-05 00:25:15.132307,-223,-68,212,-1,0,-5
2016-02-05 00:25:31.265229,-221,-65,214,2,3,2
2016-02-05 00:25:47.397152,-222,-67,209,-1,-2,-5
2016-02-05 00:26:03.530075,-226,-66,209,-4,1,0
2016-02-05 00:26:19.661997,-221,-67,212,5,-1,3
2016-02-05 00:26:35.794920,-226,-64,210,-5,3,-2
2016-02-05 00:26:51.926843,-218,-69,213,8,-5,3
2016-02-05 00:27:08.059766,-223,-64,221,-5,5,8
