Date/Time (UTC), Raw X, Raw Y, Raw Z, X Diffs, Y Diffs, Z Diffs
2016-03-22 00:00:21.302857,-258.74,2608.78,4126.25,-1.59,-1.39,5.75
2016-03-22 00:00:36.594732,-253.43,2611.01,4128.73,5.31,2.23,2.48
2016-03-22 00:00:51.900607,-255.13,2613.47,4125.04,-1.70,2.46,-3.69
2016-03-22 00:01:07.207483,-258.87,2607.93,4123.42,-3.74,-5.54,-1.62
2016-03-22 00:01:22.498357,-251.37,2609.48,4120.14,7.50,1.55,-3.28
2016-03-22 00:01:37.805233,-253.89,2610.11,4125.06,-2.52,0.63,4.92
2016-03-22 00:01:53.111108,-252.66,2610.46,4126.37,1.23,0.35,1.31
2016-03-22 00:02:08.402983,-254.68,2610.73,4118.43,-2.02,0.27,-7.94
2016-03-22 00:02:23.708858,-250.95,2613.53,4113.58,3.73,2.80,-4.85
2016-03-22 00:02:39.015734,-251.05,2611.42,4117.97,-0.10,-2.11,4.39
2016-03-22 00:02:54.322609,-248.94,2611.62,4113.08,2.11,0.20,-4.89
2016-03-22 00:03:09.613484,-252.61,2613.19,4120.11,-3.67,1.57,7.03
2016-03-22 00:03:24.920359,-249.04,2610.89,4118.60,3.57,-2.30,-1.51
2016-03-22 00:03:40.226235,-250.49,2610.65,4122.09,-1.45,-0.24,3.49
2016-03-22 00:03:55.518109,-251.71,2608.44,4117.28,-1.22,-2.21,-4.81
2016-03-22 00:04:10.823985,-253.65,2612.97,4119.14,-1.94,4.53,1.86
2016-03-22 00:04:26.130860,-250.09,2607.09,4120.65,3.56,-5.88,1.51
2016-03-22 00:04:41.421735,-251.25,2612.16,4122.53,-1.16,5.07,1.88
2016-03-22 00:04:56.728610,-253.73,2610.07,4121.03,-2.48,-2.09,-1.50
2016-03-22 00:05:12.035486,-251.82,2611.40,4121.13,1.91,1.33,0.10
2016-03-22 00:05:27.326361,-257.09,2611.55,4121.85,-5.27,0.15,0.72
2016-03-22 00:05:42.632236,-253.65,2608.02,4118.63,3.44,-3.53,-3.22
2016-03-22 00:05:57.939112,-253.55,2609.10,4119.06,0.10,1.08,0.43
2016-03-22 00:06:13.230986,-251.61,2610.52,4112.67,1.94,1.42,-6.39
2016-03-22 00:06:28.536862,-250.67,2608.81,4125.43,0.94,-1.71,12.76
2016-03-22 00:06:43.843737,-255.59,2611.21,4119.83,-4.92,2.40,-5.60
2016-03-22 00:06:59.134612,-254.04,2611.38,4121.02,1.55,0.17,1.19
2016-03-22 00:07:14.441487,-253.97,2607.58,4115.67,0.07,-3.80,-5.35
2016-03-22 00:07:29.747363,-256.29,2606.91,4122.85,-2.32,-0.67,7.18
2016-03-22 00:07:45.039237,-256.15,2607.17,4123.18,0.14,0.26,0.33
2016-03-22 00:08:00.345113,-251.69,2610.53,4125.31,4.46,3.36,2.13
2016-03-22 00:08:15.651988,-249.41,2607.63,4117.51,2.28,-2.90,-7.80
2016-03-22 00:08:30.941863,-251.27,2609.56,4115.06,-1.86,1.93,-2.45
2016-03-22 00:08:46.249738,-254.71,2608.13,4121.73,-3.44,-1.43,6.67
2016-03-22 00:09:01.555614,-253.99,2609.49,4125.20,0.72,1.36,3.47
2016-03-22 00:09:16.847488,-247.84,2606.94,4123.76,6.15,-2.55,-1.44
2016-03-22 00:09:32.153364,-255.81,2607.05,4120.72,-7.97,0.11,-3.04
2016-03-22 00:09:47.460239,-251.20,2605.33,4113.49,4.61,-1.72,-7.23
2016-03-22 00:10:02.766115,-250.06,2604.39,4115.19,1.14,-0.94,1.70
2016-03-22 00:10:18.057989,-249.82,2605.29,4119.32,0.24,0.90,4.13
2016-03-22 00:10:33.363865,-252.58,2606.18,4123.90,-2.76,0.89,4.58
2016-03-22 00:10:48.670740,-250.49,2606.17,4118.98,2.09,-0.01,-4.92
2016-03-22 00:11:03.961615,-250.55,2606.15,4121.05,-0.06,-0.02,2.07
2016-03-22 00:11:19.268490,-248.73,2607.79,4116.73,1.82,1.64,-4.32
2016-03-22 00:11:34.574366,-247.57,2608.94,4124.92,1.16,1.15,8.19
2016-03-22 00:11:49.865241,-246.88,2605.74,4115.17,0.69,-3.20,-9.75
2016-03-22 00:12:05.172116,-250.02,2605.48,4113.25,-3.14,-0.26,-1.92
2016-03-22 00:12:20.477991,-245.53,2607.50,4117.93,4.49,2.02,4.68
2016-03-22 00:12:35.769866,-250.91,2608.09,4117.06,-5.38,0.59,-0.87
2016-03-22 00:12:51.075742,-245.74,2607.91,4119.31,5.17,-0.18,2.25
2016-03-22 00:13:06.382617,-247.91,2603.34,4123.62,-2.17,-4.57,4.31
2016-03-22 00:13:21.672492,-241.54,2606.20,4124.30,6.37,2.86,0.68
2016-03-22 00:13:36.980367,-243.35,2608.07,4116.78,-1.81,1.87,-7.52
2016-03-22 00:13:52.286243,-246.28,2608.18,4118.74,-2.93,0.11,1.96
2016-03-22 00:14:07.578117,-249.81,2606.56,4121.33,-3.53,-1.62,2.59
2016-03-22 00:14:22.883993,-246.01,2609.43,4117.12,3.80,2.87,-4.21
2016-03-22 00:14:38.190868,-248.26,2609.73,4117.36,-2.25,0.30,0.24
2016-03-22 00:14:53.481743,-246.49,2605.26,4113.54,1.77,-4.47,-3.82
2016-03-22 00:15:08.788618,-247.92,2607.81,4123.40,-1.43,2.55,9.86
2016-03-22 00:15:24.094494,-241.46,2603.25,4121.14,6.46,-4.56,-2.26
2016-03-22 00:15:39.401369,-247.08,2605.28,4118.96,-5.62,2.03,-2.18
2016-03-22 00:15:54.692244,-243.49,2605.18,4123.82,3.59,-0.10,4.86
2016-03-22 00:16:09.999119,-246.52,2606.25,4121.08,-3.03,1.07,-2.74
2016-03-22 00:16:25.304995,-244.12,2603.06,4114.07,2.40,-3.19,-7.01
2016-03-22 00:16:40.596869,-246.06,2605.00,4118.33,-1.94,1.94,4.26
2016-03-22 00:16:55.902745,-240.47,2605.85,4120.36,5.59,0.85,2.03
2016-03-22 00:17:11.209620,-244.53,2604.12,4117.26,-4.06,-1.73,-3.10
2016-03-22 00:17:26.500495,-244.88,2602.80,4113.23,-0.35,-1.32,-4.03
2016-03-22 00:17:41.806370,-245.21,2605.44,4121.09,-0.33,2.64,7.86
2016-03-22 00:17:57.113246,-244.66,2606.68,4112.61,0.55,1.24,-8.48
2016-03-22 00:18:12.404121,-239.77,2602.95,4119.60,4.89,-3.73,6.99
2016-03-22 00:18:27.710996,-242.20,2604.35,4134.18,-2.43,1.40,14.58
2016-03-22 00:18:43.017872,-239.00,2605.40,4121.26,3.20,1.05,-12.92
2016-03-22 00:18:58.308746,-245.08,2604.23,4121.79,-6.08,-1.17,0.53
2016-03-22 00:19:13.615622,-239.89,2608.11,4118.52,5.19,3.88,-3.27
