Date/Time (UTC), Raw X, Raw Y, Raw Z, X Diffs, Y Diffs, Z Diffs
2016-05-08 03:28:27.37,-403.14,2186.56,1420.71,0,0,0
2016-05-08 03:28:42.98,-401.34,2187.45,1425.98,1.80,0.89,5.27
2016-05-08 03:28:58.57,-406.61,2186.63,1421.58,-5.27,-0.82,-4.40
2016-05-08 03:29:14.18,-403.70,2190.04,1425.81,2.91,3.41,4.23
2016-05-08 03:29:29.79,-403.25,2190.79,1423.67,0.45,0.75,-2.14
2016-05-08 03:29:45.39,-407.95,2187.42,1422.91,-4.70,-3.37,-0.76
2016-05-08 03:30:01.00,-407.54,2189.59,1420.67,0.41,2.17,-2.24
2016-05-08 03:30:16.61,-408.48,2192.12,1421.46,-0.94,2.53,0.79
2016-05-08 03:30:32.20,-410.69,2190.88,1427.37,-2.21,-1.24,5.91
2016-05-08 03:30:47.81,-412.45,2191.51,1423.99,-1.76,0.63,-3.38
2016-05-08 03:31:03.42,-413.29,2193.62,1420.94,-0.84,2.11,-3.05
2016-05-08 03:31:19.02,-408.89,2195.08,1424.16,4.40,1.46,3.22
2016-05-08 03:31:34.62,-406.78,2191.82,1426.48,2.11,-3.26,2.32
2016-05-08 03:31:50.22,-407.09,2191.46,1424.40,-0.31,-0.36,-2.08
2016-05-08 03:32:05.83,-406.58,2184.08,1428.39,0.51,-7.38,3.99
2016-05-08 03:32:21.33,-400.48,2187.20,1423.34,6.10,3.12,-5.05
2016-05-08 03:32:36.92,-400.01,2186.61,1420.19,0.47,-0.59,-3.15
2016-05-08 03:32:52.53,-395.48,2182.62,1427.65,4.53,-3.99,7.46
2016-05-08 03:33:08.14,-392.80,2186.58,1429.54,2.68,3.96,1.89
2016-05-08 03:33:23.74,-388.80,2187.68,1428.26,4.00,1.10,-1.28
2016-05-08 03:33:39.35,-390.11,2185.38,1428.10,-1.31,-2.30,-0.16
2016-05-08 03:33:54.95,-387.96,2185.81,1423.43,2.15,0.43,-4.67
2016-05-08 03:34:10.55,-383.82,2185.21,1423.09,4.14,-0.60,-0.34
2016-05-08 03:34:26.16,-380.46,2182.17,1427.08,3.36,-3.04,3.99
2016-05-08 03:34:41.77,-382.55,2179.63,1421.69,-2.09,-2.54,-5.39
2016-05-08 03:34:57.36,-384.30,2183.21,1426.27,-1.75,3.58,4.58
2016-05-08 03:35:12.97,-380.52,2177.90,1429.60,3.78,-5.31,3.33
2016-05-08 03:35:28.58,-376.30,2182.84,1423.50,4.22,4.94,-6.10
2016-05-08 03:35:44.18,-371.50,2180.95,1425.53,4.80,-1.89,2.03
2016-05-08 03:35:59.79,-369.45,2176.80,1428.28,2.05,-4.15,2.75
2016-05-08 03:36:15.40,-365.01,2180.28,1423.20,4.44,3.48,-5.08
2016-05-08 03:36:30.99,-367.70,2178.51,1424.51,-2.69,-1.77,1.31
2016-05-08 03:36:46.60,-367.84,2179.70,1426.88,-0.14,1.19,2.37
2016-05-08 03:37:02.21,-367.96,2176.90,1422.17,-0.12,-2.80,-4.71
2016-05-08 03:37:17.80,-368.23,2181.38,1424.84,-0.27,4.48,2.67
2016-05-08 03:37:33.41,-361.64,2176.43,1418.22,6.59,-4.95,-6.62
2016-05-08 03:37:49.02,-365.86,2180.85,1421.77,-4.22,4.42,3.55
2016-05-08 03:38:04.62,-365.38,2175.32,1425.16,0.48,-5.53,3.39
2016-05-08 03:38:20.23,-359.02,2179.67,1421.31,6.36,4.35,-3.85
2016-05-08 03:38:35.84,-362.33,2178.25,1421.13,-3.31,-1.42,-0.18
2016-05-08 03:38:51.43,-361.95,2179.66,1427.65,0.38,1.41,6.52
2016-05-08 03:39:07.04,-362.67,2182.29,1424.01,-0.72,2.63,-3.64
2016-05-08 03:39:22.65,-365.02,2179.35,1421.45,-2.35,-2.94,-2.56
2016-05-08 03:39:38.24,-364.86,2182.17,1424.98,0.16,2.82,3.53
2016-05-08 03:39:53.85,-368.44,2180.01,1413.56,-3.58,-2.16,-11.42
2016-05-08 03:40:09.45,-363.05,2177.22,1418.72,5.39,-2.79,5.16
2016-05-08 03:40:25.06,-360.66,2180.67,1418.95,2.39,3.45,0.23
2016-05-08 03:40:40.67,-365.19,2177.90,1424.54,-4.53,-2.77,5.59
2016-05-08 03:40:56.26,-364.69,2176.76,1422.93,0.50,-1.14,-1.61
2016-05-08 03:41:11.87,-362.17,2177.52,1427.54,2.52,0.76,4.61
2016-05-08 03:41:27.48,-364.32,2178.08,1423.77,-2.15,0.56,-3.77
2016-05-08 03:41:43.08,-365.80,2178.04,1422.13,-1.48,-0.04,-1.64
2016-05-08 03:41:58.69,-365.05,2178.66,1426.74,0.75,0.62,4.61
2016-05-08 03:42:14.30,-370.88,2181.02,1426.55,-5.83,2.36,-0.19
2016-05-08 03:42:29.89,-369.44,2178.16,1430.01,1.44,-2.86,3.46
2016-05-08 03:42:45.50,-368.24,2178.96,1428.23,1.20,0.80,-1.78
2016-05-08 03:43:01.11,-367.88,2180.22,1431.45,0.36,1.26,3.22
2016-05-08 03:43:16.70,-360.71,2176.73,1422.34,7.17,-3.49,-9.11
2016-05-08 03:43:32.31,-361.41,2177.00,1423.38,-0.70,0.27,1.04
2016-05-08 03:43:47.92,-358.02,2173.53,1426.41,3.39,-3.47,3.03
2016-05-08 03:44:03.52,-364.80,2174.48,1425.28,-6.78,0.95,-1.13
2016-05-08 03:44:19.13,-354.14,2175.59,1418.04,10.66,1.11,-7.24
2016-05-08 03:44:34.74,-356.01,2175.49,1424.41,-1.87,-0.10,6.37
2016-05-08 03:44:50.33,-354.08,2171.95,1422.58,1.93,-3.54,-1.83
2016-05-08 03:45:05.94,-349.10,2176.50,1425.88,4.98,4.55,3.30
2016-05-08 03:45:21.55,-351.17,2176.86,1423.35,-2.07,0.36,-2.53
2016-05-08 03:45:37.14,-352.00,2170.52,1421.71,-0.83,-6.34,-1.64
2016-05-08 03:45:52.75,-346.48,2172.22,1419.04,5.52,1.70,-2.67
2016-05-08 03:46:08.36,-345.51,2170.83,1425.23,0.97,-1.39,6.19
2016-05-08 03:46:23.96,-353.92,2174.44,1427.48,-8.41,3.61,2.25
2016-05-08 03:46:39.57,-345.70,2170.36,1427.17,8.22,-4.08,-0.31
2016-05-08 03:46:55.18,-341.63,2168.75,1423.96,4.07,-1.61,-3.21
2016-05-08 03:47:10.77,-339.83,2169.35,1424.72,1.80,0.60,0.76
2016-05-08 03:47:26.38,-334.92,2171.15,1422.90,4.91,1.80,-1.82
2016-05-08 03:47:41.99,-334.35,2166.34,1426.13,0.57,-4.81,3.23
2016-05-08 03:47:57.58,-340.00,2169.52,1417.06,-5.65,3.18,-9.07
2016-05-08 03:48:13.19,-330.63,2169.96,1427.88,9.37,0.44,10.82
2016-05-08 03:48:28.80,-326.43,2162.90,1425.62,4.20,-7.06,-2.26
2016-05-08 03:48:44.40,-327.00,2164.54,1420.26,-0.57,1.64,-5.36
2016-05-08 03:49:00.01,-331.47,2160.50,1430.56,-4.47,-4.04,10.30
2016-05-08 03:49:15.62,-323.35,2160.50,1421.40,8.12,0.00,-9.16
2016-05-08 03:49:31.21,-322.59,2162.23,1429.92,0.76,1.73,8.52
2016-05-08 03:49:46.82,-321.80,2161.56,1427.82,0.79,-0.67,-2.10
2016-05-08 03:50:02.43,-325.04,2163.39,1428.78,-3.24,1.83,0.96
2016-05-08 03:50:18.02,-324.54,2161.54,1426.53,0.50,-1.85,-2.25
2016-05-08 03:50:33.63,-324.19,2159.03,1424.43,0.35,-2.51,-2.10
2016-05-08 03:50:49.23,-321.14,2156.83,1413.29,3.05,-2.20,-11.14
2016-05-08 03:51:04.84,-320.52,2159.28,1422.28,0.62,2.45,8.99
2016-05-08 03:51:20.45,-316.78,2159.48,1423.24,3.74,0.20,0.96
2016-05-08 03:51:36.04,-318.54,2159.63,1429.47,-1.76,0.15,6.23
2016-05-08 03:51:51.65,-324.00,2161.00,1426.38,-5.46,1.37,-3.09
