Date/Time (UTC), Raw X, Raw Y, Raw Z
2016-06-20 00:00:29.40,-471.11,3406.40,1324.64
2016-06-20 00:00:45.01,-475.58,3407.11,1327.81
2016-06-20 00:01:00.60,-473.54,3409.90,1325.86
2016-06-20 00:01:16.21,-471.38,3407.79,1317.47
2016-06-20 00:01:31.81,-467.58,3406.69,1320.36
2016-06-20 00:01:47.42,-466.58,3409.69,1319.63
2016-06-20 00:02:03.02,-467.32,3409.03,1322.21
2016-06-20 00:02:18.62,-469.79,3408.94,1324.50
2016-06-20 00:02:34.23,-470.59,3408.92,1319.86
2016-06-20 00:02:49.82,-474.58,3409.51,1320.15
2016-06-20 00:03:05.43,-471.46,3407.39,1328.11
2016-06-20 00:03:21.04,-471.40,3406.29,1325.33
2016-06-20 00:03:36.64,-478.64,3411.25,1325.05
2016-06-20 00:03:52.25,-476.89,3408.68,1325.39
2016-06-20 00:04:07.84,-475.16,3409.04,1323.29
2016-06-20 00:04:23.45,-473.23,3407.31,1319.92
2016-06-20 00:04:39.06,-476.41,3413.19,1324.06
2016-06-20 00:04:54.65,-470.29,3411.22,1323.56
2016-06-20 00:05:10.26,-469.52,3410.45,1323.02
2016-06-20 00:05:25.87,-474.30,3410.92,1324.16
2016-06-20 00:05:41.47,-473.80,3411.82,1320.91
2016-06-20 00:05:57.08,-470.80,3411.44,1320.14
2016-06-20 00:06:12.67,-473.45,3410.45,1320.29
2016-06-20 00:06:28.28,-473.40,3409.07,1318.76
2016-06-20 00:06:43.89,-469.50,3413.05,1325.87
2016-06-20 00:06:59.48,-472.31,3413.01,1321.69
2016-06-20 00:07:15.09,-471.04,3410.25,1323.52
2016-06-20 00:07:30.69,-470.41,3410.62,1315.00
2016-06-20 00:07:46.30,-463.97,3411.00,1320.50
2016-06-20 00:08:01.91,-470.10,3410.19,1325.85
2016-06-20 00:08:17.50,-466.02,3410.55,1323.07
2016-06-20 00:08:33.11,-471.26,3410.26,1324.46
2016-06-20 00:08:48.70,-471.14,3411.76,1318.20
2016-06-20 00:09:04.31,-471.01,3411.06,1321.75
2016-06-20 00:09:19.92,-470.60,3409.33,1320.69
2016-06-20 00:09:35.52,-467.45,3408.68,1322.56
2016-06-20 00:09:51.13,-469.02,3408.91,1320.41
2016-06-20 00:10:06.73,-473.27,3409.64,1319.57
2016-06-20 00:10:22.33,-470.42,3410.70,1324.65
2016-06-20 00:10:37.94,-474.33,3409.80,1322.24
2016-06-20 00:10:53.53,-468.33,3407.69,1326.43
2016-06-20 00:11:09.14,-474.44,3409.51,1323.58
2016-06-20 00:11:24.75,-475.86,3410.63,1318.87
2016-06-20 00:11:40.35,-472.26,3406.95,1319.41
2016-06-20 00:11:55.96,-472.63,3408.76,1315.86
