Date/Time (UTC), Raw X, Raw Y, Raw Z
2016-12-01 00:00:26.39,-586.74,3554.14,1398.62
2016-12-01 00:00:41.37,-586.92,3554.50,1398.76
2016-12-01 00:00:56.33,-585.01,3554.52,1399.56
2016-12-01 00:01:11.31,-584.63,3553.33,1401.00
2016-12-01 00:01:26.27,-584.39,3553.30,1400.68
2016-12-01 00:01:41.25,-583.24,3552.79,1402.68
2016-12-01 00:01:56.23,-582.76,3553.83,1399.21
2016-12-01 00:02:11.19,-583.57,3552.08,1400.81
2016-12-01 00:02:26.17,-585.12,3552.43,1402.39
2016-12-01 00:02:41.13,-585.47,3553.97,1403.42
2016-12-01 00:02:56.11,-584.40,3556.55,1405.53
2016-12-01 00:03:11.09,-584.30,3557.26,1404.18
2016-12-01 00:03:26.05,-584.76,3557.38,1403.00
2016-12-01 00:03:41.03,-585.95,3556.46,1401.37
2016-12-01 00:03:56.00,-584.30,3555.77,1400.12
2016-12-01 00:04:10.97,-585.86,3556.89,1399.87
2016-12-01 00:04:25.94,-588.01,3555.36,1401.07
2016-12-01 00:04:40.92,-586.30,3558.15,1402.55
2016-12-01 00:04:55.90,-588.26,3557.37,1398.59
2016-12-01 00:05:10.86,-586.95,3557.64,1401.94
2016-12-01 00:05:25.84,-587.83,3555.44,1405.11
2016-12-01 00:05:40.80,-588.89,3553.93,1403.79
2016-12-01 00:05:55.78,-587.25,3555.95,1401.42
2016-12-01 00:06:10.74,-585.31,3554.22,1401.37
2016-12-01 00:06:25.72,-588.97,3554.89,1398.17
2016-12-01 00:06:40.70,-586.63,3551.95,1396.57
2016-12-01 00:06:55.66,-585.78,3552.86,1396.87
2016-12-01 00:07:10.64,-587.03,3553.61,1399.78
2016-12-01 00:07:25.60,-586.51,3554.48,1399.27
2016-12-01 00:07:40.58,-585.77,3553.97,1397.48
2016-12-01 00:07:55.55,-586.98,3552.50,1400.31
2016-12-01 00:08:10.53,-587.69,3552.87,1398.13
2016-12-01 00:08:25.50,-586.27,3554.26,1402.94
2016-12-01 00:08:40.47,-585.31,3553.36,1406.38
2016-12-01 00:08:55.44,-583.74,3553.99,1403.25
2016-12-01 00:09:10.41,-584.07,3555.77,1404.96
2016-12-01 00:09:25.39,-584.48,3552.87,1403.02
2016-12-01 00:09:40.35,-584.59,3554.35,1401.42
2016-12-01 00:09:55.33,-583.64,3553.81,1404.49
2016-12-01 00:10:10.31,-582.64,3553.64,1405.22
2016-12-01 00:10:25.27,-582.08,3554.39,1400.20
2016-12-01 00:10:40.25,-582.53,3554.06,1401.46
2016-12-01 00:10:55.21,-585.46,3553.28,1403.79
2016-12-01 00:11:10.19,-584.53,3552.86,1401.58
2016-12-01 00:11:25.15,-583.82,3553.53,1403.01
2016-12-01 00:11:40.13,-583.68,3553.97,1404.01
2016-12-01 00:11:55.10,-583.24,3553.03,1405.53
2016-12-01 00:12:10.07,-584.09,3552.30,1402.54
2016-12-01 00:12:25.05,-585.47,3554.06,1404.06
2016-12-01 00:12:40.02,-583.67,3553.32,1399.96
2016-12-01 00:12:54.99,-586.37,3554.31,1399.82
2016-12-01 00:13:09.97,-582.68,3556.29,1403.02
2016-12-01 00:13:24.94,-583.11,3556.49,1400.03
2016-12-01 00:13:39.92,-583.50,3556.32,1402.52
2016-12-01 00:13:54.88,-582.11,3557.86,1404.66
2016-12-01 00:14:09.86,-584.52,3556.16,1404.35
2016-12-01 00:14:24.84,-582.92,3556.31,1405.77
2016-12-01 00:14:39.80,-582.23,3558.31,1404.98
2016-12-01 00:14:54.78,-581.24,3557.77,1401.06
2016-12-01 00:15:09.74,-581.39,3556.39,1402.29
2016-12-01 00:15:24.72,-582.06,3557.28,1403.71
2016-12-01 00:15:39.68,-582.66,3557.26,1404.30
2016-12-01 00:15:54.66,-582.01,3556.71,1404.69
2016-12-01 00:16:09.64,-580.49,3559.42,1405.21
2016-12-01 00:16:24.60,-583.33,3557.44,1403.88
2016-12-01 00:16:39.58,-584.49,3558.85,1404.09
2016-12-01 00:16:54.54,-583.18,3557.43,1403.43
2016-12-01 00:17:09.52,-583.25,3556.83,1406.43
2016-12-01 00:17:24.49,-581.73,3557.78,1405.74
2016-12-01 00:17:39.46,-579.42,3559.88,1403.81
2016-12-01 00:17:54.44,-581.12,3559.68,1403.21
2016-12-01 00:18:09.41,-584.09,3557.76,1404.67
2016-12-01 00:18:24.38,-584.07,3557.88,1401.86
2016-12-01 00:18:39.35,-581.34,3557.57,1403.55
2016-12-01 00:18:54.33,-581.51,3557.58,1404.96
2016-12-01 00:19:09.29,-583.57,3556.93,1406.02
2016-12-01 00:19:24.27,-582.16,3555.74,1406.26
2016-12-01 00:19:39.23,-582.86,3554.82,1404.76
2016-12-01 00:19:54.21,-580.41,3554.46,1402.89
2016-12-01 00:20:09.17,-582.93,3556.47,1403.62
2016-12-01 00:20:24.15,-584.07,3556.60,1404.88
2016-12-01 00:20:39.13,-582.74,3556.20,1404.91
2016-12-01 00:20:54.09,-583.51,3556.35,1402.46
2016-12-01 00:21:09.07,-582.10,3554.30,1400.93
2016-12-01 00:21:24.04,-582.62,3552.86,1401.06
2016-12-01 00:21:39.01,-582.58,3552.04,1402.32
2016-12-01 00:21:53.99,-583.31,3551.89,1400.97
2016-12-01 00:22:08.97,-584.36,3552.40,1399.95
2016-12-01 00:22:23.93,-582.50,3552.47,1399.69
2016-12-01 00:22:38.91,-581.14,3554.02,1400.31
2016-12-01 00:22:53.89,-582.06,3555.03,1399.60
2016-12-01 00:23:08.86,-580.37,3555.16,1401.14
2016-12-01 00:23:23.83,-578.36,3556.98,1398.65
2016-12-01 00:23:38.80,-577.25,3558.77,1397.71
2016-12-01 00:23:53.78,-580.89,3560.15,1398.77
2016-12-01 00:24:08.75,-579.94,3559.63,1398.63
2016-12-01 00:24:23.72,-577.68,3557.75,1397.56
2016-12-01 00:24:38.70,-581.61,3556.55,1397.59
2016-12-01 00:24:53.67,-580.60,3556.43,1397.11
2016-12-01 00:25:08.64,-580.81,3557.11,1400.08
2016-12-01 00:25:23.62,-579.17,3558.28,1400.26
2016-12-01 00:25:38.58,-579.40,3558.43,1401.20
2016-12-01 00:25:53.56,-578.83,3557.37,1399.11
2016-12-01 00:26:08.54,-578.38,3558.00,1399.02
2016-12-01 00:26:23.50,-577.33,3557.79,1397.95
2016-12-01 00:26:38.48,-579.98,3556.30,1399.89
2016-12-01 00:26:53.44,-578.60,3557.11,1402.16
2016-12-01 00:27:08.42,-579.22,3556.94,1399.65
2016-12-01 00:27:23.38,-579.64,3556.39,1400.25
2016-12-01 00:27:38.36,-578.08,3553.83,1401.31
2016-12-01 00:27:53.32,-577.76,3553.72,1402.20
2016-12-01 00:28:08.30,-578.71,3556.09,1398.03
2016-12-01 00:28:23.28,-579.13,3554.29,1399.74
2016-12-01 00:28:38.25,-579.25,3554.63,1399.10
2016-12-01 00:28:53.22,-579.93,3555.42,1401.42
2016-12-01 00:29:08.19,-580.29,3556.91,1399.37
2016-12-01 00:29:23.17,-579.25,3559.31,1400.43
2016-12-01 00:29:38.13,-578.09,3557.69,1399.58
2016-12-01 00:29:53.11,-576.91,3555.76,1401.32
2016-12-01 00:30:08.07,-575.97,3558.31,1401.49
2016-12-01 00:30:23.05,-573.65,3556.20,1403.82
2016-12-01 00:30:38.03,-574.25,3556.20,1400.83
2016-12-01 00:30:52.99,-574.05,3556.18,1401.71
2016-12-01 00:31:07.97,-574.22,3556.29,1401.92
2016-12-01 00:31:22.95,-573.86,3554.40,1402.26
2016-12-01 00:31:37.91,-572.72,3557.00,1401.14
2016-12-01 00:31:52.89,-569.06,3557.95,1397.61
2016-12-01 00:32:07.85,-568.77,3556.61,1398.06
2016-12-01 00:32:22.83,-570.70,3557.16,1395.26
2016-12-01 00:32:37.80,-570.75,3557.64,1396.68
2016-12-01 00:32:52.77,-572.57,3556.20,1397.30
2016-12-01 00:33:07.75,-570.39,3556.89,1396.94
2016-12-01 00:33:22.72,-570.44,3557.32,1395.42
2016-12-01 00:33:37.69,-569.05,3557.49,1397.84
2016-12-01 00:33:52.66,-570.78,3556.97,1397.75
2016-12-01 00:34:07.64,-570.94,3555.50,1396.97
2016-12-01 00:34:22.60,-571.11,3556.57,1394.06
2016-12-01 00:34:37.58,-572.89,3556.18,1394.07
2016-12-01 00:34:52.56,-572.87,3556.44,1395.62
2016-12-01 00:35:07.52,-571.83,3555.79,1394.77
2016-12-01 00:35:22.50,-572.26,3556.81,1395.11
2016-12-01 00:35:37.46,-573.66,3557.03,1398.60
2016-12-01 00:35:52.44,-572.06,3556.57,1398.80
2016-12-01 00:36:07.42,-573.77,3559.10,1398.85
2016-12-01 00:36:22.38,-571.63,3558.17,1397.47
2016-12-01 00:36:37.36,-571.12,3557.67,1398.13
2016-12-01 00:36:52.32,-571.59,3556.56,1396.96
2016-12-01 00:37:07.30,-571.35,3557.75,1394.77
2016-12-01 00:37:22.28,-570.30,3557.99,1392.69
2016-12-01 00:37:37.24,-572.12,3558.11,1394.27
