Date/Time (UTC), Raw X, Raw Y, Raw Z, X Diffs, Y Diffs, Z Diffs
2016-03-03 00:35:46.572728,-2301.77,3414.05,3598.52,-2.16,-1.58,-3.50
2016-03-03 00:36:01.871603,-2294.97,3413.06,3601.15,6.80,-0.99,2.63
2016-03-03 00:36:17.170478,-2090.18,3416.19,3597.33,0,3.13,-3.82
2016-03-03 00:36:32.469353,-2084.84,3514.46,3605.27,5.34,98.3,7.94
2016-03-03 00:36:47.753227,-2089.04,3509.38,3609.89,-4.20,-5.08,4.62
2016-03-03 00:37:03.052102,-2084.26,3511.05,3607.05,4.78,1.67,-2.84
2016-03-03 00:37:18.350977,-2085.96,3512.15,3608.88,-1.70,1.10,1.83
2016-03-03 00:37:33.649852,-2085.35,3511.63,3606.32,0.61,-0.52,-2.56
2016-03-03 00:37:48.948727,-2080.95,3510.46,3604.47,4.40,-1.17,-1.85
2016-03-03 00:38:04.233601,-2086.45,3509.20,3602.86,-5.50,-1.26,-1.61
2016-03-03 00:38:19.532476,-2086.72,3509.50,3607.43,-0.27,0.30,4.57
2016-03-03 00:38:34.830351,-2080.82,3508.97,3609.87,5.90,-0.53,2.44
2016-03-03 00:38:50.129226,-2190.27,3506.07,3614.67,-109,-2.90,4.80
2016-03-03 00:39:05.428102,-2188.55,3502.52,3608.32,1.72,-3.55,-6.35
2016-03-03 00:39:20.725977,-2185.23,3506.24,3609.77,3.32,3.72,1.45
2016-03-03 00:39:36.025852,-2186.45,3504.22,3613.45,-1.22,-2.02,3.68
2016-03-03 00:39:51.308726,-2185.33,3505.37,3612.36,1.12,1.15,-1.09
2016-03-03 00:40:06.606601,-2187.14,3503.63,3614.13,-1.81,-1.74,1.77
2016-03-03 00:42:38.373281,-2096.16,3510.57,3612.66,0,0,0
2016-03-03 00:42:38.917312,-2093.79,3511.01,3607.14,2.37,0.44,-5.52
2016-03-03 00:42:39.460343,-2097.40,3513.31,3610.64,-3.61,2.30,3.50
2016-03-03 00:42:40.003375,-2096.63,3513.70,3612.25,0.77,0.39,1.61
2016-03-03 00:42:40.547406,-2093.71,3515.16,3611.70,2.92,1.46,-0.55
2016-03-03 00:42:41.091437,-2093.76,3516.24,3613.68,-0.05,1.08,1.98
2016-03-03 00:42:41.634468,-2092.29,3516.31,3613.10,1.47,0.07,-0.58
2016-03-03 00:42:42.178499,-2093.30,3515.06,3611.30,-1.01,-1.25,-1.80
2016-03-03 00:42:42.721530,-2093.44,3514.91,3614.19,-0.14,-0.15,2.89
2016-03-03 00:42:43.265561,-2093.36,3513.70,3614.77,0.08,-1.21,0.58
2016-03-03 00:42:43.808592,-2094.58,3517.62,3615.30,-1.22,3.92,0.53
2016-03-03 00:42:44.352623,-2092.74,3514.45,3615.45,1.84,-3.17,0.15
2016-03-03 00:42:44.895654,-2096.24,3512.60,3614.65,-3.50,-1.85,-0.80
2016-03-03 00:42:45.439685,-2092.71,3514.00,3614.04,3.53,1.40,-0.61
2016-03-03 00:42:45.982717,-2094.39,3515.09,3613.32,-1.68,1.09,-0.72
2016-03-03 00:42:46.526748,-2094.48,3512.97,3613.11,-0.09,-2.12,-0.21
2016-03-03 00:42:47.069779,-2094.56,3513.34,3616.27,-0.08,0.37,3.16
2016-03-03 00:42:47.613810,-2095.20,3512.88,3617.13,-0.64,-0.46,0.86
2016-03-03 00:42:48.156841,-2095.48,3515.72,3619.59,-0.28,2.84,2.46
2016-03-03 00:42:48.699872,-2095.36,3515.99,3615.45,0.12,0.27,-4.14
2016-03-03 00:42:49.243903,-2093.31,3515.10,3616.59,2.05,-0.89,1.14
2016-03-03 00:42:49.787934,-2092.77,3514.26,3618.37,0.54,-0.84,1.78
2016-03-03 00:42:50.330965,-2093.25,3515.36,3615.52,-0.48,1.10,-2.85
2016-03-03 00:42:50.874996,-2094.11,3517.77,3614.88,-0.86,2.41,-0.64
2016-03-03 00:42:51.418027,-2093.37,3516.63,3613.19,0.74,-1.14,-1.69
2016-03-03 00:42:51.962059,-2093.17,3515.74,3614.45,0.20,-0.89,1.26
2016-03-03 00:42:52.505090,-2095.80,3519.16,3611.49,-2.63,3.42,-2.96
2016-03-03 00:42:53.048121,-2094.84,3517.75,3612.57,0.96,-1.41,1.08
2016-03-03 00:42:53.592152,-2095.04,3516.39,3618.47,-0.20,-1.36,5.90
2016-03-03 00:42:54.135183,-2092.14,3516.79,3614.60,2.90,0.40,-3.87
2016-03-03 00:42:54.679214,-2093.84,3518.26,3615.63,-1.70,1.47,1.03
2016-03-03 00:42:55.222245,-2090.45,3517.39,3610.53,3.39,-0.87,-5.10
2016-03-03 00:42:55.766276,-2092.28,3518.08,3610.39,-1.83,0.69,-0.14
