Date/Time (UTC), Reading
2015-12-21 01:01:51.547559,53
2015-12-21 01:02:07.680482,52.5
2015-12-21 01:02:23.815405,51.5
2015-12-21 01:02:39.948327,50.125
2015-12-21 01:02:56.082250,48.75
2015-12-21 01:03:12.216173,48.125
2015-12-21 01:03:28.335095,47.125
2015-12-21 01:03:44.469018,46.375
2015-12-21 01:04:00.602941,45.625
2015-12-21 01:04:16.736863,45.125
2015-12-21 01:04:32.870786,44.75
2015-12-21 01:04:49.003709,44.875
2015-12-21 01:05:05.137632,44.625
2015-12-21 01:05:21.256554,44.5
2015-12-21 01:05:37.390476,44.75
2015-12-21 01:05:53.422447,44.125
2015-12-21 01:06:09.556370,44.75
2015-12-21 01:06:25.690292,45.5
2015-12-21 01:06:41.824215,46
2015-12-21 01:06:57.958138,46.375
2015-12-21 01:07:14.077060,47.5
2015-12-21 01:07:30.210983,48.25
2015-12-21 01:07:46.344906,48.75
2015-12-21 01:08:02.478828,48.75
2015-12-21 01:08:18.611751,48.125
2015-12-21 01:08:34.746674,47.625
2015-12-21 01:08:50.865596,48
2015-12-21 01:09:06.999519,47.375
2015-12-21 01:09:23.133442,47
2015-12-21 01:09:39.267364,46.75
2015-12-21 01:09:55.400287,46.625
2015-12-21 01:10:11.534210,47.25
2015-12-21 01:10:27.653132,48.25
2015-12-21 01:10:43.787055,49.25
2015-12-21 01:10:59.919977,49.125
2015-12-21 01:11:16.054900,50.375
2015-12-21 01:11:32.187823,51.25
2015-12-21 01:11:48.321746,51.75
2015-12-21 01:12:04.455669,52.125
2015-12-21 01:12:20.574591,52.375
2015-12-21 01:12:36.708513,52.125
2015-12-21 01:12:52.841436,51.75
2015-12-21 01:13:08.975359,52
2015-12-21 01:13:25.110282,51.75
2015-12-21 01:13:41.243205,51.5
2015-12-21 01:13:57.377127,51.5
2015-12-21 01:14:13.496049,51.375
2015-12-21 01:14:29.629972,51.875
2015-12-21 01:14:45.763895,52.75
2015-12-21 01:15:01.897818,53.125
2015-12-21 01:15:18.031741,53.625
2015-12-21 01:15:34.164663,54.5
2015-12-21 01:15:50.298586,55.5
2015-12-21 01:16:06.417508,56.5
2015-12-21 01:16:22.551431,58.125
2015-12-21 01:16:38.684354,59.125
2015-12-21 01:16:54.818276,60.125
2015-12-21 01:17:10.952199,61
2015-12-21 01:17:27.086122,61.375
2015-12-21 01:17:43.220045,61.875
2015-12-21 01:17:59.352968,62.25
2015-12-21 01:18:15.472890,62.625
2015-12-21 01:18:31.605812,62.625
2015-12-21 01:18:47.739735,63.25
2015-12-21 01:19:03.873658,63.875
2015-12-21 01:19:20.006581,64.875
2015-12-21 01:19:36.140504,66.125
2015-12-21 01:19:52.259426,67
2015-12-21 01:20:08.393348,67.875
2015-12-21 01:20:24.527271,68.5
2015-12-21 01:20:40.661194,69.5
2015-12-21 01:20:56.795117,69.625
2015-12-21 01:21:12.929040,69.375
2015-12-21 01:21:29.062962,69.625
2015-12-21 01:21:45.197885,69.75
2015-12-21 01:22:01.331808,69.75
2015-12-21 01:22:17.464731,69.625
2015-12-21 01:22:33.599654,69.5
2015-12-21 01:22:49.733576,69.25
2015-12-21 01:23:05.867499,69.75
2015-12-21 01:23:22.001422,70.5
2015-12-21 01:23:38.135345,70.625
2015-12-21 01:23:54.254267,70.5
2015-12-21 01:24:10.388190,70.875
2015-12-21 01:24:26.522112,71.25
2015-12-21 01:24:42.656035,71.5
2015-12-21 01:24:58.788958,71.875
2015-12-21 01:25:14.922881,71.5
2015-12-21 01:25:31.056804,71.125
2015-12-21 01:25:47.190726,71
2015-12-21 01:26:03.324649,71.875
2015-12-21 01:26:19.444571,71.625
2015-12-21 01:26:35.578494,71.875
2015-12-21 01:26:51.712417,72.625
2015-12-21 01:27:07.846340,72.75
2015-12-21 01:27:23.979262,73.125
2015-12-21 01:27:40.114185,74
2015-12-21 01:27:56.248108,74.375
2015-12-21 01:28:12.381031,74.125
2015-12-21 01:28:28.514954,75
2015-12-21 01:28:44.648876,75.75
2015-12-21 01:29:00.767798,76.125
2015-12-21 01:29:16.901721,76.5
2015-12-21 01:29:33.035644,76.875
2015-12-21 01:29:49.169567,77.25
2015-12-21 01:30:05.303490,77.25
2015-12-21 01:30:21.437412,77.625
2015-12-21 01:30:37.571335,77.375
2015-12-21 01:30:53.705258,77
2015-12-21 01:31:09.839181,77
2015-12-21 01:31:25.973104,77.375
2015-12-21 01:31:42.107026,77.875
2015-12-21 01:31:58.240949,78
2015-12-21 01:32:14.374872,78.75
2015-12-21 01:32:30.508795,79.375
2015-12-21 01:32:46.641718,79.875
2015-12-21 01:33:02.760640,80.25
2015-12-21 01:33:18.894562,80.75
2015-12-21 01:33:35.028485,81.125
2015-12-21 01:33:51.162408,81.625
2015-12-21 01:34:07.296331,81.875
2015-12-21 01:34:23.430254,82
2015-12-21 01:34:39.564176,82.375
2015-12-21 01:34:55.698099,83
2015-12-21 01:35:11.832022,83.5
2015-12-21 01:35:27.965945,83.375
2015-12-21 01:35:44.099868,84.125
2015-12-21 01:36:00.233790,84.125
2015-12-21 01:36:16.366713,84.5
2015-12-21 01:36:32.501636,84.5
2015-12-21 01:36:48.634559,84.375
2015-12-21 01:37:04.753481,83.875
2015-12-21 01:37:20.887404,84.125
2015-12-21 01:37:37.021326,84
2015-12-21 01:37:53.155249,83.375
2015-12-21 01:38:09.289172,84
2015-12-21 01:38:25.423095,84
2015-12-21 01:38:41.557018,84.25
2015-12-21 01:38:57.690940,84.625
2015-12-21 01:39:13.824863,85.75
2015-12-21 01:39:29.958786,86.125
2015-12-21 01:39:46.092709,86.875
2015-12-21 01:40:02.226632,87.75
2015-12-21 01:40:18.345554,87.75
2015-12-21 01:40:34.478476,88.25
2015-12-21 01:40:50.613399,89.125
2015-12-21 01:41:06.747322,89.125
2015-12-21 01:41:22.881245,88.75
2015-12-21 01:41:39.014168,88.375
2015-12-21 01:41:55.148090,89
2015-12-21 01:42:11.282013,88.625
2015-12-21 01:42:27.415936,88.625
2015-12-21 01:42:43.549859,88.375
2015-12-21 01:42:59.683782,88.5
2015-12-21 01:43:15.817704,88.875
2015-12-21 01:43:31.951627,89.375
2015-12-21 01:43:48.085550,90.375
2015-12-21 01:44:04.219473,90.5
2015-12-21 01:44:20.352396,91.5
2015-12-21 01:44:36.471318,91.625
2015-12-21 01:44:52.605240,92.125
2015-12-21 01:45:08.740163,93.125
2015-12-21 01:45:24.873086,93.75
2015-12-21 01:45:41.007009,94.25
2015-12-21 01:45:57.140932,94.375
2015-12-21 01:46:13.275854,94.875
2015-12-21 01:46:29.409777,95.25
2015-12-21 01:46:45.543700,96.25
2015-12-21 01:47:01.676623,97.375
2015-12-21 01:47:17.811546,97.125
2015-12-21 01:47:33.944468,97.75
2015-12-21 01:47:50.079391,98.5
2015-12-21 01:48:06.213314,99
2015-12-21 01:48:22.332236,99.875
2015-12-21 01:48:38.466159,99.375
2015-12-21 01:48:54.600082,99.375
2015-12-21 01:49:10.734005,99
2015-12-21 01:49:26.867927,99.125
2015-12-21 01:49:43.001850,98.375
2015-12-21 01:49:59.135773,97.75
2015-12-21 01:50:15.269696,97.125
2015-12-21 01:50:31.403619,96
2015-12-21 01:50:47.537541,96.625
2015-12-21 01:51:03.671464,96.625
2015-12-21 01:51:19.805387,96.75
2015-12-21 01:51:35.939310,97
2015-12-21 01:51:52.073233,97.75
2015-12-21 01:52:08.207155,98.625
2015-12-21 01:52:24.326077,99.75
2015-12-21 01:52:40.460000,100.75
2015-12-21 01:52:56.593923,100.875
2015-12-21 01:53:12.727846,101.25
2015-12-21 01:53:28.862769,101.375
2015-12-21 01:53:44.995691,101.75
2015-12-21 01:54:01.130614,102.125
2015-12-21 01:54:17.263537,101.75
2015-12-21 01:54:33.397460,101.375
2015-12-21 01:54:49.531383,101.625
2015-12-21 01:55:05.665305,102.5
2015-12-21 01:55:21.799228,103.125
2015-12-21 01:55:37.933151,103.25
2015-12-21 01:55:54.067074,103.125
2015-12-21 01:56:10.185996,103
2015-12-21 01:56:26.319919,103.625
2015-12-21 01:56:42.454841,104
2015-12-21 01:56:58.588764,104.125
2015-12-21 01:57:14.722687,103.875
2015-12-21 01:57:30.856610,103.875
2015-12-21 01:57:46.990533,104.125
2015-12-21 01:58:03.124456,104.5
2015-12-21 01:58:19.257378,105.125
2015-12-21 01:58:35.391301,105.25
2015-12-21 01:58:51.526224,105.375
2015-12-21 01:59:07.660147,105.625
2015-12-21 01:59:23.794070,105.75
2015-12-21 01:59:39.927992,105.875
2015-12-21 01:59:56.061915,106.75
2015-12-21 02:00:12.179837,106.625
2015-12-21 02:00:28.314760,106.375
2015-12-21 02:00:44.448683,106.5
2015-12-21 02:01:00.582606,106.75
2015-12-21 02:01:16.716528,106.875
2015-12-21 02:01:32.850451,107.125
2015-12-21 02:01:48.984374,107.25
2015-12-21 02:02:05.119297,106.875
2015-12-21 02:02:21.253220,107.125
2015-12-21 02:02:37.386142,107.375
2015-12-21 02:02:53.520065,107.75
2015-12-21 02:03:09.654988,108.625
2015-12-21 02:03:25.788911,109.125
2015-12-21 02:03:41.922834,109.5
2015-12-21 02:03:58.056756,110.25
2015-12-21 02:04:14.175678,110.875
2015-12-21 02:04:30.308601,112
2015-12-21 02:04:46.442524,112.625
2015-12-21 02:05:02.577447,112.875
2015-12-21 02:05:18.711370,113.125
2015-12-21 02:05:34.844292,113.25
2015-12-21 02:05:50.923258,113.625
2015-12-21 02:06:07.057181,113.5
2015-12-21 02:06:23.191104,113.75
2015-12-21 02:06:39.325027,113.75
2015-12-21 02:06:55.458950,114.125
2015-12-21 02:07:11.592872,114.125
2015-12-21 02:07:27.726795,114.125
2015-12-21 02:07:43.861718,113.875
2015-12-21 02:07:59.995641,114.625
2015-12-21 02:08:16.129564,115.125
2015-12-21 02:08:32.263486,115.5
2015-12-21 02:08:48.382408,116.25
2015-12-21 02:09:04.516331,116.25
2015-12-21 02:09:20.650254,116.875
2015-12-21 02:09:36.784177,118
2015-12-21 02:09:52.918100,119.125
2015-12-21 02:10:09.052022,119.25
2015-12-21 02:10:25.186945,120.25
2015-12-21 02:10:41.320868,120.375
2015-12-21 02:10:57.454791,119.875
2015-12-21 02:11:13.588714,121.125
2015-12-21 02:11:29.722636,122.375
2015-12-21 02:11:45.855559,122.75
2015-12-21 02:12:01.974481,123.625
2015-12-21 02:12:18.109404,124.5
2015-12-21 02:12:34.243327,124.75
2015-12-21 02:12:50.377250,125.875
2015-12-21 02:13:06.511172,127.25
2015-12-21 02:13:22.645095,127.75
2015-12-21 02:13:38.779018,128.25
2015-12-21 02:13:54.912941,128.625
2015-12-21 02:14:11.047864,129
2015-12-21 02:14:27.181787,129.875
2015-12-21 02:14:43.315709,131
2015-12-21 02:14:59.449632,132
2015-12-21 02:15:15.583555,133.125
2015-12-21 02:15:31.717478,133.875
2015-12-21 02:15:47.851401,134.5
2015-12-21 02:16:03.970323,135.5
2015-12-21 02:16:20.104245,137
2015-12-21 02:16:36.239168,137.875
2015-12-21 02:16:52.373091,139.25
2015-12-21 02:17:08.507014,140.25
2015-12-21 02:17:24.640937,141.25
2015-12-21 02:17:40.774859,142.75
2015-12-21 02:17:56.908782,144.25
2015-12-21 02:18:13.043705,145.375
2015-12-21 02:18:29.177628,145.625
2015-12-21 02:18:45.310551,147.125
2015-12-21 02:19:01.445474,148.25
2015-12-21 02:19:17.579396,150
2015-12-21 02:19:33.713319,150.75
2015-12-21 02:19:49.847242,151.375
2015-12-21 02:20:05.981165,152
2015-12-21 02:20:22.101087,153
2015-12-21 02:20:38.234010,154.375
