Date/Time (UTC), Ultra-smoothed Differences
2015-12-20 03:53:09.017092,0.472
2015-12-20 03:53:25.152015,0.472
2015-12-20 03:53:41.269937,0.472
2015-12-20 03:53:57.404860,0.472
2015-12-20 03:54:13.538783,0.48
2015-12-20 03:54:29.672706,0.475
2015-12-20 03:54:45.807628,0.48
2015-12-20 03:55:01.941551,0.488
2015-12-20 03:55:18.076474,0.495
2015-12-20 03:55:34.210397,0.502
2015-12-20 03:55:50.329319,0.51
2015-12-20 03:56:06.463242,0.508
2015-12-20 03:56:22.597165,0.5
2015-12-20 03:56:38.731087,0.492
2015-12-20 03:56:54.865010,0.495
2015-12-20 03:57:10.998933,0.492
2015-12-20 03:57:27.133856,0.488
2015-12-20 03:57:43.267779,0.492
2015-12-20 03:57:59.401701,0.488
2015-12-20 03:58:15.519623,0.49
2015-12-20 03:58:31.653546,0.488
2015-12-20 03:58:47.787469,0.485
2015-12-20 03:59:03.921392,0.485
2015-12-20 03:59:20.055315,0.48
2015-12-20 03:59:36.190237,0.475
2015-12-20 03:59:52.325160,0.475
2015-12-20 04:00:08.459083,0.472
2015-12-20 04:00:24.593006,0.468
2015-12-20 04:00:40.711928,0.468
2015-12-20 04:00:56.845851,0.465
2015-12-20 04:01:12.979773,0.465
2015-12-20 04:01:29.114696,0.462
2015-12-20 04:01:45.247619,0.465
2015-12-20 04:02:01.382542,0.458
2015-12-20 04:02:17.516465,0.455
2015-12-20 04:02:33.650388,0.448
2015-12-20 04:02:49.769310,0.442
2015-12-20 04:03:05.903232,0.432
2015-12-20 04:03:22.038155,0.422
2015-12-20 04:03:38.172078,0.408
2015-12-20 04:03:54.307001,0.402
2015-12-20 04:04:10.440924,0.395
2015-12-20 04:04:26.574846,0.385
2015-12-20 04:04:42.709769,0.385
2015-12-20 04:04:58.843692,0.385
2015-12-20 04:05:12.326554,0.392
2015-12-20 04:05:28.448502,0.382
2015-12-20 04:05:44.583425,0.378
2015-12-20 04:06:00.717347,0.372
2015-12-20 04:06:16.850270,0.365
2015-12-20 04:06:32.984193,0.362
2015-12-20 04:06:49.118116,0.365
2015-12-20 04:07:05.252039,0.375
2015-12-20 04:07:21.369960,0.372
2015-12-20 04:07:37.503883,0.375
