Date/Time (UTC), Reading
2017-07-29 02:24:42.15,7.627
2017-07-29 02:24:58.88,8.84
2017-07-29 02:25:15.61,10.228
2017-07-29 02:25:32.35,11.823
2017-07-29 02:25:49.08,13.530
2017-07-29 02:26:05.81,15.400
2017-07-29 02:26:22.55,17.492
2017-07-29 02:26:39.28,19.747
2017-07-29 02:26:56.01,22.288
2017-07-29 02:27:12.75,25.120
2017-07-29 02:27:29.48,28.328
2017-07-29 02:27:46.21,31.860
2017-07-29 02:28:02.95,35.898
2017-07-29 02:28:19.70,40.194
2017-07-29 02:28:36.43,44.708
2017-07-29 02:28:53.16,49.414
2017-07-29 02:29:09.90,54.245
2017-07-29 02:29:26.63,59.3
2017-07-29 02:29:43.36,64.46
2017-07-29 02:30:00.10,69.705
2017-07-29 02:30:16.83,75.055
2017-07-29 02:30:33.57,80.52
2017-07-29 02:30:50.29,86.16
2017-07-29 02:31:07.03,92.05
2017-07-29 02:31:23.76,98.29
2017-07-29 02:31:40.49,104.58
2017-07-29 02:31:57.23,110.98
2017-07-29 02:32:13.96,117.36
2017-07-29 02:32:30.69,123.60
2017-07-29 02:32:47.43,129.62
2017-07-29 02:33:04.16,135.52
2017-07-29 02:33:20.89,141.19
2017-07-29 02:33:37.63,146.47
2017-07-29 02:33:54.36,151.62
2017-07-29 02:34:11.09,156.57
2017-07-29 02:34:27.82,161.48
2017-07-29 02:34:44.56,166.35
2017-07-29 02:35:01.29,171.42
2017-07-29 02:35:18.02,176.70
2017-07-29 02:35:34.76,181.90
2017-07-29 02:35:51.49,186.98
2017-07-29 02:36:08.22,192.14
2017-07-29 02:36:24.96,197.18
2017-07-29 02:36:41.69,202.30
2017-07-29 02:36:58.42,207.58
2017-07-29 02:37:15.16,212.94
2017-07-29 02:37:31.89,218.07
2017-07-29 02:37:48.64,223.10
2017-07-29 02:38:05.37,228.07
2017-07-29 02:38:22.10,232.88
2017-07-29 02:38:38.84,237.5
2017-07-29 02:38:55.57,241.91
2017-07-29 02:39:12.30,246.21
2017-07-29 02:39:29.04,250.53
2017-07-29 02:39:45.77,254.94
2017-07-29 02:40:02.50,259.43
2017-07-29 02:40:19.23,263.92
2017-07-29 02:40:35.97,268.18
2017-07-29 02:40:52.70,272.40
2017-07-29 02:41:09.43,276.70
2017-07-29 02:41:26.17,281.08
2017-07-29 02:41:42.90,285.34
2017-07-29 02:41:59.63,289.66
2017-07-29 02:42:16.37,293.82
2017-07-29 02:42:33.10,297.60
2017-07-29 02:42:49.83,301.33
2017-07-29 02:43:06.57,305.22
2017-07-29 02:43:23.30,309.12
2017-07-29 02:43:40.03,313.09
2017-07-29 02:43:56.77,317.15
2017-07-29 02:44:13.50,321.40
2017-07-29 02:44:30.23,325.93
2017-07-29 02:44:46.96,330.58
2017-07-29 02:45:03.70,335.28
2017-07-29 02:45:20.43,340.03
2017-07-29 02:45:37.16,344.70
2017-07-29 02:45:53.90,349.3
2017-07-29 02:46:10.63,353.79
2017-07-29 02:46:27.36,357.96
2017-07-29 02:46:44.10,362.11
2017-07-29 02:47:00.83,366.28
2017-07-29 02:47:17.56,370.49
2017-07-29 02:47:34.31,374.62
2017-07-29 02:47:51.04,378.51
2017-07-29 02:48:07.78,382.17
2017-07-29 02:48:24.51,385.43
2017-07-29 02:48:41.25,388.46
2017-07-29 02:48:57.98,391.24
2017-07-29 02:49:14.71,393.69
2017-07-29 02:49:31.44,395.91
2017-07-29 02:49:48.18,397.88
2017-07-29 02:50:04.91,399.7
2017-07-29 02:50:21.64,401.32
2017-07-29 02:50:38.38,402.56
2017-07-29 02:50:55.11,403.45
2017-07-29 02:51:11.84,403.94
2017-07-29 02:51:28.58,404.15
2017-07-29 02:51:45.31,404.14
2017-07-29 02:52:02.04,403.95
2017-07-29 02:52:18.78,403.48
2017-07-29 02:52:35.51,402.54
2017-07-29 02:52:52.24,401.39
2017-07-29 02:53:08.98,399.9
2017-07-29 02:53:25.71,398.16
2017-07-29 02:53:42.44,396.24
2017-07-29 02:53:59.17,394.28
2017-07-29 02:54:15.91,392.20
2017-07-29 02:54:32.64,390.14
2017-07-29 02:54:49.37,387.83
2017-07-29 02:55:06.11,385.24
2017-07-29 02:55:22.84,382.34
2017-07-29 02:55:39.57,379.04
2017-07-29 02:55:56.31,375.57
2017-07-29 02:56:13.04,371.90
2017-07-29 02:56:29.77,368.08
2017-07-29 02:56:46.51,364.22
2017-07-29 02:57:03.24,360.40
2017-07-29 02:57:19.97,356.46
2017-07-29 02:57:36.71,352.7
2017-07-29 02:57:53.44,348.83
2017-07-29 02:58:10.16,344.90
2017-07-29 02:58:26.89,340.74
2017-07-29 02:58:43.62,336.56
2017-07-29 02:59:00.36,332.4
2017-07-29 02:59:17.09,328.24
2017-07-29 02:59:33.82,324.16
2017-07-29 02:59:50.56,320.11
2017-07-29 03:00:07.29,315.96
2017-07-29 03:00:24.02,311.94
2017-07-29 03:00:40.74,308.16
2017-07-29 03:00:57.47,304.50
2017-07-29 03:01:14.21,301.04
2017-07-29 03:01:30.94,297.68
2017-07-29 03:01:47.67,294.62
2017-07-29 03:02:04.41,291.67
2017-07-29 03:02:21.14,288.8
2017-07-29 03:02:37.87,285.84
2017-07-29 03:02:54.60,283.00
2017-07-29 03:03:11.34,279.8
