Date/Time (UTC), Ultra-smoothed Differences
2017-07-29 02:24:08.68,0.985
2017-07-29 02:24:25.41,0.94
2017-07-29 02:24:42.15,1.055
2017-07-29 02:24:58.88,1.365
2017-07-29 02:25:15.61,1.6406
2017-07-29 02:25:32.35,1.7162
2017-07-29 02:25:49.08,1.9344
2017-07-29 02:26:05.81,1.9269
2017-07-29 02:26:22.55,1.8731
2017-07-29 02:26:39.28,1.8762
2017-07-29 02:26:56.01,2.1119
2017-07-29 02:27:12.75,2.3669
2017-07-29 02:27:29.48,2.825
2017-07-29 02:27:46.21,3.3475
2017-07-29 02:28:02.95,3.6912
2017-07-29 02:28:19.70,4.0994
2017-07-29 02:28:36.43,4.5519
2017-07-29 02:28:53.16,4.8838
2017-07-29 02:29:09.90,5.2094
2017-07-29 02:29:26.63,5.3512
2017-07-29 02:29:43.36,5.5094
2017-07-29 02:30:00.10,5.7412
2017-07-29 02:30:16.83,5.7688
2017-07-29 02:30:33.57,5.9244
2017-07-29 02:30:50.29,6.1988
2017-07-29 02:31:07.03,6.2106
2017-07-29 02:31:23.76,6.3675
2017-07-29 02:31:40.49,6.4669
2017-07-29 02:31:57.23,6.5019
2017-07-29 02:32:13.96,6.2031
2017-07-29 02:32:30.69,6.1044
2017-07-29 02:32:47.43,5.9156
2017-07-29 02:33:04.16,5.5738
2017-07-29 02:33:20.89,5.5094
2017-07-29 02:33:37.63,5.425
2017-07-29 02:33:54.36,5.3056
2017-07-29 02:34:11.09,5.1125
2017-07-29 02:34:27.82,5.0062
2017-07-29 02:34:44.56,4.9456
2017-07-29 02:35:01.29,4.945
2017-07-29 02:35:18.02,4.8988
2017-07-29 02:35:34.76,5.2475
2017-07-29 02:35:51.49,5.3294
2017-07-29 02:36:08.22,5.0681
2017-07-29 02:36:24.96,4.7356
2017-07-29 02:36:41.69,4.7969
2017-07-29 02:36:58.42,4.6738
2017-07-29 02:37:15.16,4.9025
2017-07-29 02:37:31.89,5.3025
2017-07-29 02:37:48.64,5.3662
2017-07-29 02:38:05.37,5.1431
2017-07-29 02:38:22.10,5.1044
2017-07-29 02:38:38.84,5.1931
2017-07-29 02:38:55.57,5.0819
2017-07-29 02:39:12.30,5.0181
2017-07-29 02:39:29.04,4.6681
2017-07-29 02:39:45.77,4.405
2017-07-29 02:40:02.50,4.0669
2017-07-29 02:40:19.23,3.8494
2017-07-29 02:40:35.97,4.0575
2017-07-29 02:40:52.70,4.1738
2017-07-29 02:41:09.43,4.1181
2017-07-29 02:41:26.17,4.2838
2017-07-29 02:41:42.90,4.0556
2017-07-29 02:41:59.63,3.6131
2017-07-29 02:42:16.37,3.4244
2017-07-29 02:42:33.10,3.6619
2017-07-29 02:42:49.83,3.8094
2017-07-29 02:43:06.57,3.8031
2017-07-29 02:43:23.30,4.0206
2017-07-29 02:43:40.03,4.2269
2017-07-29 02:43:56.77,4.4812
2017-07-29 02:44:13.50,4.7744
2017-07-29 02:44:30.23,4.7569
2017-07-29 02:44:46.96,4.8231
2017-07-29 02:45:03.70,4.7056
2017-07-29 02:45:20.43,4.60
2017-07-29 02:45:37.16,4.6162
2017-07-29 02:45:53.90,4.5225
2017-07-29 02:46:10.63,4.5088
2017-07-29 02:46:27.36,4.4481
2017-07-29 02:46:44.10,4.4106
2017-07-29 02:47:00.83,4.09
2017-07-29 02:47:17.56,4.06
2017-07-29 02:47:34.31,4.1019
2017-07-29 02:47:51.04,4.0194
2017-07-29 02:48:07.78,3.97
2017-07-29 02:48:24.51,3.775
2017-07-29 02:48:41.25,3.4244
2017-07-29 02:48:57.98,3.0244
2017-07-29 02:49:14.71,2.69
2017-07-29 02:49:31.44,2.3062
2017-07-29 02:49:48.18,2.0325
2017-07-29 02:50:04.91,1.6556
2017-07-29 02:50:21.64,1.3525
2017-07-29 02:50:38.38,1.1425
2017-07-29 02:50:55.11,0.87812
2017-07-29 02:51:11.84,0.55375
2017-07-29 02:51:28.58,0.42562
2017-07-29 02:51:45.31,-0.069375
2017-07-29 02:52:02.04,-0.4975
2017-07-29 02:52:18.78,-0.86875
2017-07-29 02:52:35.51,-1.3088
2017-07-29 02:52:52.24,-1.3644
2017-07-29 02:53:08.98,-1.6469
2017-07-29 02:53:25.71,-1.4969
2017-07-29 02:53:42.44,-1.6794
2017-07-29 02:53:59.17,-1.8712
2017-07-29 02:54:15.91,-2.0525
2017-07-29 02:54:32.64,-2.2062
2017-07-29 02:54:49.37,-2.3744
2017-07-29 02:55:06.11,-2.535
2017-07-29 02:55:22.84,-2.8919
2017-07-29 02:55:39.57,-3.1425
2017-07-29 02:55:56.31,-3.3888
2017-07-29 02:56:13.04,-3.5906
2017-07-29 02:56:29.77,-3.72
2017-07-29 02:56:46.51,-4.0231
2017-07-29 02:57:03.24,-4.1069
2017-07-29 02:57:19.97,-4.32
2017-07-29 02:57:36.71,-4.1194
