Date/Time (UTC), Reading
2017-04-11 16:09:18.71,65.538
2017-04-11 16:09:33.38,65.442
2017-04-11 16:09:48.04,65.345
2017-04-11 16:10:02.71,65.267
2017-04-11 16:10:17.38,65.123
2017-04-11 16:10:32.05,64.98
2017-04-11 16:10:46.72,65.11
2017-04-11 16:11:01.39,65.408
2017-04-11 16:11:16.05,65.628
2017-04-11 16:11:30.72,65.683
2017-04-11 16:11:45.39,65.738
2017-04-11 16:12:00.05,65.783
2017-04-11 16:12:14.72,65.438
2017-04-11 16:12:29.39,65.015
2017-04-11 16:12:44.06,64.67
2017-04-11 16:12:58.72,64.435
2017-04-11 16:13:13.39,64.05
2017-04-11 16:13:28.06,63.622
2017-04-11 16:13:42.73,63.305
2017-04-11 16:13:57.40,62.988
2017-04-11 16:14:12.07,62.68
2017-04-11 16:14:26.74,62.49
2017-04-11 16:14:41.41,62.45
2017-04-11 16:14:56.08,62.342
2017-04-11 16:15:10.75,62.218
2017-04-11 16:15:25.42,62.095
2017-04-11 16:15:40.09,61.977
2017-04-11 16:15:54.76,61.905
2017-04-11 16:16:09.43,61.833
2017-04-11 16:16:24.10,61.883
2017-04-11 16:16:38.77,62.005
2017-04-11 16:16:53.44,62.373
2017-04-11 16:17:08.12,62.943
2017-04-11 16:17:22.78,63.535
2017-04-11 16:17:37.45,64.048
2017-04-11 16:17:52.12,64.535
2017-04-11 16:18:06.78,64.97
2017-04-11 16:18:21.45,65.358
2017-04-11 16:18:36.12,65.532
2017-04-11 16:18:50.78,65.648
2017-04-11 16:19:05.45,65.86
2017-04-11 16:19:20.12,66.098
2017-04-11 16:19:34.78,66.288
2017-04-11 16:19:49.45,66.065
2017-04-11 16:20:04.11,65.695
2017-04-11 16:20:18.79,65.45
2017-04-11 16:20:33.45,65.277
2017-04-11 16:20:48.12,65.245
2017-04-11 16:21:02.79,65.262
2017-04-11 16:21:17.45,65.492
2017-04-11 16:21:32.12,65.53
2017-04-11 16:21:46.79,65.422
2017-04-11 16:22:01.46,65.225
2017-04-11 16:22:16.12,64.772
2017-04-11 16:22:30.80,64.318
2017-04-11 16:22:45.46,63.593
2017-04-11 16:23:00.13,63.183
2017-04-11 16:23:14.80,62.773
2017-04-11 16:23:29.47,62.54
2017-04-11 16:23:44.15,62.463
2017-04-11 16:23:58.81,62.628
2017-04-11 16:24:13.48,63.25
2017-04-11 16:24:28.15,63.895
2017-04-11 16:24:42.82,64.227
2017-04-11 16:24:57.48,64.275
2017-04-11 16:25:12.15,64.198
2017-04-11 16:25:26.82,63.88
2017-04-11 16:25:41.49,63.543
2017-04-11 16:25:56.16,63.492
2017-04-11 16:26:10.83,63.753
2017-04-11 16:26:25.50,64.07
2017-04-11 16:26:40.16,64.455
2017-04-11 16:26:54.83,64.84
2017-04-11 16:27:09.50,64.983
2017-04-11 16:27:24.16,64.817
2017-04-11 16:27:38.83,64.523
2017-04-11 16:27:53.50,64.16
2017-04-11 16:28:08.17,63.573
2017-04-11 16:28:22.84,62.952
2017-04-11 16:28:37.51,62.405
2017-04-11 16:28:52.18,62.028
2017-04-11 16:29:06.85,61.967
2017-04-11 16:29:21.52,62.153
2017-04-11 16:29:36.19,62.578
2017-04-11 16:29:50.86,63.315
2017-04-11 16:30:05.53,64.052
2017-04-11 16:30:20.19,64.718
2017-04-11 16:30:34.86,65.03
2017-04-11 16:30:49.52,65.382
2017-04-11 16:31:04.19,65.465
2017-04-11 16:31:18.86,65.212
2017-04-11 16:31:33.53,64.958
2017-04-11 16:31:48.19,64.682
2017-04-11 16:32:02.86,64.572
2017-04-11 16:32:17.53,64.243
2017-04-11 16:32:32.20,64.01
2017-04-11 16:32:46.87,63.928
2017-04-11 16:33:01.54,63.847
2017-04-11 16:33:16.21,63.765
2017-04-11 16:33:30.87,63.683
2017-04-11 16:33:45.54,63.403
2017-04-11 16:34:00.21,63.297
2017-04-11 16:34:14.88,63.407
2017-04-11 16:34:29.55,63.555
2017-04-11 16:34:44.22,63.652
2017-04-11 16:34:58.89,63.403
2017-04-11 16:35:13.56,63.403
2017-04-11 16:35:28.23,63.403
2017-04-11 16:35:42.90,63.23
2017-04-11 16:35:57.57,63.095
2017-04-11 16:36:12.25,62.96
2017-04-11 16:36:26.92,63.118
2017-04-11 16:36:41.59,63.208
2017-04-11 16:36:56.26,63.007
2017-04-11 16:37:10.93,62.612
2017-04-11 16:37:25.60,61.922
2017-04-11 16:37:40.28,61.232
2017-04-11 16:37:54.95,60.675
2017-04-11 16:38:09.62,60.237
2017-04-11 16:38:24.29,60.197
2017-04-11 16:38:38.97,60.428
2017-04-11 16:38:53.64,60.878
2017-04-11 16:39:08.31,61.473
2017-04-11 16:39:22.99,61.987
2017-04-11 16:39:37.66,62.582
2017-04-11 16:39:52.33,63.107
2017-04-11 16:40:07.00,63.60
2017-04-11 16:40:21.67,64.093
2017-04-11 16:40:36.34,64.442
2017-04-11 16:40:51.01,64.783
2017-04-11 16:41:05.68,64.987
2017-04-11 16:41:20.35,65.107
2017-04-11 16:41:35.02,64.632
2017-04-11 16:41:49.69,64.157
2017-04-11 16:42:04.36,64.325
2017-04-11 16:42:19.03,64.513
2017-04-11 16:42:33.70,64.94
2017-04-11 16:42:48.37,65.183
2017-04-11 16:43:03.04,65.568
2017-04-11 16:43:17.70,65.953
2017-04-11 16:43:32.38,65.757
2017-04-11 16:43:47.05,65.547
2017-04-11 16:44:01.72,64.855
2017-04-11 16:44:16.38,64.393
2017-04-11 16:44:31.06,64.227
2017-04-11 16:44:45.73,64.082
2017-04-11 16:45:00.39,63.853
2017-04-11 16:45:15.07,63.393
2017-04-11 16:45:29.74,62.988
2017-04-11 16:45:44.41,62.583
2017-04-11 16:45:59.08,62.332
2017-04-11 16:46:13.75,62.355
2017-04-11 16:46:28.42,62.40
2017-04-11 16:46:43.09,62.843
2017-04-11 16:46:57.76,63.248
2017-04-11 16:47:12.43,63.888
2017-04-11 16:47:27.10,64.117
2017-04-11 16:47:41.77,63.977
2017-04-11 16:47:56.43,63.833
2017-04-11 16:48:11.10,63.453
2017-04-11 16:48:25.77,63.378
2017-04-11 16:48:40.44,63.072
2017-04-11 16:48:55.12,63.272
2017-04-11 16:49:09.79,63.543
2017-04-11 16:49:24.46,63.557
2017-04-11 16:49:39.12,63.502
2017-04-11 16:49:53.79,63.377
2017-04-11 16:50:08.46,63.205
2017-04-11 16:50:23.14,62.818
2017-04-11 16:50:37.80,62.432
2017-04-11 16:50:52.48,62.348
2017-04-11 16:51:07.15,62.403
2017-04-11 16:51:21.82,62.427
2017-04-11 16:51:36.49,62.378
2017-04-11 16:51:51.16,62.273
2017-04-11 16:52:05.83,62.065
2017-04-11 16:52:20.51,62.053
2017-04-11 16:52:35.18,61.967
2017-04-11 16:52:49.85,61.987
2017-04-11 16:53:04.52,62.107
2017-04-11 16:53:19.19,62.237
2017-04-11 16:53:33.86,62.47
2017-04-11 16:53:48.53,62.465
2017-04-11 16:54:03.20,62.632
2017-04-11 16:54:17.87,62.748
2017-04-11 16:54:32.54,62.915
2017-04-11 16:54:47.21,63.117
2017-04-11 16:55:01.88,63.318
2017-04-11 16:55:16.55,63.52
2017-04-11 16:55:31.22,63.757
2017-04-11 16:55:45.89,63.977
2017-04-11 16:56:00.56,64.162
2017-04-11 16:56:15.22,64.302
2017-04-11 16:56:29.89,64.095
2017-04-11 16:56:44.56,63.888
2017-04-11 16:56:59.23,63.397
2017-04-11 16:57:13.90,62.782
2017-04-11 16:57:28.57,62.167
2017-04-11 16:57:43.25,61.715
2017-04-11 16:57:57.92,61.688
2017-04-11 16:58:12.59,61.69
2017-04-11 16:58:27.26,61.817
2017-04-11 16:58:41.93,61.96
2017-04-11 16:58:56.60,62.078
2017-04-11 16:59:11.27,61.813
2017-04-11 16:59:25.94,61.197
2017-04-11 16:59:40.61,60.552
2017-04-11 16:59:55.28,60.198
2017-04-11 17:00:09.96,60.27
2017-04-11 17:00:24.63,60.463
2017-04-11 17:00:39.30,60.877
2017-04-11 17:00:53.97,61.465
2017-04-11 17:01:08.64,61.628
2017-04-11 17:01:23.31,61.488
2017-04-11 17:01:37.98,61.022
2017-04-11 17:01:52.65,60.522
2017-04-11 17:02:07.33,60.033
2017-04-11 17:02:22.00,59.85
2017-04-11 17:02:36.67,60.092
2017-04-11 17:02:51.34,60.38
2017-04-11 17:03:06.01,60.795
2017-04-11 17:03:20.68,61.147
2017-04-11 17:03:35.35,61.518
2017-04-11 17:03:50.03,61.685
2017-04-11 17:04:04.70,61.852
2017-04-11 17:04:19.37,62.012
2017-04-11 17:04:34.04,62.155
2017-04-11 17:04:48.71,62.298
2017-04-11 17:05:03.38,62.41
2017-04-11 17:05:18.05,62.42
2017-04-11 17:05:32.72,62.327
2017-04-11 17:05:47.39,62.217
2017-04-11 17:06:02.06,61.997
2017-04-11 17:06:16.73,61.777
2017-04-11 17:06:31.40,61.497
2017-04-11 17:06:46.07,61.313
2017-04-11 17:07:00.74,61.233
2017-04-11 17:07:15.41,61.17
2017-04-11 17:07:30.08,60.987
2017-04-11 17:07:44.75,60.958
2017-04-11 17:07:59.42,61.05
2017-04-11 17:08:14.10,61.145
2017-04-11 17:08:28.77,61.045
2017-04-11 17:08:43.44,60.738
2017-04-11 17:08:58.11,60.552
2017-04-11 17:09:12.78,60.227
2017-04-11 17:09:27.45,59.915
2017-04-11 17:09:42.13,59.603
2017-04-11 17:09:56.80,59.902
2017-04-11 17:10:11.47,60.607
2017-04-11 17:10:26.14,61.312
2017-04-11 17:10:40.81,61.89
2017-04-11 17:10:55.48,61.943
2017-04-11 17:11:10.15,61.997
2017-04-11 17:11:24.82,61.912
2017-04-11 17:11:39.49,61.627
2017-04-11 17:11:54.16,61.292
2017-04-11 17:12:08.83,60.972
2017-04-11 17:12:23.50,61.083
2017-04-11 17:12:38.17,61.042
2017-04-11 17:12:52.84,60.723
2017-04-11 17:13:07.52,60.627
2017-04-11 17:13:22.19,60.608
2017-04-11 17:13:36.86,60.657
2017-04-11 17:13:51.53,60.648
2017-04-11 17:14:06.20,60.75
2017-04-11 17:14:20.87,60.828
2017-04-11 17:14:35.54,60.103
2017-04-11 17:14:50.21,59.35
2017-04-11 17:15:04.89,58.658
2017-04-11 17:15:19.56,58.043
2017-04-11 17:15:34.23,57.472
2017-04-11 17:15:48.90,56.983
2017-04-11 17:16:03.57,57.092
2017-04-11 17:16:18.25,57.215
2017-04-11 17:16:32.92,57.498
2017-04-11 17:16:47.59,57.782
2017-04-11 17:17:02.26,58.198
2017-04-11 17:17:16.94,58.595
2017-04-11 17:17:31.61,59.153
2017-04-11 17:17:46.28,59.92
2017-04-11 17:18:00.95,60.557
2017-04-11 17:18:15.62,61.213
2017-04-11 17:18:30.29,61.792
2017-04-11 17:18:44.96,62.33
2017-04-11 17:18:59.63,62.835
2017-04-11 17:19:14.30,63.14
2017-04-11 17:19:28.97,63.358
2017-04-11 17:19:43.64,63.297
2017-04-11 17:19:58.30,62.998
2017-04-11 17:20:12.98,62.752
2017-04-11 17:20:27.64,62.362
2017-04-11 17:20:42.32,62.017
2017-04-11 17:20:56.99,61.837
2017-04-11 17:21:11.66,61.917
2017-04-11 17:21:26.33,62.165
2017-04-11 17:21:41.00,62.362
2017-04-11 17:21:55.67,62.558
2017-04-11 17:22:10.34,62.758
2017-04-11 17:22:25.00,62.672
2017-04-11 17:22:39.68,62.585
2017-04-11 17:22:54.34,62.512
2017-04-11 17:23:09.02,62.448
2017-04-11 17:23:23.69,62.385
2017-04-11 17:23:38.36,62.25
2017-04-11 17:23:53.03,62.24
2017-04-11 17:24:07.70,62.302
2017-04-11 17:24:22.37,62.57
2017-04-11 17:24:37.04,62.915
2017-04-11 17:24:51.71,63.357
2017-04-11 17:25:06.38,63.885
2017-04-11 17:25:21.05,64.508
2017-04-11 17:25:35.72,65.06
2017-04-11 17:25:50.38,65.385
2017-04-11 17:26:05.05,65.623
2017-04-11 17:26:19.72,65.765
2017-04-11 17:26:34.38,65.538
2017-04-11 17:26:49.05,65.237
2017-04-11 17:27:03.72,65.12
2017-04-11 17:27:18.38,65.102
2017-04-11 17:27:33.05,65.083
2017-04-11 17:27:47.71,65.065
2017-04-11 17:28:02.38,65.328
2017-04-11 17:28:17.05,65.528
2017-04-11 17:28:31.71,65.543
2017-04-11 17:28:46.38,65.372
2017-04-11 17:29:01.04,65.135
2017-04-11 17:29:15.71,64.963
2017-04-11 17:29:30.38,64.898
2017-04-11 17:29:45.05,65.077
2017-04-11 17:29:59.71,65.47
2017-04-11 17:30:14.38,66.035
2017-04-11 17:30:29.04,66.665
2017-04-11 17:30:43.71,67.23
2017-04-11 17:30:58.37,67.688
2017-04-11 17:31:13.04,67.887
2017-04-11 17:31:27.71,67.87
2017-04-11 17:31:42.37,67.723
2017-04-11 17:31:57.04,67.443
2017-04-11 17:32:11.70,67.297
2017-04-11 17:32:26.37,67.222
2017-04-11 17:32:41.03,67.227
2017-04-11 17:32:55.70,67.177
2017-04-11 17:33:10.36,67.022
2017-04-11 17:33:25.03,67.00
2017-04-11 17:33:39.70,66.885
2017-04-11 17:33:54.36,66.698
2017-04-11 17:34:09.03,66.402
2017-04-11 17:34:23.70,66.16
2017-04-11 17:34:38.36,66.222
2017-04-11 17:34:53.03,66.283
