Date/Time (UTC), Ultra-smoothed Differences
2017-02-24 05:51:38.78,0.20762
2017-02-24 05:51:53.45,0.17949
2017-02-24 05:52:08.09,0.14054
2017-02-24 05:52:22.77,0.090306
2017-02-24 05:52:37.42,0.043272
2017-02-24 05:52:52.09,-0.00078062
2017-02-24 05:53:06.75,-0.025626
2017-02-24 05:53:21.41,-0.036914
2017-02-24 05:53:36.08,-0.045078
2017-02-24 05:53:50.74,-0.040274
2017-02-24 05:54:05.41,-0.030274
2017-02-24 05:54:20.06,-0.016055
2017-02-24 05:54:34.73,-0.00078312
2017-02-24 05:54:49.38,0.0092169
2017-02-24 05:55:04.05,0.012812
2017-02-24 05:55:18.73,0.013828
2017-02-24 05:55:33.38,0.023905
2017-02-24 05:55:48.04,0.035156
2017-02-24 05:56:02.70,0.049063
2017-02-24 05:56:17.37,0.078512
2017-02-24 05:56:32.02,0.10796
2017-02-24 05:56:46.70,0.13328
2017-02-24 05:57:01.36,0.13714
2017-02-24 05:57:16.01,0.1396
2017-02-24 05:57:30.69,0.12765
2017-02-24 05:57:45.35,0.10199
2017-02-24 05:58:00.00,0.074025
2017-02-24 05:58:14.68,0.059494
2017-02-24 05:58:29.33,0.051332
2017-02-24 05:58:44.01,0.049806
2017-02-24 05:58:58.66,0.048981
2017-02-24 05:59:13.32,0.047342
2017-02-24 05:59:27.97,0.045311
2017-02-24 05:59:42.65,0.042694
2017-02-24 05:59:57.31,0.040272
2017-02-24 06:00:11.98,0.034179
2017-02-24 06:00:26.64,0.025976
2017-02-24 06:00:41.29,0.01707
2017-02-24 06:00:55.97,0.0081638
2017-02-24 06:01:10.62,-0.011211
2017-02-24 06:01:25.28,-0.011601
2017-02-24 06:01:39.94,-0.0023825
2017-02-24 06:01:54.61,0.012188
2017-02-24 06:02:09.27,0.02207
2017-02-24 06:02:23.94,0.019921
2017-02-24 06:02:38.60,0.010546
2017-02-24 06:02:53.25,-0.0063275
2017-02-24 06:03:07.93,-0.023906
2017-02-24 06:03:22.58,-0.045313
2017-02-24 06:03:37.24,-0.058438
2017-02-24 06:03:51.91,-0.069688
2017-02-24 06:04:06.57,-0.075506
2017-02-24 06:04:21.22,-0.07125
2017-02-24 06:04:35.90,-0.055936
2017-02-24 06:04:50.55,-0.024844
2017-02-24 06:05:05.21,-0.00046938
2017-02-24 06:05:19.87,0.016679
2017-02-24 06:05:34.54,0.030234
2017-02-24 06:05:49.20,0.030391
2017-02-24 06:06:03.87,0.011252
2017-02-24 06:06:18.53,-0.00504
2017-02-24 06:06:33.18,-0.012695
2017-02-24 06:06:47.86,-0.0020309
2017-02-24 06:07:02.51,0.017812
2017-02-24 06:07:17.18,0.043673
2017-02-24 06:07:31.82,0.052972
2017-02-24 06:07:46.52,0.060004
2017-02-24 06:08:01.18,0.054144
2017-02-24 06:08:15.83,0.034451
2017-02-24 06:08:30.48,-0.0021094
2017-02-24 06:08:45.13,-0.044569
2017-02-24 06:08:59.80,-0.056758
2017-02-24 06:09:14.46,-0.069062
2017-02-24 06:09:29.13,-0.081369
2017-02-24 06:09:43.80,-0.079962
2017-02-24 06:09:58.44,-0.069688
2017-02-24 06:10:13.12,-0.052735
2017-02-24 06:10:27.77,-0.031954
2017-02-24 06:10:42.43,-0.021955
2017-02-24 06:10:57.09,-0.019298
2017-02-24 06:11:11.76,-0.027931
2017-02-24 06:11:26.41,-0.032854
2017-02-24 06:11:41.09,-0.04133
2017-02-24 06:11:55.73,-0.042462
2017-02-24 06:12:10.40,-0.037736
2017-02-24 06:12:25.06,-0.018518
2017-02-24 06:12:39.73,-0.0025797
2017-02-24 06:12:54.38,-0.0032038
2017-02-24 06:13:09.05,-0.0045319
2017-02-24 06:13:23.70,-0.011251
2017-02-24 06:13:38.37,-0.030471
2017-02-24 06:13:53.05,-0.04922
2017-02-24 06:14:07.70,-0.078638
2017-02-24 06:14:22.34,-0.1127
2017-02-24 06:14:37.02,-0.14223
2017-02-24 06:14:51.67,-0.16981
2017-02-24 06:15:06.34,-0.18992
2017-02-24 06:15:21.00,-0.20274
2017-02-24 06:15:35.66,-0.20786
2017-02-24 06:15:50.31,-0.20649
2017-02-24 06:16:04.99,-0.20305
2017-02-24 06:16:19.64,-0.21274
2017-02-24 06:16:34.30,-0.22771
2017-02-24 06:16:48.97,-0.24298
2017-02-24 06:17:03.63,-0.26146
2017-02-24 06:17:18.28,-0.2704
2017-02-24 06:17:32.96,-0.27266
2017-02-24 06:17:47.61,-0.27156
2017-02-24 06:18:02.29,-0.25735
2017-02-24 06:18:16.94,-0.24336
2017-02-24 06:18:31.60,-0.21726
2017-02-24 06:18:46.25,-0.18816
2017-02-24 06:19:00.91,-0.1582
2017-02-24 06:19:15.58,-0.12842
2017-02-24 06:19:30.24,-0.10238
2017-02-24 06:19:44.91,-0.098738
2017-02-24 06:19:59.55,-0.10733
2017-02-24 06:20:14.23,-0.10949
2017-02-24 06:20:28.88,-0.099212
2017-02-24 06:20:43.55,-0.081012
2017-02-24 06:20:58.21,-0.055589
2017-02-24 06:21:12.87,-0.033164
2017-02-24 06:21:27.52,-0.0046488
2017-02-24 06:21:42.20,0.023789
2017-02-24 06:21:56.85,0.046484
2017-02-24 06:22:11.51,0.061601
2017-02-24 06:22:26.18,0.046406
2017-02-24 06:22:40.84,0.024844
2017-02-24 06:22:55.49,0.0005075
2017-02-24 06:23:10.16,-0.031134
2017-02-24 06:23:24.82,-0.058712
2017-02-24 06:23:39.47,-0.066838
2017-02-24 06:23:54.15,-0.05672
2017-02-24 06:24:08.80,-0.046368
2017-02-24 06:24:23.46,-0.042071
2017-02-24 06:24:38.12,-0.048087
2017-02-24 06:24:52.79,-0.055314
2017-02-24 06:25:07.44,-0.063556
2017-02-24 06:25:22.12,-0.077381
2017-02-24 06:25:36.76,-0.084875
2017-02-24 06:25:51.41,-0.092738
2017-02-24 06:26:06.09,-0.086094
2017-02-24 06:26:20.74,-0.052428
2017-02-24 06:26:35.40,-0.0079731
2017-02-24 06:26:50.07,0.035821
2017-02-24 06:27:04.73,0.080038
2017-02-24 06:27:19.38,0.11613
2017-02-24 06:27:34.06,0.14671
2017-02-24 06:27:48.71,0.15851
2017-02-24 06:28:03.37,0.16434
2017-02-24 06:28:18.04,0.17054
2017-02-24 06:28:32.70,0.18464
2017-02-24 06:28:47.35,0.19371
2017-02-24 06:29:02.03,0.20292
2017-02-24 06:29:16.68,0.20756
2017-02-24 06:29:31.34,0.20221
2017-02-24 06:29:46.01,0.19436
2017-02-24 06:30:00.67,0.16842
2017-02-24 06:30:15.32,0.11471
2017-02-24 06:30:30.00,0.043584
2017-02-24 06:30:44.65,-0.026182
2017-02-24 06:30:59.31,-0.070944
2017-02-24 06:31:13.97,-0.11101
2017-02-24 06:31:28.64,-0.14867
2017-02-24 06:31:43.29,-0.15312
2017-02-24 06:31:57.97,-0.14586
2017-02-24 06:32:12.61,-0.14206
2017-02-24 06:32:27.28,-0.15374
2017-02-24 06:32:41.94,-0.17202
2017-02-24 06:32:56.59,-0.19085
2017-02-24 06:33:11.26,-0.19534
2017-02-24 06:33:25.92,-0.19378
2017-02-24 06:33:40.58,-0.18875
2017-02-24 06:33:55.23,-0.16996
2017-02-24 06:34:09.91,-0.13159
2017-02-24 06:34:24.56,-0.080269
2017-02-24 06:34:39.22,-0.028944
2017-02-24 06:34:53.89,-0.0085156
2017-02-24 06:35:08.55,0.010664
