Date/Time, Data value 1
1524538223.684392,237
1524538228.6888616,223
1524538233.6936152,220
1524538238.6848536,217
1524538243.6885576,214
1524538248.6950803,215
1524538253.6860945,216
1524538258.6916425,219
1524538263.6949203,217
1524538268.6837928,218
1524538273.689815,217
1524538278.6977108,205
1524538283.7012358,211
1524538288.6875505,214
1524538293.6933837,214
1524538298.6987479,217
1524538303.6897652,211
1524538308.6972969,252
1524538313.6894147,209
1524538318.7000782,218
1524538323.691437,213
1524538328.6968575,217
1524538333.7028701,201
1524538338.694049,215
1524538449.7693563,355
1524538454.7594752,209
1524538459.7636874,212
1524538464.7716956,210
1524538469.7637084,209
1524538474.7568035,198
1524538479.7642515,211
1524538484.7710266,210
1524538489.7738388,199
1524538494.7601762,206
1524538499.765915,208
1524538504.7716982,201
1524538509.7622507,210
1524538514.7699506,208
1524538519.760311,207
1524538524.7654011,207
1524538529.770792,210
1524538534.7604692,200
1524538539.7626724,203
1524538544.7697709,203
1524538549.760661,203
1524538554.76784,203
1524538559.773384,205
1524538564.7637622,206
1524538569.7698343,207
1524538574.7741637,207
1524538579.7741973,207
1524538584.7634997,207
1524538589.7684767,207
1524538594.7730725,203
1524538599.7750707,199
1524538604.7617643,210
1524538609.767449,208
1524538614.7737184,208
1524538619.7636564,207
1524538624.7697227,207
1524538629.7755673,206
1524538634.765318,206
1524538639.771018,205
1524538644.7754543,204
1524538649.7645907,202
1524538654.7701929,202
1524538659.776903,202
1524538664.765309,205
1524538669.7707732,206
1524538674.7760327,206
1524538679.7677295,206
1524538684.7746098,205
1524538689.7765002,203
1524538694.7778094,204
1524538699.7655964,204
1524538704.7702034,203
1524538709.7748334,202
1524538714.764252,199
1524538719.7705944,193
1524538724.7762096,203
1524538729.780331,207
1524538734.7697961,198
1524538739.774529,207
1524538744.7647538,205
1524538749.7688234,203
1524538754.7748163,203
1524538759.7798684,208
1524538764.7704122,201
1524538955.785191,349
1524538960.7897131,207
1524538965.7800107,201
1524538970.7857995,200
1524538975.7919788,200
1524538980.7832274,199
1524538985.791717,199
1524538990.7806835,200
1524538995.7862458,200
1524539000.7901273,198
1524539005.7935317,197
1524539010.7953243,196
1524539023.8690364,351
1524539028.874329,208
1524539033.863581,199
1524539038.8681662,195
1524539043.8591812,197
1524539048.8641112,196
1524539053.8702736,200
1524539058.8613038,200
1524539063.8684955,199
1524539163.897834,348
1524539168.8880947,207
1524539173.8954537,198
1524539178.8861797,197
1524539183.8917181,196
1524539188.8986807,197
1524539199.037956,349
1524539204.043832,207
1524539209.0342312,199
1524539214.0386674,199
1524539219.0447035,199
1524539224.050674,198
1524539290.5618823,342
1524539295.5581489,203
1524539300.5639327,196
1524539305.5695794,198
1524539310.5754848,198
1524539315.5653172,197
1524539320.5699794,199
1524539325.5744984,195
1524539330.5614665,185
1524539333.4637365,368
1524539338.4679685,208
1524539343.4581854,190
1524539348.4628394,189
1524539353.4680827,197
1524539510.0695517,348
1524539515.0746539,202
1524539520.0796576,193
1524539525.0697584,193
1524539530.0734684,197
1524539556.7773635,342
1524539561.782582,205
1524539566.7723958,196
1524539571.77666,195
1524539576.7800303,194
1524539581.7842705,193
1524539586.7734444,192
1524539855.5551116,345
1524539860.5604289,194
1524539865.5646033,190
1524539870.553115,193
1524539875.5597627,194
1524539896.152543,345
1524539901.1572053,202
1524539906.160017,196
1524539911.1456513,194
1524539916.1509206,193
1524539949.027978,344
1524539954.0327473,198
1524539959.0221927,192
1524539964.027022,192
1524539969.032162,192
1524539998.6009815,346
1524540003.6055562,185
1524540008.6091466,189
1524540013.597685,199
1524540018.6020875,199
1524540023.6068225,202
1524540028.6119967,198
1524540049.181493,342
1524540054.1867983,206
1524540059.1927016,186
1524540064.1926963,193
1524540069.1805367,190
1524540083.5438313,347
1524540088.5486567,201
1524540093.5367322,191
1524540098.5419934,190
1524540103.5465567,192
1524540108.5496,192
1524541051.851423,340
1524541056.8543007,198
1524541061.8450835,192
1524541066.8513546,191
1524541071.8540196,190
1524541076.8552015,189
1524541081.842398,188
1524541086.84715,189
1524541091.8522024,189
1524541096.8542132,190
1524541101.841678,186
1524541106.8447707,191
1524541110.384751,356
1524541115.3876858,198
1524541120.3895116,191
1524541125.390472,191
1524541130.391483,187
1524541135.3802807,186
1524541169.8079085,339
1524541174.814365,198
1524541179.8186564,192
1524541184.808532,191
1524541189.8131986,190
1524541194.816224,189
1524541199.819611,189
1524541204.808828,154
1524541209.81474,194
1524541214.8207653,189
1524541219.8089077,180
1524541224.815229,199
1524541229.8198698,191
1524541234.8100457,190
1524541239.8153965,192
1524541244.8213673,193
1524541249.810774,191
1524541254.8155713,193
1524541259.8215554,190
1524541264.8239138,190
