Date/Time (UTC), Ultra-smoothed Differences
2017-03-16 02:02:38.50,0.21558
2017-03-16 02:02:53.17,0.23285
2017-03-16 02:03:07.84,0.25226
2017-03-16 02:03:22.51,0.25765
2017-03-16 02:03:37.18,0.26034
2017-03-16 02:03:51.85,0.25381
2017-03-16 02:04:06.52,0.25495
2017-03-16 02:04:21.19,0.27065
2017-03-16 02:04:35.86,0.28725
2017-03-16 02:04:50.53,0.30144
2017-03-16 02:05:05.20,0.30045
2017-03-16 02:05:19.87,0.28401
2017-03-16 02:05:34.54,0.26894
2017-03-16 02:05:49.21,0.26319
2017-03-16 02:06:03.88,0.26257
2017-03-16 02:06:18.55,0.25319
2017-03-16 02:06:33.22,0.24791
2017-03-16 02:06:47.89,0.24342
2017-03-16 02:07:02.56,0.24272
2017-03-16 02:07:17.23,0.25272
2017-03-16 02:07:31.90,0.26519
2017-03-16 02:07:46.57,0.27488
2017-03-16 02:08:01.24,0.26949
2017-03-16 02:08:15.91,0.25328
2017-03-16 02:08:30.58,0.23571
2017-03-16 02:08:45.25,0.21812
2017-03-16 02:08:59.92,0.20933
2017-03-16 02:09:14.59,0.21578
2017-03-16 02:09:29.26,0.22222
2017-03-16 02:09:43.93,0.22374
2017-03-16 02:09:58.61,0.21968
2017-03-16 02:10:13.28,0.21394
2017-03-16 02:10:27.95,0.20234
2017-03-16 02:10:42.62,0.18437
2017-03-16 02:10:57.29,0.16272
2017-03-16 02:11:11.96,0.13159
2017-03-16 02:11:26.63,0.10118
2017-03-16 02:11:41.30,0.080969
2017-03-16 02:11:55.97,0.082612
2017-03-16 02:12:10.64,0.091875
2017-03-16 02:12:25.31,0.10453
2017-03-16 02:12:39.99,0.11719
2017-03-16 02:12:54.66,0.12805
2017-03-16 02:13:09.33,0.13391
2017-03-16 02:13:24.00,0.13844
2017-03-16 02:13:38.67,0.13383
2017-03-16 02:13:53.34,0.12805
2017-03-16 02:14:08.01,0.12531
2017-03-16 02:14:22.68,0.1325
2017-03-16 02:14:37.35,0.14367
2017-03-16 02:14:52.02,0.15867
2017-03-16 02:15:06.69,0.18445
2017-03-16 02:15:21.37,0.21304
2017-03-16 02:15:36.04,0.23777
2017-03-16 02:15:50.71,0.24069
2017-03-16 02:16:05.38,0.23718
2017-03-16 02:16:20.05,0.23187
2017-03-16 02:16:34.72,0.23128
2017-03-16 02:16:49.39,0.23898
2017-03-16 02:17:04.07,0.24804
2017-03-16 02:17:18.74,0.25976
2017-03-16 02:17:33.41,0.27745
2017-03-16 02:17:48.08,0.29054
2017-03-16 02:18:02.75,0.30438
2017-03-16 02:18:17.42,0.30852
2017-03-16 02:18:32.09,0.31618
2017-03-16 02:18:46.76,0.32219
2017-03-16 02:19:01.43,0.32688
2017-03-16 02:19:16.11,0.32524
2017-03-16 02:19:30.78,0.31203
2017-03-16 02:19:45.45,0.3050
2017-03-16 02:20:00.12,0.31044
2017-03-16 02:20:14.79,0.31836
2017-03-16 02:20:29.46,0.31685
2017-03-16 02:20:44.13,0.2995
2017-03-16 02:20:58.80,0.27356
2017-03-16 02:21:13.47,0.24575
2017-03-16 02:21:28.15,0.22438
2017-03-16 02:21:42.81,0.22664
2017-03-16 02:21:57.49,0.2293
2017-03-16 02:22:12.15,0.23527
2017-03-16 02:22:26.82,0.23567
2017-03-16 02:22:41.49,0.23176
2017-03-16 02:22:56.16,0.21261
2017-03-16 02:23:10.83,0.19376
2017-03-16 02:23:25.50,0.19019
2017-03-16 02:23:40.16,0.18907
2017-03-16 02:23:54.83,0.16782
2017-03-16 02:24:09.50,0.14063
2017-03-16 02:24:24.16,0.11817
2017-03-16 02:24:38.84,0.11001
2017-03-16 02:24:53.50,0.11626
2017-03-16 02:25:08.17,0.12774
2017-03-16 02:25:22.84,0.13658
2017-03-16 02:25:37.50,0.12329
2017-03-16 02:25:52.17,0.11141
2017-03-16 02:26:06.83,0.090238
2017-03-16 02:26:21.50,0.064181
2017-03-16 02:26:36.17,0.042423
2017-03-16 02:26:50.83,0.040704
2017-03-16 02:27:05.50,0.052032
2017-03-16 02:27:20.17,0.061212
2017-03-16 02:27:34.84,0.070194
2017-03-16 02:27:49.51,0.084731
2017-03-16 02:28:04.18,0.10239
2017-03-16 02:28:18.85,0.12004
2017-03-16 02:28:33.51,0.13231
2017-03-16 02:28:48.18,0.13586
2017-03-16 02:29:02.85,0.13078
2017-03-16 02:29:17.51,0.12841
2017-03-16 02:29:32.18,0.12793
2017-03-16 02:29:46.84,0.12388
2017-03-16 02:30:01.51,0.1334
2017-03-16 02:30:16.18,0.15754
2017-03-16 02:30:30.84,0.18419
2017-03-16 02:30:45.50,0.20598
2017-03-16 02:31:00.17,0.20849
2017-03-16 02:31:14.84,0.20809
2017-03-16 02:31:29.50,0.20792
2017-03-16 02:31:44.17,0.21269
2017-03-16 02:31:58.83,0.21746
2017-03-16 02:32:13.49,0.22222
2017-03-16 02:32:28.16,0.23121
2017-03-16 02:32:42.82,0.24203
2017-03-16 02:32:57.49,0.25648
2017-03-16 02:33:12.15,0.25749
2017-03-16 02:33:26.81,0.25991
2017-03-16 02:33:41.47,0.2696
2017-03-16 02:33:56.13,0.27179
2017-03-16 02:34:10.80,0.26417
2017-03-16 02:34:25.45,0.24058
2017-03-16 02:34:40.12,0.20507
2017-03-16 02:34:54.78,0.1782
2017-03-16 02:35:09.44,0.15152
2017-03-16 02:35:24.10,0.12581
2017-03-16 02:35:38.77,0.1109
2017-03-16 02:35:53.43,0.095975
2017-03-16 02:36:08.09,0.075669
2017-03-16 02:36:22.75,0.046135
2017-03-16 02:36:37.41,0.017618
2017-03-16 02:36:52.08,-0.0097262
2017-03-16 02:37:06.74,-0.022656
2017-03-16 02:37:21.40,-0.030898
2017-03-16 02:37:36.06,-0.053164
2017-03-16 02:37:50.72,-0.071488
2017-03-16 02:38:05.38,-0.090469
2017-03-16 02:38:20.04,-0.087662
2017-03-16 02:38:34.71,-0.073012
2017-03-16 02:38:49.37,-0.050546
2017-03-16 02:39:04.03,-0.026954
2017-03-16 02:39:18.69,-0.0021488
2017-03-16 02:39:33.35,0.00050719
2017-03-16 02:39:48.01,0.0028506
2017-03-16 02:40:02.68,0.015976
2017-03-16 02:40:17.34,0.041914
2017-03-16 02:40:32.00,0.065075
2017-03-16 02:40:46.66,0.088206
2017-03-16 02:41:01.32,0.1059
2017-03-16 02:41:15.98,0.1211
2017-03-16 02:41:30.64,0.15242
2017-03-16 02:41:45.30,0.17929
2017-03-16 02:41:59.96,0.21121
2017-03-16 02:42:14.63,0.23539
2017-03-16 02:42:29.29,0.25402
2017-03-16 02:42:43.95,0.26042
2017-03-16 02:42:58.61,0.26457
2017-03-16 02:43:13.27,0.26383
2017-03-16 02:43:27.93,0.27468
2017-03-16 02:43:42.59,0.28617
2017-03-16 02:43:57.25,0.29199
2017-03-16 02:44:11.91,0.2843
2017-03-16 02:44:26.57,0.27805
2017-03-16 02:44:41.23,0.26688
2017-03-16 02:44:55.89,0.25461
2017-03-16 02:45:10.55,0.23894
2017-03-16 02:45:25.21,0.21028
2017-03-16 02:45:39.87,0.18429
2017-03-16 02:45:54.53,0.16149
2017-03-16 02:46:09.19,0.13778
2017-03-16 02:46:23.85,0.11988
2017-03-16 02:46:38.51,0.10484
2017-03-16 02:46:53.17,0.087962
2017-03-16 02:47:07.83,0.073312
2017-03-16 02:47:22.49,0.057891
2017-03-16 02:47:37.15,0.052813
2017-03-16 02:47:51.81,0.048281
2017-03-16 02:48:06.47,0.046055
2017-03-16 02:48:21.13,0.036367
2017-03-16 02:48:35.79,0.03332
2017-03-16 02:48:50.45,0.03250
2017-03-16 02:49:05.11,0.035195
2017-03-16 02:49:19.77,0.045664
2017-03-16 02:49:34.43,0.055469
2017-03-16 02:49:49.09,0.055078
2017-03-16 02:50:03.75,0.052968
2017-03-16 02:50:18.41,0.038087
2017-03-16 02:50:33.07,0.027344
2017-03-16 02:50:47.73,0.02254
2017-03-16 02:51:02.39,0.021055
2017-03-16 02:51:17.05,0.028712
2017-03-16 02:51:31.71,0.017071
2017-03-16 02:51:46.37,0.0051556
2017-03-16 02:52:01.03,0.0038278
2017-03-16 02:52:15.69,0.018906
2017-03-16 02:52:30.35,0.035158
2017-03-16 02:52:45.01,0.050978
2017-03-16 02:52:59.67,0.071719
2017-03-16 02:53:14.33,0.088319
2017-03-16 02:53:28.99,0.10512
2017-03-16 02:53:43.65,0.11316
